contract_order,contract_id,contract_group,contract_subject,contract_value,contract_status
20,CONTRACT_020,authority,lookup_exception,ADMIT_013_EVALUATION_CONTEXT_LOOKUP_FAILED,frozen
21,CONTRACT_021,routing,private_sentinel,not_imported_read_or_passed,frozen
22,CONTRACT_022,formal,call,keyword_only_exactly_once_after_routing,frozen
23,CONTRACT_023,formal,identity,all_present_objects_preserved,frozen
24,CONTRACT_024,source,exact12_fields,admission_rule_id|outcome|passed|blocks_candidate|reason|canonical_download_result_record|canonical_integrity_authority_record|validated_download_result_fields|validated_integrity_authority_fields|consumed_download_result_fields|consumed_integrity_authority_fields|evaluator_io_used,frozen
25,CONTRACT_025,source,validation,exact_type_storage_order_types_reconstruction_reason_pair_invariants,frozen
26,CONTRACT_026,source,type_failure,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY|ADMIT_013_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID|adapter_ready=false,frozen
27,CONTRACT_027,source,invariant_failure,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY|ADMIT_013_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID|adapter_ready=false,frozen
28,CONTRACT_028,oracle,call,same_kwargs_exactly_once_after_source_validation,frozen
29,CONTRACT_029,oracle,equality,full_Exact12_exact_type_value_storage_order,frozen
30,CONTRACT_030,projection,exact13_fields,schema_version|admission_rule_id|admission_rule_name|outcome|passed|blocks_candidate|reason|normalized_values|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used|adapter_id,frozen
31,CONTRACT_031,projection,normalized,canonical_download_Exact4_then_present_valid_authority_Exact3,frozen
32,CONTRACT_032,projection,validated,validated_download_observation_pairs_only,frozen
33,CONTRACT_033,projection,consumed_candidate,consumed_download_result_fields,frozen
34,CONTRACT_034,projection,consumed_context,consumed_integrity_authority_fields,frozen
35,CONTRACT_035,projection,integer,exact_int_to_canonical_decimal_str,frozen
36,CONTRACT_036,projection,strings,exact_str_unchanged,frozen
37,CONTRACT_037,projection,no_schema_widening,Exact13_exact_string_pairs_only,frozen
38,CONTRACT_038,semantics,historical_names,candidate_field_names_carry_download_observations_not_candidate_record_sourcing,frozen
39,CONTRACT_039,registry,current_order,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012,frozen
40,CONTRACT_040,registry,future_order,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013,frozen
41,CONTRACT_041,registry,future_callable,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013,frozen
42,CONTRACT_042,registry,future_adapter_ready,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013,frozen
43,CONTRACT_043,registry,future_known_not_registered,ADMIT_014|ADMIT_015,frozen
44,CONTRACT_044,registry,first12_identity,exact_object_identity_preserved,frozen
45,CONTRACT_045,boundary,runtime,design_only_no_handler_registry_dispatcher_runtime_mutation,frozen
46,CONTRACT_046,boundary,aggregation,no_combined_verdict_or_cross_rule_aggregation,frozen
47,CONTRACT_047,boundary,operations,no_provider_network_download_raw_model_checkpoint_dataloader_training,frozen
48,CONTRACT_048,training,prerequisite,feature_semantics_audit_required_Step12D_smoke_only,frozen
