row_type,field_group,field_name,availability_status,observed_in_sample_index,candidate_source_field,enrichment_requirement,authoritative_now,blocks_final_split,current_sample_count,evidence,status,blocking_reasons,recommended_next_step
required_metadata_field_inventory,protein_identity,uniprot_id,requires_protein_structure_or_sequence_mapping,False,,protein_structure_sequence_uniprot_or_cluster_enrichment,False,True,3,"{""availability_status"": ""requires_protein_structure_or_sequence_mapping"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,protein_identity,protein_sequence,requires_protein_structure_or_sequence_mapping,False,,protein_structure_sequence_uniprot_or_cluster_enrichment,False,True,3,"{""availability_status"": ""requires_protein_structure_or_sequence_mapping"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,protein_identity,protein_sequence_hash,requires_protein_structure_or_sequence_mapping,False,,protein_structure_sequence_uniprot_or_cluster_enrichment,False,True,3,"{""availability_status"": ""requires_protein_structure_or_sequence_mapping"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,protein_identity,protein_sequence_cluster_0p90,requires_protein_structure_or_sequence_mapping,False,,protein_structure_sequence_uniprot_or_cluster_enrichment,False,True,3,"{""availability_status"": ""requires_protein_structure_or_sequence_mapping"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,protein_identity,protein_family,candidate_derivable_requires_validation,False,sample_id,validate_sample_id_regex_and_mapping,False,True,3,"{""availability_status"": ""candidate_derivable_requires_validation"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,protein_identity,target_name,candidate_derivable_requires_validation,False,sample_id,validate_sample_id_regex_and_mapping,False,True,3,"{""availability_status"": ""candidate_derivable_requires_validation"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,protein_identity,binding_site_residue_set_hash,requires_protein_structure_or_sequence_mapping,False,,protein_structure_sequence_uniprot_or_cluster_enrichment,False,True,3,"{""availability_status"": ""requires_protein_structure_or_sequence_mapping"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,protein_identity,local_pocket_signature,requires_protein_structure_or_sequence_mapping,False,,protein_structure_sequence_uniprot_or_cluster_enrichment,False,True,3,"{""availability_status"": ""requires_protein_structure_or_sequence_mapping"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,ligand_identity,canonical_pre_reaction_smiles,requires_ligand_structure_processing,False,,ligand_structure_or_rdkit_enrichment,False,True,3,"{""availability_status"": ""requires_ligand_structure_processing"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,ligand_identity,ligand_inchikey,requires_ligand_structure_processing,False,,ligand_structure_or_rdkit_enrichment,False,True,3,"{""availability_status"": ""requires_ligand_structure_processing"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,ligand_identity,ligand_inchikey_connectivity_layer,requires_ligand_structure_processing,False,,ligand_structure_or_rdkit_enrichment,False,True,3,"{""availability_status"": ""requires_ligand_structure_processing"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,ligand_identity,ligand_ecfp4_fingerprint,requires_ligand_structure_processing,False,,ligand_structure_or_rdkit_enrichment,False,True,3,"{""availability_status"": ""requires_ligand_structure_processing"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,ligand_identity,bemis_murcko_scaffold_smiles,requires_ligand_structure_processing,False,,ligand_structure_or_rdkit_enrichment,False,True,3,"{""availability_status"": ""requires_ligand_structure_processing"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,ligand_identity,scaffold_id,requires_ligand_structure_processing,False,,ligand_structure_or_rdkit_enrichment,False,True,3,"{""availability_status"": ""requires_ligand_structure_processing"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,ligand_identity,ligand_heavy_atom_count,requires_ligand_structure_processing,False,,ligand_structure_or_rdkit_enrichment,False,True,3,"{""availability_status"": ""requires_ligand_structure_processing"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,covalent_identity,reactive_residue_type,candidate_derivable_requires_validation,False,sample_id,validate_sample_id_regex_and_mapping,False,True,3,"{""availability_status"": ""candidate_derivable_requires_validation"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,covalent_identity,reactive_residue_id,candidate_derivable_requires_validation,False,sample_id,validate_sample_id_regex_and_mapping,False,True,3,"{""availability_status"": ""candidate_derivable_requires_validation"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,covalent_identity,reactive_residue_chain,missing_required,False,,metadata_enrichment_required,False,True,3,"{""availability_status"": ""missing_required"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,covalent_identity,ligand_reactive_atom_index,present_exact,True,ligand_reactive_atom_index,none,True,False,3,"{""availability_status"": ""present_exact"", ""observed_in_sample_index"": true}",present,[],real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,covalent_identity,protein_reactive_atom_name,requires_protein_structure_or_sequence_mapping,False,,protein_structure_sequence_uniprot_or_cluster_enrichment,False,True,3,"{""availability_status"": ""requires_protein_structure_or_sequence_mapping"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,covalent_identity,covalent_bond_atom_pair,requires_coordinate_geometry_calculation,False,,coordinate_geometry_enrichment,False,True,3,"{""availability_status"": ""requires_coordinate_geometry_calculation"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,covalent_identity,warhead_type,requires_ligand_structure_processing,False,,ligand_structure_or_rdkit_enrichment,False,True,3,"{""availability_status"": ""requires_ligand_structure_processing"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,covalent_identity,reaction_family,requires_ligand_structure_processing,False,,ligand_structure_or_rdkit_enrichment,False,True,3,"{""availability_status"": ""requires_ligand_structure_processing"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,covalent_identity,post_to_pre_reconstruction_template_id,requires_ligand_structure_processing,False,,ligand_structure_or_rdkit_enrichment,False,True,3,"{""availability_status"": ""requires_ligand_structure_processing"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,geometry_diversity,ligand_reactive_atom_to_cys_sg_distance,requires_coordinate_geometry_calculation,False,,coordinate_geometry_enrichment,False,True,3,"{""availability_status"": ""requires_coordinate_geometry_calculation"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,geometry_diversity,warhead_orientation_descriptor,requires_coordinate_geometry_calculation,False,,coordinate_geometry_enrichment,False,True,3,"{""availability_status"": ""requires_coordinate_geometry_calculation"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,geometry_diversity,linker_length_bin,requires_coordinate_geometry_calculation,False,,coordinate_geometry_enrichment,False,True,3,"{""availability_status"": ""requires_coordinate_geometry_calculation"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,geometry_diversity,pocket_geometry_bin,requires_coordinate_geometry_calculation,False,,coordinate_geometry_enrichment,False,True,3,"{""availability_status"": ""requires_coordinate_geometry_calculation"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,geometry_diversity,target_context_atom_count,requires_coordinate_geometry_calculation,False,,coordinate_geometry_enrichment,False,True,3,"{""availability_status"": ""requires_coordinate_geometry_calculation"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
required_metadata_field_inventory,geometry_diversity,target_mask_atom_count,requires_coordinate_geometry_calculation,False,,coordinate_geometry_enrichment,False,True,3,"{""availability_status"": ""requires_coordinate_geometry_calculation"", ""observed_in_sample_index"": false}",missing,"[""metadata_missing_or_not_authoritative""]",real_covalent_split_metadata_enrichment_design_gate
metadata_group_summary,sample_identity,,missing_required,True,,metadata_enrichment_required,False,True,3,"{""missing"": [""parent_complex_id"", ""mask_parent_id"", ""mask_level"", ""source_dataset"", ""source_pdb_id""], ""present"": [""sample_id""]}",incomplete,"[""missing_group_metadata""]",real_covalent_split_metadata_enrichment_design_gate
metadata_group_summary,protein_identity,,missing_required,False,,metadata_enrichment_required,False,True,3,"{""missing"": [""pdb_id"", ""chain_id"", ""uniprot_id"", ""protein_sequence"", ""protein_sequence_hash"", ""protein_sequence_cluster_0p90"", ""protein_family"", ""target_name"", ""binding_site_residue_set_hash"", ""local_pocket_signature""], ""present"": []}",incomplete,"[""missing_group_metadata""]",real_covalent_split_metadata_enrichment_design_gate
metadata_group_summary,ligand_identity,,missing_required,False,,metadata_enrichment_required,False,True,3,"{""missing"": [""canonical_pre_reaction_smiles"", ""ligand_inchikey"", ""ligand_inchikey_connectivity_layer"", ""ligand_ecfp4_fingerprint"", ""bemis_murcko_scaffold_smiles"", ""scaffold_id"", ""ligand_heavy_atom_count""], ""present"": []}",incomplete,"[""missing_group_metadata""]",real_covalent_split_metadata_enrichment_design_gate
metadata_group_summary,covalent_identity,,missing_required,True,,metadata_enrichment_required,False,True,3,"{""missing"": [""reactive_residue_type"", ""reactive_residue_id"", ""reactive_residue_chain"", ""protein_reactive_atom_name"", ""covalent_bond_atom_pair"", ""warhead_type"", ""reaction_family"", ""post_to_pre_reconstruction_template_id""], ""present"": [""ligand_reactive_atom_index""]}",incomplete,"[""missing_group_metadata""]",real_covalent_split_metadata_enrichment_design_gate
metadata_group_summary,geometry_diversity,,missing_required,False,,metadata_enrichment_required,False,True,3,"{""missing"": [""ligand_reactive_atom_to_cys_sg_distance"", ""warhead_orientation_descriptor"", ""linker_length_bin"", ""pocket_geometry_bin"", ""target_context_atom_count"", ""target_mask_atom_count""], ""present"": []}",incomplete,"[""missing_group_metadata""]",real_covalent_split_metadata_enrichment_design_gate
observed_nonrequired_field_inventory,observed_nonrequired,,observed_nonrequired,,,,,False,3,"{""observed_nonrequired_fields"": [""source_sample_id"", ""split"", ""npz_path"", ""npz_sha256"", ""ligand_atom_count"", ""ligand_bond_count"", ""protein_atom_count"", ""protein_residue_count"", ""scaffold_atom_count"", ""linker_atom_count"", ""warhead_atom_count"", ""materialization_status""]}",passed,[],real_covalent_split_metadata_enrichment_design_gate
candidate_derivation_plan,candidate_derivation,,candidate_derivable_requires_validation,,,,,False,3,"{""candidate_derived_metadata_authoritative"": false, ""candidate_fields_derivable_from_sample_id"": [""source_pdb_id"", ""pdb_id"", ""target_name"", ""reactive_residue_type"", ""reactive_residue_id"", ""protein_family""]}",passed,[],real_covalent_split_metadata_enrichment_design_gate
future_metadata_enrichment_output_plan,future_enrichment,,,,,,,False,3,"{""future_metadata_enrichment_outputs_required"": [""enriched_split_metadata_inventory.csv"", ""enriched_sample_index_for_split.csv"", ""metadata_derivation_manifest.json"", ""metadata_gap_report.csv"", ""candidate_id_mapping_report.csv"", ""ligand_identity_enrichment_report.csv"", ""protein_identity_enrichment_report.csv"", ""covalent_identity_enrichment_report.csv"", ""geometry_diversity_enrichment_report.csv""]}",passed,[],real_covalent_split_metadata_enrichment_design_gate
metadata_inventory_feasibility_decision,feasibility,,,,,,,False,3,"{""metadata_enrichment_required"": true, ""metadata_gap_level"": ""severe""}",passed,[],real_covalent_split_metadata_enrichment_design_gate
safety_and_next_step_decision,safety,,,,,,,False,3,"{""formal_training_allowed"": false, ""recommended_next_step"": ""real_covalent_split_metadata_enrichment_design_gate""}",passed,[],real_covalent_split_metadata_enrichment_design_gate
