fixture_profile,scope_id,candidate_count,orchestrator_dispatcher_call_count,orchestrator_aggregator_call_count,stage_global_rule_ids,stage_global_outcomes,decision_exact15_field,expected_value,observed_value,expected_exact_type,observed_exact_type,verified
canonical_single_candidate_exact4,post_download_acceptance_permission,1,13,1,ADMIT_014,blocked,blocked_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
canonical_single_candidate_exact4,post_download_acceptance_permission,1,13,1,ADMIT_014,blocked,failing_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
canonical_single_candidate_exact4,post_download_acceptance_permission,1,13,1,ADMIT_014,blocked,action_permission_granted,false,false,builtins.bool,builtins.bool,true
canonical_single_candidate_exact4,post_download_acceptance_permission,1,13,1,ADMIT_014,blocked,download_action_invoked,false,false,builtins.bool,builtins.bool,true
canonical_single_candidate_exact4,post_download_acceptance_permission,1,13,1,ADMIT_014,blocked,call_site_io_used,false,false,builtins.bool,builtins.bool,true
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,14,1,ADMIT_014,blocked,schema_version,"""covapie_bulk_download_stage_orchestration_call_site_decision_v1""","""covapie_bulk_download_stage_orchestration_call_site_decision_v1""",builtins.str,builtins.str,true
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,14,1,ADMIT_014,blocked,outcome,"""invalid""","""invalid""",builtins.str,builtins.str,true
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,14,1,ADMIT_014,blocked,passed,false,false,builtins.bool,builtins.bool,true
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,14,1,ADMIT_014,blocked,blocks_download,true,true,builtins.bool,builtins.bool,true
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,14,1,ADMIT_014,blocked,reason,"""BULK_DOWNLOAD_STAGE_SCOPE_INVALID""","""BULK_DOWNLOAD_STAGE_SCOPE_INVALID""",builtins.str,builtins.str,true
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,14,1,ADMIT_014,blocked,source_kind,"""orchestration_result""","""orchestration_result""",builtins.str,builtins.str,true
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,14,1,ADMIT_014,blocked,source_scope_id,"""pre_final_split_acceptance_permission""","""pre_final_split_acceptance_permission""",builtins.str,builtins.str,true
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,14,1,ADMIT_014,blocked,source_error_code,"""""","""""",builtins.str,builtins.str,true
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,14,1,ADMIT_014,blocked,candidate_count,1,1,builtins.int,builtins.int,true
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,14,1,ADMIT_014,blocked,invalid_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,14,1,ADMIT_014,blocked,blocked_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,14,1,ADMIT_014,blocked,failing_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,14,1,ADMIT_014,blocked,action_permission_granted,false,false,builtins.bool,builtins.bool,true
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,14,1,ADMIT_014,blocked,download_action_invoked,false,false,builtins.bool,builtins.bool,true
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,14,1,ADMIT_014,blocked,call_site_io_used,false,false,builtins.bool,builtins.bool,true
canonical_single_candidate_exact4,training_execution_admission_permission,1,15,1,ADMIT_014|ADMIT_015,blocked|blocked,schema_version,"""covapie_bulk_download_stage_orchestration_call_site_decision_v1""","""covapie_bulk_download_stage_orchestration_call_site_decision_v1""",builtins.str,builtins.str,true
canonical_single_candidate_exact4,training_execution_admission_permission,1,15,1,ADMIT_014|ADMIT_015,blocked|blocked,outcome,"""invalid""","""invalid""",builtins.str,builtins.str,true
canonical_single_candidate_exact4,training_execution_admission_permission,1,15,1,ADMIT_014|ADMIT_015,blocked|blocked,passed,false,false,builtins.bool,builtins.bool,true
canonical_single_candidate_exact4,training_execution_admission_permission,1,15,1,ADMIT_014|ADMIT_015,blocked|blocked,blocks_download,true,true,builtins.bool,builtins.bool,true
canonical_single_candidate_exact4,training_execution_admission_permission,1,15,1,ADMIT_014|ADMIT_015,blocked|blocked,reason,"""BULK_DOWNLOAD_STAGE_SCOPE_INVALID""","""BULK_DOWNLOAD_STAGE_SCOPE_INVALID""",builtins.str,builtins.str,true
canonical_single_candidate_exact4,training_execution_admission_permission,1,15,1,ADMIT_014|ADMIT_015,blocked|blocked,source_kind,"""orchestration_result""","""orchestration_result""",builtins.str,builtins.str,true
canonical_single_candidate_exact4,training_execution_admission_permission,1,15,1,ADMIT_014|ADMIT_015,blocked|blocked,source_scope_id,"""training_execution_admission_permission""","""training_execution_admission_permission""",builtins.str,builtins.str,true
canonical_single_candidate_exact4,training_execution_admission_permission,1,15,1,ADMIT_014|ADMIT_015,blocked|blocked,source_error_code,"""""","""""",builtins.str,builtins.str,true
canonical_single_candidate_exact4,training_execution_admission_permission,1,15,1,ADMIT_014|ADMIT_015,blocked|blocked,candidate_count,1,1,builtins.int,builtins.int,true
canonical_single_candidate_exact4,training_execution_admission_permission,1,15,1,ADMIT_014|ADMIT_015,blocked|blocked,invalid_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
canonical_single_candidate_exact4,training_execution_admission_permission,1,15,1,ADMIT_014|ADMIT_015,blocked|blocked,blocked_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
canonical_single_candidate_exact4,training_execution_admission_permission,1,15,1,ADMIT_014|ADMIT_015,blocked|blocked,failing_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
canonical_single_candidate_exact4,training_execution_admission_permission,1,15,1,ADMIT_014|ADMIT_015,blocked|blocked,action_permission_granted,false,false,builtins.bool,builtins.bool,true
canonical_single_candidate_exact4,training_execution_admission_permission,1,15,1,ADMIT_014|ADMIT_015,blocked|blocked,download_action_invoked,false,false,builtins.bool,builtins.bool,true
canonical_single_candidate_exact4,training_execution_admission_permission,1,15,1,ADMIT_014|ADMIT_015,blocked|blocked,call_site_io_used,false,false,builtins.bool,builtins.bool,true
canonical_two_candidate_training_scope,training_execution_admission_permission,2,28,2,ADMIT_014|ADMIT_015,blocked|blocked,schema_version,"""covapie_bulk_download_stage_orchestration_call_site_decision_v1""","""covapie_bulk_download_stage_orchestration_call_site_decision_v1""",builtins.str,builtins.str,true
canonical_two_candidate_training_scope,training_execution_admission_permission,2,28,2,ADMIT_014|ADMIT_015,blocked|blocked,outcome,"""invalid""","""invalid""",builtins.str,builtins.str,true
canonical_two_candidate_training_scope,training_execution_admission_permission,2,28,2,ADMIT_014|ADMIT_015,blocked|blocked,passed,false,false,builtins.bool,builtins.bool,true
canonical_two_candidate_training_scope,training_execution_admission_permission,2,28,2,ADMIT_014|ADMIT_015,blocked|blocked,blocks_download,true,true,builtins.bool,builtins.bool,true
canonical_two_candidate_training_scope,training_execution_admission_permission,2,28,2,ADMIT_014|ADMIT_015,blocked|blocked,reason,"""BULK_DOWNLOAD_STAGE_SCOPE_INVALID""","""BULK_DOWNLOAD_STAGE_SCOPE_INVALID""",builtins.str,builtins.str,true
canonical_two_candidate_training_scope,training_execution_admission_permission,2,28,2,ADMIT_014|ADMIT_015,blocked|blocked,source_kind,"""orchestration_result""","""orchestration_result""",builtins.str,builtins.str,true
canonical_two_candidate_training_scope,training_execution_admission_permission,2,28,2,ADMIT_014|ADMIT_015,blocked|blocked,source_scope_id,"""training_execution_admission_permission""","""training_execution_admission_permission""",builtins.str,builtins.str,true
canonical_two_candidate_training_scope,training_execution_admission_permission,2,28,2,ADMIT_014|ADMIT_015,blocked|blocked,source_error_code,"""""","""""",builtins.str,builtins.str,true
canonical_two_candidate_training_scope,training_execution_admission_permission,2,28,2,ADMIT_014|ADMIT_015,blocked|blocked,candidate_count,2,2,builtins.int,builtins.int,true
canonical_two_candidate_training_scope,training_execution_admission_permission,2,28,2,ADMIT_014|ADMIT_015,blocked|blocked,invalid_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
canonical_two_candidate_training_scope,training_execution_admission_permission,2,28,2,ADMIT_014|ADMIT_015,blocked|blocked,blocked_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
canonical_two_candidate_training_scope,training_execution_admission_permission,2,28,2,ADMIT_014|ADMIT_015,blocked|blocked,failing_candidate_indexes,[],[],builtins.tuple,builtins.tuple,true
canonical_two_candidate_training_scope,training_execution_admission_permission,2,28,2,ADMIT_014|ADMIT_015,blocked|blocked,action_permission_granted,false,false,builtins.bool,builtins.bool,true
canonical_two_candidate_training_scope,training_execution_admission_permission,2,28,2,ADMIT_014|ADMIT_015,blocked|blocked,download_action_invoked,false,false,builtins.bool,builtins.bool,true
canonical_two_candidate_training_scope,training_execution_admission_permission,2,28,2,ADMIT_014|ADMIT_015,blocked|blocked,call_site_io_used,false,false,builtins.bool,builtins.bool,true
