discovery_candidate_id,curation_candidate_id,source_profile,source_database,candidate_metadata_id,pdb_id,ligand_identifier,existing_local_raw_path,existing_local_raw_available,included_in_discovery_manifest,inclusion_reason,candidate_source_audit_passed
CYS_SG_DISC_000013,CUR_EVT_000013,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000013,1AT3,COVPDB690,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1AT3.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000014,CUR_EVT_000014,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000014,1ATK,COVPDB739,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1ATK.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000015,CUR_EVT_000015,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000015,1AU3,COVPDB1218,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1AU3.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000016,CUR_EVT_000016,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000016,1AU4,COVPDB956,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1AU4.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000017,CUR_EVT_000017,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000017,1AU8,COVPDB19,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1AU8.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000018,CUR_EVT_000018,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000018,1AUJ,COVPDB1235,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1AUJ.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000019,CUR_EVT_000019,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000019,1AWF,COVPDB875,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1AWF.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000020,CUR_EVT_000020,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000020,1AXB,COVPDB807,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1AXB.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000021,CUR_EVT_000021,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000021,1AY6,COVPDB102,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1AY6.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000022,CUR_EVT_000022,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000022,1AYU,COVPDB953,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1AYU.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000023,CUR_EVT_000023,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000023,1AYV,COVPDB952,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1AYV.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000024,CUR_EVT_000024,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000024,1AYW,COVPDB951,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1AYW.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
CYS_SG_DISC_000025,CUR_EVT_000025,covpdb_manual_metadata_v0,CovPDB,COVPDB_META_000025,1B02,COVPDB1415,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0/1B02.mmcif,False,True,pdb_id_available_for_raw_evidence_discovery_only,True
summary_template_candidate_count,,covpdb_manual_metadata_v0,CovPDB,,,,,,,25,True
summary_included_in_discovery_manifest_count,,covpdb_manual_metadata_v0,CovPDB,,,,,,,25,True
