discovery_manifest_row_id,purpose,source_profile,source_database,curation_candidate_id,candidate_metadata_id,pdb_id,ligand_identifier,intended_structure_format,intended_download_url_or_resolver,raw_output_path,existing_local_raw_available,discovery_download_status,retry_count,failure_reason,source_metadata_hash,pdb_only_join_role,event_identity_status,downstream_struct_conn_discovery_status,git_tracking_guard,ready_candidate_current_step,ready_for_training_current_step
CYS_SG_DISC_MAN_000011,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000011,COVPDB_META_000011,1AIM,COVPDB1512,cif,rcsb_pdb_id_resolver:1AIM,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AIM.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000012,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000012,COVPDB_META_000012,1ARC,COVPDB644,cif,rcsb_pdb_id_resolver:1ARC,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1ARC.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000013,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000013,COVPDB_META_000013,1AT3,COVPDB690,cif,rcsb_pdb_id_resolver:1AT3,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AT3.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000014,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000014,COVPDB_META_000014,1ATK,COVPDB739,cif,rcsb_pdb_id_resolver:1ATK,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1ATK.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000015,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000015,COVPDB_META_000015,1AU3,COVPDB1218,cif,rcsb_pdb_id_resolver:1AU3,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AU3.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000016,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000016,COVPDB_META_000016,1AU4,COVPDB956,cif,rcsb_pdb_id_resolver:1AU4,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AU4.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000017,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000017,COVPDB_META_000017,1AU8,COVPDB19,cif,rcsb_pdb_id_resolver:1AU8,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AU8.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000018,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000018,COVPDB_META_000018,1AUJ,COVPDB1235,cif,rcsb_pdb_id_resolver:1AUJ,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AUJ.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000019,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000019,COVPDB_META_000019,1AWF,COVPDB875,cif,rcsb_pdb_id_resolver:1AWF,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AWF.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000020,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000020,COVPDB_META_000020,1AXB,COVPDB807,cif,rcsb_pdb_id_resolver:1AXB,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AXB.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000021,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000021,COVPDB_META_000021,1AY6,COVPDB102,cif,rcsb_pdb_id_resolver:1AY6,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AY6.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000022,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000022,COVPDB_META_000022,1AYU,COVPDB953,cif,rcsb_pdb_id_resolver:1AYU,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AYU.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000023,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000023,COVPDB_META_000023,1AYV,COVPDB952,cif,rcsb_pdb_id_resolver:1AYV,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AYV.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000024,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000024,COVPDB_META_000024,1AYW,COVPDB951,cif,rcsb_pdb_id_resolver:1AYW,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AYW.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
CYS_SG_DISC_MAN_000025,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000025,COVPDB_META_000025,1B02,COVPDB1415,cif,rcsb_pdb_id_resolver:1B02,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1B02.cif,False,pending_not_downloaded,0,,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,raw_evidence_fetch_only_not_event_identity,unknown_pending_struct_conn_discovery,pending_future_download_smoke_then_parse,do_not_track_or_commit_raw,False,False
