evidence_id,source_namespace,source_commit_or_direct_producer,source_path,source_sha256,authority_scope,used_fields,authoritative_for_transformation,lineage_note,verified
A01,git_object,0c8d1d10260a028360357b8c309f22676fc81645,data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_current11_cys_sg_candidate_assignment_authority.csv,bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9,formal_reactive_atom_identity,sample_ids;pdb_ids;ligand_ids;C21;CYS:SG,false,candidate assignment identity evidence,true
G01,git_object,dc1222503dcec83220a28df2abdae898a0855864,data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_warhead_rule_registry.csv,3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309,candidate_local_graph,canonical_local_graph_rule_json;formed_bond_order,false,candidate graph is not an approved structural pattern,true
G02,git_object,dc1222503dcec83220a28df2abdae898a0855864,data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_reaction_family_registry.csv,230dc6da03beee55e53df75cba887151c23b703e10dce18de4ff6304d05b6353,candidate_reaction_delta,candidate_family;mechanism_not_claimed,false,candidate reaction family registry,true
G03,git_object,dc1222503dcec83220a28df2abdae898a0855864,data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_current11_reaction_family_and_warhead_rule_design_matrix.csv,24ae0fbd2dc1454574d9ed17145ba71d3b3132ffecfb84a1a831eceb77efab03,formal_pre_reaction_graph,parent_local_bonds_json;observed_local_bonds_json,false,pre-reaction local graph only,true
P01,git_object,68c5ca5cf1ce5b20be5db9ce0b37e10830c09288,data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_observed_to_parent_atom_mapping_authority.csv,f803e0c5fb2585c8dae31dbff254749496f897f4bf9a5103455c6c675a132a1e,formal_pre_reaction_graph,observed_to_parent_atom_mapping,false,observed-to-parent identity projection,true
P02,git_object,68c5ca5cf1ce5b20be5db9ce0b37e10830c09288,data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_parent_and_observed_projected_bond_authority.csv,bd31b7c074c3d4226c26bfe0210b9c3460f38c5087f1157b1167749f91bfffe0,formal_pre_reaction_graph,projected_parent_and_observed_bonds,false,pre-reaction bond authority,true
C01,git_object,e5563ed50db6e56cbdfb6cc629e5eb4fe9137edf,data/derived/covalent_small/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1/covapie_atom_pair_atom_table_mapping_validation_matrix.csv,9f26b25ed11d186a02a1f859de10a105605ce3af13805ac5a4be1ad73199df45,formal_covalent_atom_pair_identity,atom_table_mapping,false,exact identity mapping without transformation semantics,true
C02,git_object,e5563ed50db6e56cbdfb6cc629e5eb4fe9137edf,data/derived/covalent_small/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1/covapie_atom_pair_canonical_record_validation_matrix.csv,c756e6ce601bad1d10cfba5cac6129f9f688d00451cc1d805edff938ccee6ca0,formal_covalent_atom_pair_identity,CYS_SG_to_C21_pair,false,explicit pair identity is not bond-order or transformation authority,true
Y01,git_object,e6a2e0e4cd00efc4635f7fb9ee7bb2008220348e,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/ligand_residue_atom_pair_table.csv,bf68477bccf748c347f4198f71fa95a65899f684a510b73d17ae9e566917bc5e,formal_pair_geometry_only,SG_C21_pair_distance,false,geometry only; not bond order or transformation,true
Y02,git_object,e6a2e0e4cd00efc4635f7fb9ee7bb2008220348e,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/ligand_residue_atom_pair_table.csv,58148a7ea77024eee27f871d618d4e257d3649bfd6a420b2ea6d4050dbcffe8f,formal_pair_geometry_only,SG_C21_pair_distance,false,geometry only; not bond order or transformation,true
U01,sha_bound_formal_state,51810f19e0bbb96171a7dd3aebd72ef08eda0200,state://manual-review/covapie_current11_unified_effective_authority_view_v1.json,f4178987f3c3eed0e248f6d3d5f22cb8bce1839d39ab08aff0bff9d2ef9f3774,formal_boundary_partition,Exact2_effective_attachment_boundaries,false,formal boundary partition only,true
W01,sha_bound_formal_state,35a87a46b08b1362c990c10e95b7ab03d1865af5,state://manual-review/current11-family-rule-approval-v1/README.md,937549dd849dc7ca6bd3f67bad45f4620eedc8658afda3406e939a0b934b7a65,formal_review_schema,formal_review_package_exact5,false,formal review workspace; no transformation authority,true
W02,sha_bound_formal_state,35a87a46b08b1362c990c10e95b7ab03d1865af5,state://manual-review/current11-family-rule-approval-v1/family_rule_approval_worklist.csv,9a85c03384a09620a1c168b023d3a1de2ebb1fed57589e55449ec1672d6c3add,formal_review_schema,formal_30_field_review_contract,false,formal review workspace; no transformation authority,true
W03,sha_bound_formal_state,35a87a46b08b1362c990c10e95b7ab03d1865af5,state://manual-review/current11-family-rule-approval-v1/family_rule_candidate_evidence.json,e0e3e4f2a8e30eea630756579d59fcde7c4ca3fe8dc36e86f6405bc79f3b16d1,formal_review_schema,formal_review_package_exact5,false,formal review workspace; no transformation authority,true
W04,sha_bound_formal_state,35a87a46b08b1362c990c10e95b7ab03d1865af5,state://manual-review/current11-family-rule-approval-v1/sample_support_evidence.csv,efff4ad3e51c4bbbd043db53483db8496e16c20f29a252aef5ce947b37eb1169,formal_review_schema,formal_review_package_exact5,false,formal review workspace; no transformation authority,true
W05,sha_bound_formal_state,35a87a46b08b1362c990c10e95b7ab03d1865af5,state://manual-review/current11-family-rule-approval-v1/review_package_manifest.json,538bf50d3989f4629a4a5b2b709df322789b2e9f892260408817f4ac11416d91,formal_review_schema,formal_review_package_exact5,false,formal review workspace; no transformation authority,true
D01,non_authoritative_state_aid,prepare_covapie_current11_family_rule_approval_review_unit_000001_dossier_v1,state-aid://manual-review-aids/current11-family-rule-approval-v1/CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_UNIT_000001/README.md,0e03596699e9389f5e867b4999361d846cff2b207ee0430be070ec831df17fa9,non_authoritative_review_aid,crosscheck_only,false,non_authoritative_human_review_aid_crosscheck,true
D02,non_authoritative_state_aid,prepare_covapie_current11_family_rule_approval_review_unit_000001_dossier_v1,state-aid://manual-review-aids/current11-family-rule-approval-v1/CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_UNIT_000001/dossier_manifest.json,842585ab0eb2209933c02f2337ea602a06b463fba265c499fd8c6d5e5f2b727b,non_authoritative_review_aid,crosscheck_only,false,non_authoritative_human_review_aid_crosscheck,true
D03,non_authoritative_state_aid,prepare_covapie_current11_family_rule_approval_review_unit_000001_dossier_v1,state-aid://manual-review-aids/current11-family-rule-approval-v1/CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_UNIT_000001/frozen_review_unit_summary.json,18a63b5c8e85e25c5d16eae9b08b7fdb9ba8b64be63ab6947636919346b63041,non_authoritative_review_aid,crosscheck_only,false,non_authoritative_human_review_aid_crosscheck,true
D04,non_authoritative_state_aid,prepare_covapie_current11_family_rule_approval_review_unit_000001_dossier_v1,state-aid://manual-review-aids/current11-family-rule-approval-v1/CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_UNIT_000001/candidate_local_graph.svg,2daad45b6d2b1b35bdfb38ddfc1f5cb38cdf58eabbe31c591273714a6dafdc96,non_authoritative_review_aid,crosscheck_only,false,non_authoritative_human_review_aid_crosscheck,true
D05,non_authoritative_state_aid,prepare_covapie_current11_family_rule_approval_review_unit_000001_dossier_v1,state-aid://manual-review-aids/current11-family-rule-approval-v1/CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_UNIT_000001/sample_support_evidence.csv,2a83a71a313a8f0d542ec84ea46a8a4e1943b327181b7a2227fdbee199062c35,non_authoritative_review_aid,crosscheck_only,false,non_authoritative_human_review_aid_crosscheck,true
D06,non_authoritative_state_aid,prepare_covapie_current11_family_rule_approval_review_unit_000001_dossier_v1,state-aid://manual-review-aids/current11-family-rule-approval-v1/CURRENT11_FAMILY_RULE_APPROVAL_REVIEW_UNIT_000001/human_review_questionnaire.md,3e451ce14a89652e179fa2a0cde83daf617240fa4043b9b9674e307b10527eda,non_authoritative_review_aid,crosscheck_only,false,non_authoritative_human_review_aid_crosscheck,true
