dataloader_interface_smoke_row_id,final_dataset_row_id,sample_id,split_unit_id,extracted_event_id,pdb_id,het_code,mask_task_name,mask_task_alias,source_final_dataset_preview_row_found,interface_row_id_deterministic,csv_json_row_consistent,final_dataset_row_id_preserved,sample_id_preserved,split_unit_id_preserved,extracted_event_id_preserved,interface_preview_rewritten_current_step,actual_dataloader_smoke_written,torch_tensor_created_current_step,checkpoint_loaded_current_step,model_forward_called_current_step,ready_for_training,preview_integrity_qa_passed,qa_comment
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,warhead_only,A,True,True,True,True,True,True,True,False,False,False,False,False,False,True,interface smoke preview validates against final dataset smoke preview without rewrite
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,linker_plus_warhead,B,True,True,True,True,True,True,True,False,False,False,False,False,False,True,interface smoke preview validates against final dataset smoke preview without rewrite
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,scaffold_plus_warhead,B2,True,True,True,True,True,True,True,False,False,False,False,False,False,True,interface smoke preview validates against final dataset smoke preview without rewrite
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,scaffold_only,B3,True,True,True,True,True,True,True,False,False,False,False,False,False,True,interface smoke preview validates against final dataset smoke preview without rewrite
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,scaffold_plus_linker_plus_warhead,C,True,True,True,True,True,True,True,False,False,False,False,False,False,True,interface smoke preview validates against final dataset smoke preview without rewrite
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::warhead_only,final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::warhead_only,sample::covpdb::1A5G::00L::H:SER195:OG-C::warhead_only,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,warhead_only,A,True,True,True,True,True,True,True,False,False,False,False,False,False,True,interface smoke preview validates against final dataset smoke preview without rewrite
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::linker_plus_warhead,sample::covpdb::1A5G::00L::H:SER195:OG-C::linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,linker_plus_warhead,B,True,True,True,True,True,True,True,False,False,False,False,False,False,True,interface smoke preview validates against final dataset smoke preview without rewrite
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_warhead,final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_warhead,sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,scaffold_plus_warhead,B2,True,True,True,True,True,True,True,False,False,False,False,False,False,True,interface smoke preview validates against final dataset smoke preview without rewrite
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_only,final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_only,sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_only,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,scaffold_only,B3,True,True,True,True,True,True,True,False,False,False,False,False,False,True,interface smoke preview validates against final dataset smoke preview without rewrite
dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,scaffold_plus_linker_plus_warhead,C,True,True,True,True,True,True,True,False,False,False,False,False,False,True,interface smoke preview validates against final dataset smoke preview without rewrite
