case_order,case_id,case_group,assertion_kind,download_result_status_representation,observed_http_status_representation,observed_content_length_bytes_representation,observed_sha256_representation,allowed_download_result_statuses_representation,successful_http_status_contract_representation,content_length_contract_representation,sha256_format_contract_representation,expected_admission_rule_id,expected_outcome,expected_passed,expected_blocks_candidate,expected_reason,expected_canonical_download_result_record,expected_validated_download_result_fields,expected_consumed_download_result_fields,expected_consumed_context_items,expected_evaluator_io_used,observed_formal_result,formal_source,evaluator_io_used,truth_passed
11,FIELD52_MISSING_HTTP,field52_missing,formal_projection,'success',<MISSING>,1,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,blocked,false,true,OBSERVED_HTTP_STATUS_MISSING,(),(),"('download_result_status', 'observed_http_status')",(),false,"('ADMIT_012', 'blocked', False, True, 'OBSERVED_HTTP_STATUS_MISSING', (), (), ('download_result_status', 'observed_http_status'), (), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
12,FIELD52_MISSING_CONTENT,field52_missing,formal_projection,'success',200,<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,blocked,false,true,OBSERVED_CONTENT_LENGTH_BYTES_MISSING,(),(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes')",(),false,"('ADMIT_012', 'blocked', False, True, 'OBSERVED_CONTENT_LENGTH_BYTES_MISSING', (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes'), (), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
13,FIELD52_MISSING_SHA,field52_missing,formal_projection,'success',200,1,<MISSING>,"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,blocked,false,true,OBSERVED_SHA256_MISSING,(),(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')",(),false,"('ADMIT_012', 'blocked', False, True, 'OBSERVED_SHA256_MISSING', (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
14,FIELD52_MULTI_MISSING_STATUS_HTTP,field52_missing,formal_projection,<MISSING>,<MISSING>,1,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,blocked,false,true,DOWNLOAD_RESULT_STATUS_MISSING,(),(),"('download_result_status',)",(),false,"('ADMIT_012', 'blocked', False, True, 'DOWNLOAD_RESULT_STATUS_MISSING', (), (), ('download_result_status',), (), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
15,FIELD52_MULTI_MISSING_HTTP_SHA,field52_missing,formal_projection,'success',<MISSING>,1,<MISSING>,"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,blocked,false,true,OBSERVED_HTTP_STATUS_MISSING,(),(),"('download_result_status', 'observed_http_status')",(),false,"('ADMIT_012', 'blocked', False, True, 'OBSERVED_HTTP_STATUS_MISSING', (), (), ('download_result_status', 'observed_http_status'), (), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
16,FIELD52_STATUS_NONE_PRESENT,field52_status_invalid,formal_projection,None,200,1,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,invalid,false,true,DOWNLOAD_RESULT_STATUS_TYPE_INVALID,(),(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')",(),false,"('ADMIT_012', 'invalid', False, True, 'DOWNLOAD_RESULT_STATUS_TYPE_INVALID', (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
17,FIELD52_STATUS_EMPTY_PRESENT,field52_status_invalid,formal_projection,'',200,1,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,invalid,false,true,DOWNLOAD_RESULT_STATUS_VALUE_INVALID,(),(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')",(),false,"('ADMIT_012', 'invalid', False, True, 'DOWNLOAD_RESULT_STATUS_VALUE_INVALID', (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
18,FIELD52_STATUS_UNKNOWN,field52_status_invalid,formal_projection,'unknown',200,1,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,invalid,false,true,DOWNLOAD_RESULT_STATUS_VALUE_INVALID,(),(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')",(),false,"('ADMIT_012', 'invalid', False, True, 'DOWNLOAD_RESULT_STATUS_VALUE_INVALID', (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
19,FIELD52_STATUS_UPPERCASE_ALIAS,field52_status_invalid,formal_projection,'SUCCESS',200,1,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,invalid,false,true,DOWNLOAD_RESULT_STATUS_VALUE_INVALID,(),(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')",(),false,"('ADMIT_012', 'invalid', False, True, 'DOWNLOAD_RESULT_STATUS_VALUE_INVALID', (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
20,FIELD52_STATUS_STR_SUBCLASS,field52_status_invalid,formal_projection,<str-subclass:'success'>,200,1,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',"('success', 'failure')","(('legal_minimum', 100), ('legal_maximum', 599), ('future_success_minimum', 200), ('future_success_maximum', 299), ('admit_012_executes_success_judgment', False))","(('legal_minimum', 0), ('legal_maximum', None), ('zero_allowed', True), ('recomputed_from_file_inside_evaluator', False))","(('length', 64), ('grammar', '[0-9a-f]{64}'), ('case_policy', 'ASCII_lowercase_only'), ('normalization_allowed', False), ('recomputed_from_file_inside_evaluator', False))",ADMIT_012,invalid,false,true,DOWNLOAD_RESULT_STATUS_TYPE_INVALID,(),(),"('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256')",(),false,"('ADMIT_012', 'invalid', False, True, 'DOWNLOAD_RESULT_STATUS_TYPE_INVALID', (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",evaluate_admit_012|Admit012EvaluationResult,false,true
