contract_order,contract_group,item_order,item_name,frozen_value,implementation_observed,contract_passed
38,scope_membership,1,download_execution_permission,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,true
39,scope_membership,2,post_download_acceptance_permission,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,true
40,scope_membership,3,pre_final_split_acceptance_permission,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,true
41,scope_membership,4,training_execution_admission_permission,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014|ADMIT_015,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014|ADMIT_015,true
42,validation_precedence,1,precedence_1,scope_id,scope_id,true
43,validation_precedence,2,precedence_2,ordered_vector_exact_tuple,ordered_vector_exact_tuple,true
44,validation_precedence,3,precedence_3,all_child_runtime_exact13_structure,all_child_runtime_exact13_structure,true
45,validation_precedence,4,precedence_4,all_child_aggregation_identity_and_outcome_admissibility,all_child_aggregation_identity_and_outcome_admissibility,true
46,validation_precedence,5,precedence_5,full_exact_membership,full_exact_membership,true
47,validation_precedence,6,precedence_6,all_child_invalid_outcomes,all_child_invalid_outcomes,true
48,validation_precedence,7,precedence_7,all_child_blocked_outcomes,all_child_blocked_outcomes,true
49,validation_precedence,8,precedence_8,all_child_passed,all_child_passed,true
