final_dataset_field_name,source_field_category,future_dataloader_role,future_batch_key_or_metadata_key,current_smoke_value_status,tensorization_status_current_step,required_before_interface_smoke,required_before_real_dataloader,blocker_before_training,field_mapping_contract_passed
warhead_type_label_status,training_boundary,training_blocker_metadata,blockers.warhead_type_label_status,blocker_value_present,design_only_no_tensorization_current_step,True,True,True,True
ligand_residue_atom_pair_label_status,training_boundary,training_blocker_metadata,blockers.ligand_residue_atom_pair_label_status,blocker_value_present,design_only_no_tensorization_current_step,True,True,True,True
pre_post_geometry_label_status,training_boundary,training_blocker_metadata,blockers.pre_post_geometry_label_status,blocker_value_present,design_only_no_tensorization_current_step,True,True,True,True
coordinate_unit,geometry_source,coordinate_geometry_metadata,geometry.coordinate_unit,geometry_metadata_present_feature_audit_required,design_only_no_tensorization_current_step,True,True,True,True
coordinate_frame_status,geometry_source,training_blocker_metadata,blockers.coordinate_frame_status,blocker_value_present,design_only_no_tensorization_current_step,True,True,True,True
pre_covalent_geometry_status,geometry_source,training_blocker_metadata,blockers.pre_covalent_geometry_status,blocker_value_present,design_only_no_tensorization_current_step,True,True,True,True
post_covalent_geometry_status,geometry_source,training_blocker_metadata,blockers.post_covalent_geometry_status,blocker_value_present,design_only_no_tensorization_current_step,True,True,True,True
feature_semantics_audit_status,training_boundary,training_blocker_metadata,blockers.feature_semantics_audit_status,blocker_value_present,design_only_no_tensorization_current_step,True,True,True,True
feature_semantics_known_for_training,training_boundary,training_blocker_metadata,blockers.feature_semantics_known_for_training,blocker_value_present,design_only_no_tensorization_current_step,True,True,True,True
unknown_atom_feature_policy_finalized_for_training,training_boundary,training_blocker_metadata,blockers.unknown_atom_feature_policy_finalized_for_training,blocker_value_present,design_only_no_tensorization_current_step,True,True,True,True
leakage_split_qa_status,training_boundary,training_blocker_metadata,blockers.leakage_split_qa_status,blocker_value_present,design_only_no_tensorization_current_step,True,True,True,True
split_assignment_status,training_boundary,training_blocker_metadata,blockers.split_assignment_status,blocker_value_present,design_only_no_tensorization_current_step,True,True,True,True
final_dataset_materialized_current_step,identity,identity_metadata,metadata.final_dataset_materialized_current_step,smoke_value_present,design_only_no_tensorization_current_step,True,True,False,True
dataloader_ready,training_boundary,training_blocker_metadata,blockers.dataloader_ready,blocker_value_present,design_only_no_tensorization_current_step,True,True,True,True
ready_for_training,training_boundary,training_blocker_metadata,blockers.ready_for_training,blocker_value_present,design_only_no_tensorization_current_step,True,True,True,True
training_blocker_summary,training_boundary,training_blocker_metadata,blockers.training_blocker_summary,blocker_value_present,design_only_no_tensorization_current_step,True,True,True,True
schema_version,identity,metadata_key_not_tensor,metadata.schema_version,metadata_value_present_in_smoke,design_only_no_tensorization_current_step,True,True,False,True
