metadata_dataset_row_id,getitem_index,dataloader_interface_smoke_row_id,final_dataset_row_id,sample_id,split_unit_id,extracted_event_id,candidate_metadata_id,pdb_id,het_code,chain_id,mask_task_name,mask_task_alias,protein_pocket_atom_table_path,ligand_atom_table_path,protein_atom_row_count_for_event,ligand_atom_row_count_for_event,conditioning_mode,covalent_residue_conditioned,covalent_bond_atom_pair,covalent_bond_distance_angstrom,future_protein_xyz_key,future_ligand_xyz_key,future_mask_selector_key,future_batch_metadata_key,has_identity_metadata,has_path_refs,has_blocker_flags,contains_tensor_values,ready_for_training
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,10,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,H,warhead_only,A,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,246,38,protein_covalent_residue_conditioned,True,OG-C,1.776,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,11,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,H,linker_plus_warhead,B,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,246,38,protein_covalent_residue_conditioned,True,OG-C,1.776,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,12,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,H,scaffold_plus_warhead,B2,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,246,38,protein_covalent_residue_conditioned,True,OG-C,1.776,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,13,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,H,scaffold_only,B3,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,246,38,protein_covalent_residue_conditioned,True,OG-C,1.776,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,14,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,H,scaffold_plus_linker_plus_warhead,C,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,246,38,protein_covalent_residue_conditioned,True,OG-C,1.776,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::warhead_only,15,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::warhead_only,final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::warhead_only,sample::covpdb::1A5G::00L::H:SER195:OG-C::warhead_only,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,H,warhead_only,A,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,301,42,protein_covalent_residue_conditioned,True,OG-C,1.821,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::linker_plus_warhead,16,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::linker_plus_warhead,sample::covpdb::1A5G::00L::H:SER195:OG-C::linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,H,linker_plus_warhead,B,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,301,42,protein_covalent_residue_conditioned,True,OG-C,1.821,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_warhead,17,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_warhead,final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_warhead,sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,H,scaffold_plus_warhead,B2,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,301,42,protein_covalent_residue_conditioned,True,OG-C,1.821,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_only,18,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_only,final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_only,sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_only,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,H,scaffold_only,B3,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,301,42,protein_covalent_residue_conditioned,True,OG-C,1.821,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,19,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,sample::covpdb::1A5G::00L::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000004,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,H,scaffold_plus_linker_plus_warhead,C,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,301,42,protein_covalent_residue_conditioned,True,OG-C,1.821,protein.x,ligand.x,mask.task_name,metadata.sample,True,True,True,False,False
