canonical_event_id,sample_identity,lineage_id,positive_authority_status,role_authority_status,reactive_pair_authority_status,POST_authority_status,PRE_authority_status,runtime_binding_status,current_runtime_model_usable,leakage_group_id,formal_split_authoritative,formal_split,training_admission_readiness,exclusion_reason
COVAPIE_CYS_SG_EVENT_V1:1NFZ:B:CYS:67-:SG:H:EIP:C12,COVAPIE_CYS_SG_EVENT_V1:1NFZ:B:CYS:67-:SG:H:EIP:C12,CUMULATIVE1000_OTHER_HUMAN_RELEVANT_EXACT5,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_E9D0DFDD004B6129,true,test,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:2AX0:A:CYS:366-:SG:F:5X:C1,COVAPIE_CYS_SG_EVENT_V1:2AX0:A:CYS:366-:SG:F:5X:C1,CUMULATIVE1000_OTHER_HUMAN_RELEVANT_EXACT5,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_7F26B737102D844D,true,validation,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:2AX0:B:CYS:366-:SG:K:5X:C1,COVAPIE_CYS_SG_EVENT_V1:2AX0:B:CYS:366-:SG:K:5X:C1,CUMULATIVE1000_OTHER_HUMAN_RELEVANT_EXACT5,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_7F26B737102D844D,true,validation,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:2ZK1:A:CYS:285-:SG:C:PTG:C8,COVAPIE_CYS_SG_EVENT_V1:2ZK1:A:CYS:285-:SG:C:PTG:C8,BATCH001_EXACT13_CURRENT_RUNTIME_AUTHORITY,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_3157B39692D4D3EA,true,train,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:2ZK1:B:CYS:285-:SG:D:PTG:C8,COVAPIE_CYS_SG_EVENT_V1:2ZK1:B:CYS:285-:SG:D:PTG:C8,BATCH001_EXACT13_CURRENT_RUNTIME_AUTHORITY,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_3157B39692D4D3EA,true,train,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:2ZK2:A:CYS:285-:SG:D:PTG:C8,COVAPIE_CYS_SG_EVENT_V1:2ZK2:A:CYS:285-:SG:D:PTG:C8,BATCH001_EXACT13_CURRENT_RUNTIME_AUTHORITY,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_3157B39692D4D3EA,true,train,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:3B9H:A:CYS:146-:SG:D:NDU:C6,COVAPIE_CYS_SG_EVENT_V1:3B9H:A:CYS:146-:SG:D:NDU:C6,BATCH001_EXACT13_CURRENT_RUNTIME_AUTHORITY,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_LEAKAGE_GROUP_000005,true,test,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:3BHL:A:CYS:146-:SG:C:NDU:C6,COVAPIE_CYS_SG_EVENT_V1:3BHL:A:CYS:146-:SG:C:NDU:C6,BATCH001_EXACT13_CURRENT_RUNTIME_AUTHORITY,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_LEAKAGE_GROUP_000005,true,test,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:3BHL:B:CYS:146-:SG:G:NDU:C6,COVAPIE_CYS_SG_EVENT_V1:3BHL:B:CYS:146-:SG:G:NDU:C6,BATCH001_EXACT13_CURRENT_RUNTIME_AUTHORITY,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_LEAKAGE_GROUP_000005,true,test,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:3BHR:A:CYS:146-:SG:E:NDU:C6,COVAPIE_CYS_SG_EVENT_V1:3BHR:A:CYS:146-:SG:E:NDU:C6,BATCH001_EXACT13_CURRENT_RUNTIME_AUTHORITY,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_LEAKAGE_GROUP_000005,true,test,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:3I4A:A:CYS:274-:SG:C:LN5:CZ,COVAPIE_CYS_SG_EVENT_V1:3I4A:A:CYS:274-:SG:C:LN5:CZ,BATCH001_EXACT13_CURRENT_RUNTIME_AUTHORITY,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_8B76795E5CE26D95,true,validation,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:3I4A:B:CYS:274-:SG:D:LN5:CZ,COVAPIE_CYS_SG_EVENT_V1:3I4A:B:CYS:274-:SG:D:LN5:CZ,BATCH001_EXACT13_CURRENT_RUNTIME_AUTHORITY,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_8B76795E5CE26D95,true,validation,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:3LOK:A:CYS:345-:SG:C:DJK:C51,COVAPIE_CYS_SG_EVENT_V1:3LOK:A:CYS:345-:SG:C:DJK:C51,BATCH001_EXACT13_CURRENT_RUNTIME_AUTHORITY,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_B603B4C07705F93D,true,train,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:3LOK:B:CYS:345-:SG:D:DJK:C51,COVAPIE_CYS_SG_EVENT_V1:3LOK:B:CYS:345-:SG:D:DJK:C51,BATCH001_EXACT13_CURRENT_RUNTIME_AUTHORITY,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_B603B4C07705F93D,true,train,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:3O6T:A:CYS:37-:SG:E:PX5:C15,COVAPIE_CYS_SG_EVENT_V1:3O6T:A:CYS:37-:SG:E:PX5:C15,BATCH001_EXACT13_CURRENT_RUNTIME_AUTHORITY,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_AD79B40D8A505F37,true,validation,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:3O6T:C:CYS:37-:SG:G:PX5:C15,COVAPIE_CYS_SG_EVENT_V1:3O6T:C:CYS:37-:SG:G:PX5:C15,BATCH001_EXACT13_CURRENT_RUNTIME_AUTHORITY,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_AD79B40D8A505F37,true,validation,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:4DCD:A:CYS:147-:SG:C:K36:C21,4DCD/K36,EXACT16_K36_DIRECT_ATTACHMENT_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_0AC2E11AA7B6CEE0,true,test,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:4F49:A:CYS:144-:SG:E:K36:C21,4F49/K36,EXACT16_K36_DIRECT_ATTACHMENT_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_0AC2E11AA7B6CEE0,true,test,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:5F2E:A:CYS:12-:SG:E:5UT:C15,5F2E/5UT,APPROVED_EXPANSION_EXACT3_SAMPLE_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_1004A7009A23CEA8,true,test,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:5WKJ:A:CYS:148-:SG:E:K36:C21,5WKJ/K36,EXACT16_K36_DIRECT_ATTACHMENT_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_0AC2E11AA7B6CEE0,true,test,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:6BV5:A:CYS:353-:SG:B:JUG:CAG,CYS_SG_SAMPLE_INDEX_000003,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_LEAKAGE_GROUP_000001,true,train,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:6BV6:A:CYS:346-:SG:B:JUG:CAG,CYS_SG_SAMPLE_INDEX_000001,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_LEAKAGE_GROUP_000001,true,train,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:6BV8:A:CYS:353-:SG:B:JUG:CAG,CYS_SG_SAMPLE_INDEX_000002,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_LEAKAGE_GROUP_000001,true,train,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:6DI9:A:CYS:481-:SG:B:GJJ:C33,6DI9/GJJ,APPROVED_EXPANSION_EXACT3_SAMPLE_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_29510E7F8D2A7A5F,true,train,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:6L70:A:CYS:144-:SG:C:K36:C21,6L70/K36,EXACT16_K36_DIRECT_ATTACHMENT_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_0AC2E11AA7B6CEE0,true,test,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:6OIM:A:CYS:12-:SG:D:MOV:C25,6OIM/MOV,APPROVED_EXPANSION_EXACT3_SAMPLE_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_1004A7009A23CEA8,true,test,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:6WTT:A:CYS:145-:SG:D:K36:C21,6WTT/K36,EXACT16_K36_DIRECT_ATTACHMENT_LINEAGE,FULL_POSITIVE_SUPERVISION_AUTHORITY,authoritative,authoritative,authoritative,unavailable_not_loss_eligible,CURRENT_RUNTIME_BINDING_CLOSED,true,COVAPIE_EXPANSION_LEAKAGE_GROUP_0AC2E11AA7B6CEE0,true,test,FORMAL_NONTRAIN_SPLIT_MEMBER,
