audit_order,audit_item,expected_value,observed_value,audit_passed
30,adapter_ids,"{'ADMIT_001': 'covapie_admit_001_unified_adapter_v1', 'ADMIT_002': 'covapie_admit_002_unified_adapter_v1', 'ADMIT_003': 'covapie_admit_003_unified_adapter_v1', 'ADMIT_004': 'covapie_admit_004_unified_adapter_v1', 'ADMIT_005': 'covapie_admit_005_unified_adapter_v1', 'ADMIT_006': 'covapie_admit_006_unified_adapter_v1', 'ADMIT_007': 'covapie_admit_007_unified_adapter_v1', 'ADMIT_008': 'covapie_admit_008_unified_adapter_v1', 'ADMIT_009': 'covapie_admit_009_unified_adapter_v1', 'ADMIT_010': 'covapie_admit_010_unified_adapter_v1', 'ADMIT_011': 'covapie_admit_011_unified_adapter_v1', 'ADMIT_012': 'covapie_admit_012_unified_adapter_v1'}","{'ADMIT_001': 'covapie_admit_001_unified_adapter_v1', 'ADMIT_002': 'covapie_admit_002_unified_adapter_v1', 'ADMIT_003': 'covapie_admit_003_unified_adapter_v1', 'ADMIT_004': 'covapie_admit_004_unified_adapter_v1', 'ADMIT_005': 'covapie_admit_005_unified_adapter_v1', 'ADMIT_006': 'covapie_admit_006_unified_adapter_v1', 'ADMIT_007': 'covapie_admit_007_unified_adapter_v1', 'ADMIT_008': 'covapie_admit_008_unified_adapter_v1', 'ADMIT_009': 'covapie_admit_009_unified_adapter_v1', 'ADMIT_010': 'covapie_admit_010_unified_adapter_v1', 'ADMIT_011': 'covapie_admit_011_unified_adapter_v1', 'ADMIT_012': 'covapie_admit_012_unified_adapter_v1'}",true
31,mapping_proxy:RULE_NAMES,<class 'mappingproxy'>,<class 'mappingproxy'>,true
32,mutation_rejected:RULE_NAMES,True,True,true
33,mapping_proxy:ADAPTER_IDS,<class 'mappingproxy'>,<class 'mappingproxy'>,true
34,mutation_rejected:ADAPTER_IDS,True,True,true
35,mapping_proxy:EVALUATOR_REGISTRY,<class 'mappingproxy'>,<class 'mappingproxy'>,true
36,mutation_rejected:EVALUATOR_REGISTRY,True,True,true
37,not_registered:ADMIT_013,False,False,true
38,not_registered:ADMIT_014,False,False,true
39,not_registered:ADMIT_015,False,False,true
