case_order,case_id,case_group,entrypoint,rule_id_representation,candidate_record_representation,batch_context_representation,evaluation_context_representation,download_result_context_representation,stage_authorization_context_representation,lookup_order,evaluation_lookup_count,download_lookup_count,candidate_key_access_count,formal_call_count,oracle_call_count,expected_result_or_error,observed_result_or_error,old_handler_identity_preserved,case_passed
11,EXACT11_EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_006,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_006',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_006\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_006_EVALUATION_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_006\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_006_EVALUATION_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
12,EXACT11_EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_007,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_007',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_007\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_007_EVALUATION_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_007\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_007_EVALUATION_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
13,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_NON_STR,predecessor_exact11_regression,evaluate_admission_rule,'6',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID"",""source_case_passed"":true}","{""default_dispatch"":""UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID"",""source_case_passed"":true}",true,true
14,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_STR_SUBCLASS,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_007',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_007\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_007_EVALUATION_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_007\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_007_EVALUATION_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
15,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_UNKNOWN,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_999',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""UNIFIED_ADMISSION_RULE_ID_UNKNOWN"",""source_case_passed"":true}","{""default_dispatch"":""UNIFIED_ADMISSION_RULE_ID_UNKNOWN"",""source_case_passed"":true}",true,true
16,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_KNOWN_UNREGISTERED,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_008',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_008\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_008_EVALUATION_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_008\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_008_EVALUATION_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
17,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_PRECEDENCE,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_999',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID"",""source_case_passed"":true}","{""default_dispatch"":""UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID"",""source_case_passed"":true}",true,true
18,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_001,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_001',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_001\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_001_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_001\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_001_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
19,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_002,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_002',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_id\"":\""covapie_admit_002_unified_adapter_v1\"",\""admission_rule_id\"":\""ADMIT_002\"",\""admission_rule_name\"":\""valid_pdb_id_format\"",\""blocks_candidate\"":true,\""consumed_candidate_fields\"":[\""pdb_id\""],\""consumed_context_items\"":[],\""evaluator_io_used\"":false,\""normalized_values\"":[],\""outcome\"":\""invalid\"",\""passed\"":false,\""reason\"":\""ADMIT_002_CANDIDATE_FIELD_MISSING:pdb_id\"",\""schema_version\"":\""covapie_unified_admission_rule_evaluation_v1\"",\""validated_candidate_fields\"":[]}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_id\"":\""covapie_admit_002_unified_adapter_v1\"",\""admission_rule_id\"":\""ADMIT_002\"",\""admission_rule_name\"":\""valid_pdb_id_format\"",\""blocks_candidate\"":true,\""consumed_candidate_fields\"":[\""pdb_id\""],\""consumed_context_items\"":[],\""evaluator_io_used\"":false,\""normalized_values\"":[],\""outcome\"":\""invalid\"",\""passed\"":false,\""reason\"":\""ADMIT_002_CANDIDATE_FIELD_MISSING:pdb_id\"",\""schema_version\"":\""covapie_unified_admission_rule_evaluation_v1\"",\""validated_candidate_fields\"":[]}"",""source_case_passed"":true}",true,true
20,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_003,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_003',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_id\"":\""covapie_admit_003_unified_adapter_v1\"",\""admission_rule_id\"":\""ADMIT_003\"",\""admission_rule_name\"":\""ligand_or_het_identity_present\"",\""blocks_candidate\"":true,\""consumed_candidate_fields\"":[\""ligand_comp_id\""],\""consumed_context_items\"":[],\""evaluator_io_used\"":false,\""normalized_values\"":[],\""outcome\"":\""invalid\"",\""passed\"":false,\""reason\"":\""ADMIT_003_CANDIDATE_FIELD_MISSING:ligand_comp_id\"",\""schema_version\"":\""covapie_unified_admission_rule_evaluation_v1\"",\""validated_candidate_fields\"":[]}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_id\"":\""covapie_admit_003_unified_adapter_v1\"",\""admission_rule_id\"":\""ADMIT_003\"",\""admission_rule_name\"":\""ligand_or_het_identity_present\"",\""blocks_candidate\"":true,\""consumed_candidate_fields\"":[\""ligand_comp_id\""],\""consumed_context_items\"":[],\""evaluator_io_used\"":false,\""normalized_values\"":[],\""outcome\"":\""invalid\"",\""passed\"":false,\""reason\"":\""ADMIT_003_CANDIDATE_FIELD_MISSING:ligand_comp_id\"",\""schema_version\"":\""covapie_unified_admission_rule_evaluation_v1\"",\""validated_candidate_fields\"":[]}"",""source_case_passed"":true}",true,true
21,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_004,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_004',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_004\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_004_EVALUATION_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_004\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_004_EVALUATION_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
22,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_005,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_005',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_id\"":\""covapie_admit_005_unified_adapter_v1\"",\""admission_rule_id\"":\""ADMIT_005\"",\""admission_rule_name\"":\""cys_sg_scope_only_v1\"",\""blocks_candidate\"":true,\""consumed_candidate_fields\"":[\""covalent_residue_name\"",\""covalent_residue_atom_name\""],\""consumed_context_items\"":[],\""evaluator_io_used\"":false,\""normalized_values\"":[],\""outcome\"":\""invalid\"",\""passed\"":false,\""reason\"":\""ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_name\"",\""schema_version\"":\""covapie_unified_admission_rule_evaluation_v1\"",\""validated_candidate_fields\"":[]}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_id\"":\""covapie_admit_005_unified_adapter_v1\"",\""admission_rule_id\"":\""ADMIT_005\"",\""admission_rule_name\"":\""cys_sg_scope_only_v1\"",\""blocks_candidate\"":true,\""consumed_candidate_fields\"":[\""covalent_residue_name\"",\""covalent_residue_atom_name\""],\""consumed_context_items\"":[],\""evaluator_io_used\"":false,\""normalized_values\"":[],\""outcome\"":\""invalid\"",\""passed\"":false,\""reason\"":\""ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_name\"",\""schema_version\"":\""covapie_unified_admission_rule_evaluation_v1\"",\""validated_candidate_fields\"":[]}"",""source_case_passed"":true}",true,true
23,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_006,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_006',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_006\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_006_EVALUATION_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_006\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_006_EVALUATION_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
24,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P4_A001_PASS,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_001',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_001\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_001_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_001\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_001_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
25,EXACT11_EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_BEHAVIOR_P4_A002_PASS,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_002',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_id\"":\""covapie_admit_002_unified_adapter_v1\"",\""admission_rule_id\"":\""ADMIT_002\"",\""admission_rule_name\"":\""valid_pdb_id_format\"",\""blocks_candidate\"":true,\""consumed_candidate_fields\"":[\""pdb_id\""],\""consumed_context_items\"":[],\""evaluator_io_used\"":false,\""normalized_values\"":[],\""outcome\"":\""invalid\"",\""passed\"":false,\""reason\"":\""ADMIT_002_CANDIDATE_FIELD_MISSING:pdb_id\"",\""schema_version\"":\""covapie_unified_admission_rule_evaluation_v1\"",\""validated_candidate_fields\"":[]}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_id\"":\""covapie_admit_002_unified_adapter_v1\"",\""admission_rule_id\"":\""ADMIT_002\"",\""admission_rule_name\"":\""valid_pdb_id_format\"",\""blocks_candidate\"":true,\""consumed_candidate_fields\"":[\""pdb_id\""],\""consumed_context_items\"":[],\""evaluator_io_used\"":false,\""normalized_values\"":[],\""outcome\"":\""invalid\"",\""passed\"":false,\""reason\"":\""ADMIT_002_CANDIDATE_FIELD_MISSING:pdb_id\"",\""schema_version\"":\""covapie_unified_admission_rule_evaluation_v1\"",\""validated_candidate_fields\"":[]}"",""source_case_passed"":true}",true,true
