matrix_order,matrix_group,case_id,routing_condition,envelope_representation,candidate_key_access_count,adapter_stage_key_access_count,formal_call_count,oracle_call_count,formal_stage_key_access_count,oracle_stage_key_access_count,identity_preserved,expected_dispatch_code,expected_reason,expected_result_json,observed_dispatch_code,observed_reason,observed_result_json,observed_call_order,observed_identity_preserved,observed_candidate_key_access_count,observed_adapter_stage_key_access_count,observed_formal_call_count,observed_oracle_call_count,observed_formal_stage_key_access_count,observed_oracle_stage_key_access_count,case_passed
11,candidate,candidate_empty,empty Mapping is valid and never read,candidate={};stage=None,0,0,1,1,0,0,true,,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",formal|oracle,true,0,0,1,1,0,0,true
12,candidate,candidate_instrumented,candidate Mapping key access remains zero,candidate=instrumented;stage=None,0,0,1,1,0,0,true,,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",formal|oracle,true,0,0,1,1,0,0,true
13,stage,stage_none,None forwarded without routing error,stage=None,0,0,1,1,0,0,true,,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",formal|oracle,true,0,0,1,1,0,0,true
14,stage,stage_object,non-Mapping forwarded without routing error,stage=object,0,0,1,1,0,0,true,,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",formal|oracle,true,0,0,1,1,0,0,true
15,stage,stage_empty_mapping,empty Mapping accessed by formal then oracle,stage={},0,0,1,1,1,1,true,,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",formal|oracle,true,0,0,1,1,1,1,true
16,stage,stage_false,exact False accessed twice and projected lowercase,stage={target:False},0,0,1,1,1,1,true,,BULK_DOWNLOAD_NOT_AUTHORIZED,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""normalized_values"":[[""current_stage_download_authorized"",""false""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",,BULK_DOWNLOAD_NOT_AUTHORIZED,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""normalized_values"":[[""current_stage_download_authorized"",""false""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",formal|oracle,true,0,0,1,1,1,1,true
17,stage,stage_true,exact True accessed twice and projected lowercase,stage={target:True},0,0,1,1,1,1,true,,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",formal|oracle,true,0,0,1,1,1,1,true
18,stage,stage_extra_keys,extra keys and ADMIT_015 item not accessed,"stage={target:True,training:True,extra:1}",0,0,1,1,1,1,true,,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",formal|oracle,true,0,0,1,1,1,1,true
19,stage,stage_keyerror,KeyError evaluated independently twice,stage=KeyError mapping,0,0,1,1,1,1,true,,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",formal|oracle,true,0,0,1,1,1,1,true
20,stage,stage_runtimeerror,RuntimeError evaluated independently twice,stage=RuntimeError mapping,0,0,1,1,1,1,true,,STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",,STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",formal|oracle,true,0,0,1,1,1,1,true
21,stage,stage_valueerror,ValueError evaluated independently twice,stage=ValueError mapping,0,0,1,1,1,1,true,,STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",,STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",formal|oracle,true,0,0,1,1,1,1,true
22,calls,formal_once,formal called exactly once,stable Mapping,0,0,1,1,1,1,true,,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",formal|oracle,true,0,0,1,1,1,1,true
23,calls,oracle_once,oracle called once after source validation,stable Mapping,0,0,1,1,1,1,true,,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",formal|oracle,true,0,0,1,1,1,1,true
24,calls,source_invalid_no_oracle,source prevalidation precedes oracle,formal wrong type,0,0,1,0,0,0,true,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}",UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}",formal,true,0,0,1,0,0,0,true
