failure_case,mutation_signature,mutated_fields,expected_reasons,observed_reasons,expected_reasons_verified,fails_closed,ready_for_reaction_family_rule_design,ready_for_role_proposal_generation,ready_for_mask_materialization,ready_for_model_integration,ready_for_training,verified
unexpected observed atom,4d77f154252be96c4493c7a390dcfbf1683bb9973a0d8af93792ed3c1d1f09f3,"{""unexpected_observed_atom_count"":1}",unexpected_observed_atom,unexpected_observed_atom,true,true,false,false,false,false,false,true
unexplained parent atom missing,37af4f3f286b93eb731018ca76fbe4f04b6c310eacb34687732985cb679bc58b,"{""unexplained_parent_atom_missing_count"":1}",unexplained_parent_atom_missing,unexplained_parent_atom_missing,true,true,false,false,false,false,false,true
leaving-group evidence inconsistent,c4447045ca8880928a82ee7fbaa7210e53bd3a88b52b360e32aeb7302c10ef1d,"{""leaving_group_evidence_consistent"":false}",leaving_group_evidence_inconsistent,leaving_group_evidence_inconsistent,true,true,false,false,false,false,false,true
leaving-group parent bond missing,209de19cb967827cc03b87ed3016dd514e5e5b6196b3592aadefdae5c5a034a4,"{""leaving_group_parent_bond_present"":false}",leaving_group_parent_bond_missing,leaving_group_parent_bond_missing,true,true,false,false,false,false,false,true
projected bond endpoint missing,799c097c7994f1b1903e22bf03d2459acf78e62307890d0d4750aba79acc4500,"{""projected_bond_endpoint_complete"":false}",projected_bond_endpoint_missing,projected_bond_endpoint_missing,true,true,false,false,false,false,false,true
duplicate projected bond,56d429409635fadc4a7cff3a156c91a4fab587a21d2a7f1adb4ba5b3b2eabd44,"{""duplicate_projected_bond_count"":1}",duplicate_projected_bond,duplicate_projected_bond,true,true,false,false,false,false,false,true
observed graph disconnected,1b059e8faac1282479a034eafe74853e02c1e2e410eeb70d29d664c0579c7659,"{""observed_graph_connected"":false}",observed_graph_disconnected,observed_graph_disconnected,true,true,false,false,false,false,false,true
graph SHA nondeterministic,51efb6c402b33808657a2535f11bc218f00b91081ba80c53d5f8e2347d16092c,"{""graph_sha_deterministic"":false}",observed_graph_SHA_nondeterministic,observed_graph_SHA_nondeterministic,true,true,false,false,false,false,false,true
partial materialization attempted,1d6b3a54af8dea14a97f4c5ccc19a695a5a71757f2aed0219ee84b4523842147,"{""partial_materialization_attempted"":true}",partial_materialization_attempted,partial_materialization_attempted,true,true,false,false,false,false,false,true
execution boundary crossed,959a8398ea67e22bd859cfd4e51971d38d0a5ce2b8d2f7b2a3acadd9453def35,"{""execution_boundary_crossed"":true}",execution_boundary_crossed,execution_boundary_crossed,true,true,false,false,false,false,false,true
