contract_id,contract_category,semantic_name,module_consumer,contract_status,source_fields_or_contract,derivation_rule,dtype,rank,shape,width_or_component_count,index_space,local_or_flat,padding_semantics,sentinel_semantics,value_domain_or_vocabulary,unit,coordinate_frame,normalization_or_scaling,label_availability_semantics,loss_mask_semantics,sidecar_only,changes_checkpoint_input_width,materialized_current_step,geometry_component_id,pre_post_or_delta,periodic_or_nonperiodic,canonical_range,target_representation,current_valid_sample_count,evidence_status,blocking_reason,verified
source_to_retained_heavy_index_map,reserved_metadata_only,source_to_retained_heavy_index_map,future tensor materialization adapter,designed,heavy-atom disposition and sample projection matrices,one shared source-row to retained-heavy local-index projection,int64,1,[N_source],1,source_full_atom_row_index_0based,source_to_local_projection,no_padding_admitted,-1 only when source_to_retained_heavy_index_valid is false,retained_heavy_local_index_0based or -1,not_applicable,not_applicable,none,metadata projection only; source index forbidden from model/loss,not_a_loss_mask,true,false,false,,,,,,,BASE_bound_verified,,true
source_to_retained_heavy_index_valid,reserved_metadata_only,source_to_retained_heavy_index_valid,future tensor materialization adapter,designed,heavy-atom disposition matrix,true exactly for retained supported heavy rows,bool,1,[N_source],1,source_full_atom_row_index_0based,source_row_validity,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,required companion for -1 sentinel,not_a_loss_mask,true,false,false,,,,,,,BASE_bound_verified,,true
canonical_task_id,canonical_task_mask,canonical_task_id,future role/mask/anchor-distance encoding,designed,atom-pair validation manifest Exact5 long semantic names,one canonical task id per admitted sample,int64,1,[B],1,batch_sample_index_0based,per_sample,no_padding_admitted,not_applicable,0:warhead_only|1:linker_plus_warhead|2:scaffold_plus_warhead|3:scaffold_only|4:scaffold_plus_linker_plus_warhead,not_applicable,not_applicable,none,always_for_admitted_sample,not_a_loss_mask,true,false,false,,,,,,,BASE_bound_verified,,true
ligand_generation_mask,canonical_task_mask,ligand_generation_mask,future role/mask/anchor-distance encoding,designed_with_blocker,dynamic role vocabulary and Exact5 role-to-task truth table,generation==target; fixed==context; target/context disjoint and exhaustive; C minimal-seed-or-anchor context override applies,bool,2,"[N_ligand,1]",1,flattened_ligand_index_0based,flattened,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,requires complete current11 retained-heavy per-atom role assignments,not_a_loss_mask,true,false,false,,,,,,,vocabulary_frozen_assignments_missing,current11 has no per-atom scaffold/linker/warhead assignments,true
ligand_fixed_mask,canonical_task_mask,ligand_fixed_mask,future role/mask/anchor-distance encoding,designed_with_blocker,dynamic role vocabulary and Exact5 role-to-task truth table,generation==target; fixed==context; target/context disjoint and exhaustive; C minimal-seed-or-anchor context override applies,bool,2,"[N_ligand,1]",1,flattened_ligand_index_0based,flattened,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,requires complete current11 retained-heavy per-atom role assignments,not_a_loss_mask,true,false,false,,,,,,,vocabulary_frozen_assignments_missing,current11 has no per-atom scaffold/linker/warhead assignments,true
ligand_target_mask,canonical_task_mask,ligand_target_mask,future role/mask/anchor-distance encoding,designed_with_blocker,dynamic role vocabulary and Exact5 role-to-task truth table,generation==target; fixed==context; target/context disjoint and exhaustive; C minimal-seed-or-anchor context override applies,bool,2,"[N_ligand,1]",1,flattened_ligand_index_0based,flattened,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,requires complete current11 retained-heavy per-atom role assignments,not_a_loss_mask,true,false,false,,,,,,,vocabulary_frozen_assignments_missing,current11 has no per-atom scaffold/linker/warhead assignments,true
ligand_context_mask,canonical_task_mask,ligand_context_mask,future role/mask/anchor-distance encoding,designed_with_blocker,dynamic role vocabulary and Exact5 role-to-task truth table,generation==target; fixed==context; target/context disjoint and exhaustive; C minimal-seed-or-anchor context override applies,bool,2,"[N_ligand,1]",1,flattened_ligand_index_0based,flattened,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,requires complete current11 retained-heavy per-atom role assignments,not_a_loss_mask,true,false,false,,,,,,,vocabulary_frozen_assignments_missing,current11 has no per-atom scaffold/linker/warhead assignments,true
ligand_minimal_seed_or_anchor_mask,canonical_task_mask,ligand_minimal_seed_or_anchor_mask,future role/mask/anchor-distance encoding,designed_with_blocker,C task rule requires minimal seed/anchor to remain context,true atoms override C target role and remain context,bool,2,"[N_ligand,1]",1,flattened_ligand_index_0based,flattened,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,no committed current11 minimal-seed/anchor locator authority,not_a_loss_mask,true,false,false,,,,,,,required_semantics_not_currently_locatable,minimal_seed_or_anchor_authority_missing,true
target_residue_membership_mask,covalent_sidecar_condition,target_residue_membership_mask,future target residue/atom condition adapter,designed,final dataset residue locator + exact-one atom-pair remap,all retained heavy atoms of specified target residue,bool,2,"[N_pocket,1]",1,flattened_pocket_index_0based,flat,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,11/11 current samples valid,not_a_loss_mask,true,false,false,,,,,,11,BASE_bound_verified,,true
target_residue_reactive_atom_mask,covalent_sidecar_condition,target_residue_reactive_atom_mask,future target residue/atom condition adapter,designed,final dataset residue locator + exact-one atom-pair remap,exactly one true per valid sample and subset of membership,bool,2,"[N_pocket,1]",1,flattened_pocket_index_0based,flat,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,11/11 current samples valid,not_a_loss_mask,true,false,false,,,,,,11,BASE_bound_verified,,true
target_residue_reactive_atom_local_index,covalent_sidecar_condition,target_residue_reactive_atom_local_index,future target residue/atom condition adapter,designed,final dataset residue locator + exact-one atom-pair remap,remapped pocket-local retained-heavy reactive atom index,int64,1,[B],1,retained_heavy_local_index_0based,local,no_padding_admitted,-1 iff condition valid is false,nonnegative index or -1,not_applicable,not_applicable,none,11/11 current samples valid,not_a_loss_mask,true,false,false,,,,,,11,BASE_bound_verified,,true
target_residue_reactive_atom_flat_index,covalent_sidecar_condition,target_residue_reactive_atom_flat_index,future target residue/atom condition adapter,designed,final dataset residue locator + exact-one atom-pair remap,pocket_node_offsets[batch]+reactive local index,int64,1,[B],1,flattened_pocket_index_0based,flat,no_padding_admitted,-1 iff condition valid is false,nonnegative index or -1,not_applicable,not_applicable,none,11/11 current samples valid,not_a_loss_mask,true,false,false,,,,,,11,BASE_bound_verified,,true
target_residue_condition_valid,covalent_sidecar_condition,target_residue_condition_valid,future target residue/atom condition adapter,designed,final dataset residue locator + exact-one atom-pair remap,label and remapped index validity,bool,1,[B],1,batch_sample_index_0based,per_sample,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,11/11 current samples valid,not_a_loss_mask,true,false,false,,,,,,11,BASE_bound_verified,,true
ligand_role_id,covalent_sidecar_condition,ligand_role_id,future role/mask/anchor-distance encoding,designed_with_blocker,masking.py build_long_form_mask argument order,per retained ligand heavy atom role assignment,int64,1,[N_ligand],1,flattened_ligand_index_0based,flattened,no_padding_admitted,-1 iff ligand_role_valid is false,0:scaffold|1:linker|2:warhead,not_applicable,not_applicable,none,current11 role fields absent,not_a_loss_mask,true,false,false,,,,,,,vocabulary_frozen_assignments_missing,current11 has no per-atom scaffold/linker/warhead assignments,true
ligand_role_valid,covalent_sidecar_condition,ligand_role_valid,future role/mask/anchor-distance encoding,designed_with_blocker,masking.py build_long_form_mask argument order,per retained ligand heavy atom role assignment,bool,1,[N_ligand],1,flattened_ligand_index_0based,flattened,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,current11 role fields absent,not_a_loss_mask,true,false,false,,,,,,,vocabulary_frozen_assignments_missing,current11 has no per-atom scaffold/linker/warhead assignments,true
ligand_anchor_distance_angstrom,covalent_sidecar_condition,ligand_anchor_distance_angstrom,future role/mask/anchor-distance encoding,designed,retained-heavy ligand coordinates + target reactive pocket atom,Euclidean distance from each retained ligand heavy atom to target residue reactive atom after H filter,float32,2,"[N_ligand,1]",1,flattened_ligand_index_0based,flattened,no_padding_admitted,not_applicable,finite nonnegative,angstrom,centering_invariant_euclidean_distance,none,false when target atom is unavailable,not_a_loss_mask,true,false,false,,,,,,11,BASE_bound_verified,,true
ligand_anchor_distance_valid,covalent_sidecar_condition,ligand_anchor_distance_valid,future role/mask/anchor-distance encoding,designed,retained-heavy ligand coordinates + target reactive pocket atom,Euclidean distance from each retained ligand heavy atom to target residue reactive atom after H filter,bool,2,"[N_ligand,1]",1,flattened_ligand_index_0based,flattened,no_padding_admitted,not_applicable,false|true,not_applicable,centering_invariant_euclidean_distance,none,false when target atom is unavailable,not_a_loss_mask,true,false,false,,,,,,11,BASE_bound_verified,,true
pair_candidate_offsets,batch_index_structure,pair_candidate_offsets,future pair prediction head and pair contrastive loss,designed,retained_ligand_count and target_residue_retained_heavy_count,exclusive candidate prefix sum; offsets[0]=0; monotone; offsets[-1]=P; offsets[b+1]-offsets[b]=retained_ligand_count[b]*target_residue_retained_heavy_count[b],int64,1,[B+1],1,pair_candidate_index_0based,batch_boundary_to_global_candidate,no_padding_admitted,not_applicable,nonnegative monotone offsets,not_applicable,not_applicable,none,P=1938 for current11 metadata evidence,not_a_loss_mask,true,false,false,,,,,,1938,BASE_bound_verified,,true
pair_candidate_batch_index,batch_index_structure,pair_candidate_batch_index,future pair prediction head and pair contrastive loss,designed,retained ligand heavy atoms × target-residue retained heavy atoms,sample then ligand-local ascending then target-residue membership ordered by pocket retained-heavy local index ascending,int64,1,[P],1,batch_sample_index_0based,per_candidate_value,no_padding_admitted,not_applicable,nonnegative valid index,not_applicable,not_applicable,none,P=1938 for current11 metadata evidence,not_a_loss_mask,true,false,false,,,,,,1938,BASE_bound_verified,,true
pair_candidate_ligand_local_index,batch_index_structure,pair_candidate_ligand_local_index,future pair prediction head and pair contrastive loss,designed,retained ligand heavy atoms × target-residue retained heavy atoms,sample then ligand-local ascending then target-residue membership ordered by pocket retained-heavy local index ascending,int64,1,[P],1,retained_heavy_local_index_0based,ligand_local,no_padding_admitted,not_applicable,nonnegative valid index,not_applicable,not_applicable,none,P=1938 for current11 metadata evidence,not_a_loss_mask,true,false,false,,,,,,1938,BASE_bound_verified,,true
pair_candidate_residue_local_index,batch_index_structure,pair_candidate_residue_local_index,future pair prediction head and pair contrastive loss,designed,retained ligand heavy atoms × target-residue retained heavy atoms,"sample then ligand-local ascending then target-residue membership ordered by pocket retained-heavy local index ascending; value is the pocket retained-heavy local index within the whole sample, never target-residue member ordinal",int64,1,[P],1,retained_heavy_local_index_0based,pocket_retained_heavy_local_within_sample,no_padding_admitted,not_applicable,nonnegative valid index,not_applicable,not_applicable,none,P=1938 for current11 metadata evidence,not_a_loss_mask,true,false,false,,,,,,1938,BASE_bound_verified,,true
pair_candidate_ligand_flat_index,batch_index_structure,pair_candidate_ligand_flat_index,future pair prediction head and pair contrastive loss,designed,retained ligand heavy atoms × target-residue retained heavy atoms,sample then ligand-local ascending then target-residue membership ordered by pocket retained-heavy local index ascending; ligand_node_offsets[batch]+pair_candidate_ligand_local_index,int64,1,[P],1,flattened_ligand_index_0based,ligand_flat,no_padding_admitted,not_applicable,nonnegative valid index,not_applicable,not_applicable,none,P=1938 for current11 metadata evidence,not_a_loss_mask,true,false,false,,,,,,1938,BASE_bound_verified,,true
pair_candidate_pocket_flat_index,batch_index_structure,pair_candidate_pocket_flat_index,future pair prediction head and pair contrastive loss,designed,retained ligand heavy atoms × target-residue retained heavy atoms,sample then ligand-local ascending then target-residue membership ordered by pocket retained-heavy local index ascending; pocket_node_offsets[batch]+pair_candidate_residue_local_index,int64,1,[P],1,flattened_pocket_index_0based,pocket_flat,no_padding_admitted,not_applicable,nonnegative valid index,not_applicable,not_applicable,none,P=1938 for current11 metadata evidence,not_a_loss_mask,true,false,false,,,,,,1938,BASE_bound_verified,,true
pair_candidate_is_positive,auxiliary_training_label,pair_candidate_is_positive,future pair prediction head and pair contrastive loss,designed,exact-one remapped positive and deterministic complement,true only for remapped ligand↔target-residue covalent pair,bool,1,[P],1,pair_candidate_index_0based,per_candidate,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,11/11 samples exact-one positive and at least one negative,not_a_loss_mask,true,false,false,,,,,,1938,BASE_bound_verified,,true
pair_candidate_is_negative,auxiliary_training_label,pair_candidate_is_negative,future pair prediction head and pair contrastive loss,designed,exact-one remapped positive and deterministic complement,true for every same-sample non-positive candidate,bool,1,[P],1,pair_candidate_index_0based,per_candidate,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,11/11 samples exact-one positive and at least one negative,not_a_loss_mask,true,false,false,,,,,,1938,BASE_bound_verified,,true
pair_positive_candidate_index,batch_index_structure,pair_positive_candidate_index,future pair prediction head and pair contrastive loss,designed,pair_candidate_is_positive,"pair_candidate_offsets[b]+positive_ligand_local_index[b]*target_residue_retained_heavy_count[b]+positive_target_residue_member_ordinal[b]; ordinal is enumeration-only, not a formal model index space",int64,1,[B],1,pair_candidate_index_0based,per_sample_to_global_candidate,no_padding_admitted,-1 iff pair_positive_candidate_valid is false,nonnegative candidate index or -1,not_applicable,not_applicable,none,11/11 current samples valid,not_a_loss_mask,true,false,false,,,,,,11,BASE_bound_verified,,true
pair_positive_candidate_valid,auxiliary_training_label,pair_positive_candidate_valid,future pair prediction head and pair contrastive loss,designed,exact-one positive validation,true iff exactly one positive has valid retained-heavy indices,bool,1,[B],1,batch_sample_index_0based,per_sample,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,11/11 current samples valid,not_a_loss_mask,true,false,false,,,,,,11,BASE_bound_verified,,true
pair_negative_count,auxiliary_training_label,pair_negative_count,future pair contrastive loss,designed,pair candidate count minus exact-one positive,all valid same-sample non-positive candidates; no sampling,int64,1,[B],1,batch_sample_index_0based,per_sample,no_padding_admitted,not_applicable,nonnegative integer,not_applicable,not_applicable,none,11/11 current samples have at least one negative,not_a_loss_mask,true,false,false,,,,,,11,BASE_bound_verified,,true
warhead_type_id,auxiliary_training_label,warhead_type_id,future auxiliary warhead-type head (not a sixth module),designed_with_blocker,legacy schema field exists; current11 field absent,deterministically ordered committed vocabulary required before ids,int64,1,[B],1,batch_sample_index_0based,per_sample,no_padding_admitted,-1 iff warhead_type_label_valid is false,unfrozen vocabulary,not_applicable,not_applicable,none,0/11 current samples labeled,not_a_loss_mask,true,false,false,,,,,,0,current11_label_vocabulary_missing,current11 has no committed warhead-type label field or vocabulary,true
warhead_type_label_valid,auxiliary_training_label,warhead_type_label_valid,future auxiliary warhead-type head (not a sixth module),designed_with_blocker,legacy schema field exists; current11 field absent,deterministically ordered committed vocabulary required before ids,bool,1,[B],1,batch_sample_index_0based,per_sample,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,0/11 current samples labeled,not_a_loss_mask,true,false,false,,,,,,0,current11_label_vocabulary_missing,current11 has no committed warhead-type label field or vocabulary,true
geometry_target,auxiliary_training_label,geometry_target,future covalent geometry prediction head,designed_with_blocker,final_dataset_index.bond_distance_angstrom and positive pair table,component 0 is post-covalent positive-pair bond distance,float32,2,"[B,G]",1,batch_sample_index_0based,per_sample_component,no_padding_admitted,numeric sentinel never authorizes loss; validity mask required,finite component values,not_applicable,not_applicable,none,component 0 valid for 11/11; full requested geometry incomplete,not_a_loss_mask,true,false,false,,,,,,11,partial_geometry_component_authority,only post-covalent bond distance is frozen; complete pre/post/delta geometry and angle/dihedral authority are absent,true
geometry_component_valid_mask,auxiliary_training_label,geometry_component_valid_mask,future covalent geometry prediction head,designed_with_blocker,per-component label availability,"true only for present, finite, semantically frozen component",bool,2,"[B,G]",1,batch_sample_index_0based,per_sample_component,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,missing components must be false and never zero-filled into loss,not_a_loss_mask,true,false,false,,,,,,11,partial_geometry_component_authority,only post-covalent bond distance is frozen; complete pre/post/delta geometry and angle/dihedral authority are absent,true
geometry_component_0_post_covalent_bond_distance_angstrom,reserved_metadata_only,post_covalent_positive_pair_bond_distance_angstrom,future geometry_target component 0,designed,final_dataset_index.bond_distance_angstrom crosschecked to pair table,distance for the remapped exact positive retained-heavy pair,float32,1,[B],1,batch_sample_index_0based,per_sample_component,no_padding_admitted,not_applicable,finite positive real,angstrom,centering_invariant_euclidean_distance,none,11/11 current samples valid,not_a_loss_mask,true,false,false,0,post_covalent,nonperiodic,"[0,+inf)",scalar_distance,11,BASE_bound_verified,,true
warhead_type_loss_mask,auxiliary_loss_mask,warhead_type_loss_mask,future auxiliary supervision only,designed_with_blocker,sample admission + label availability + index validity + contract prerequisites,sample admitted AND warhead label available AND id valid,bool,1,[B],1,batch_sample_index_0based,per_sample,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,distinct from canonical generation and padding masks,this row is the explicit auxiliary loss availability mask,true,false,false,,,,,,0,designed_with_known_blocker,current11 has no committed warhead-type label field or vocabulary,true
pair_head_candidate_loss_mask,auxiliary_loss_mask,pair_head_candidate_loss_mask,future auxiliary supervision only,designed,sample admission + label availability + index validity + contract prerequisites,sample admitted AND candidate label available AND all indices valid AND no H/padding,bool,1,[P],1,pair_candidate_index_0based,per_candidate,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,distinct from canonical generation and padding masks,this row is the explicit auxiliary loss availability mask,true,false,false,,,,,,1938,BASE_bound_verified,,true
pair_contrastive_sample_loss_mask,auxiliary_loss_mask,pair_contrastive_sample_loss_mask,future auxiliary supervision only,designed,sample admission + label availability + index validity + contract prerequisites,sample admitted AND exactly one positive AND at least one negative AND indices valid,bool,1,[B],1,batch_sample_index_0based,per_sample,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,distinct from canonical generation and padding masks,this row is the explicit auxiliary loss availability mask,true,false,false,,,,,,11,BASE_bound_verified,,true
geometry_component_loss_mask,auxiliary_loss_mask,geometry_component_loss_mask,future auxiliary supervision only,designed_with_blocker,sample admission + label availability + index validity + contract prerequisites,sample admitted AND component label available AND positive indices valid,bool,2,"[B,G]",1,batch_sample_index_0based,per_sample,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,distinct from canonical generation and padding masks,this row is the explicit auxiliary loss availability mask,true,false,false,,,,,,11,designed_with_known_blocker,only post-covalent bond distance is frozen; complete pre/post/delta geometry and angle/dihedral authority are absent,true
geometry_sample_loss_mask,auxiliary_loss_mask,geometry_sample_loss_mask,future auxiliary supervision only,designed_with_blocker,sample admission + label availability + index validity + contract prerequisites,sample admitted AND at least one geometry component loss mask true,bool,1,[B],1,batch_sample_index_0based,per_sample,no_padding_admitted,not_applicable,false|true,not_applicable,not_applicable,none,distinct from canonical generation and padding masks,this row is the explicit auxiliary loss availability mask,true,false,false,,,,,,11,designed_with_known_blocker,only post-covalent bond distance is frozen; complete pre/post/delta geometry and angle/dihedral authority are absent,true
