source_role,source_path,source_sha256,committed_in_base,source_kind,selector_or_symbol,referenced_contract_count,referenced_sample_count,verified
current11_ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/ligand_atom_table.csv,02f4f7157da8318076290de0b36d21c2e40233e45e315264a67209dd2b4dc0cf,true,csv,BASE-bound current11 committed derived table,15,1,true
current11_positive_pair_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/ligand_residue_atom_pair_table.csv,231604eadff0c6247b32b8f64d7151cc5423245da57705db0cd9a31624f0deb4,true,csv,BASE-bound current11 committed derived table,8,1,true
current11_pocket_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/pocket_atom_table.csv,e61676d8f9c67730ea2b38ff7951665d7d7dbe2a6e288621c854f8497883cb97,true,csv,BASE-bound current11 committed derived table,17,1,true
current11_covalent_event_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA/covalent_event_table.csv,9234209cc4a87d5764e3a0e8964d93838f7a0f4ffd394d3930643807d7ccb8de,true,csv,BASE-bound current11 committed derived table,4,1,true
current11_ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA/ligand_atom_table.csv,a813b57350cfd2bfae664c7b0d7d92a0d5359b8b1274d39eae0a97a76f61bdfa,true,csv,BASE-bound current11 committed derived table,15,1,true
current11_positive_pair_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA/ligand_residue_atom_pair_table.csv,3f8efd3a81ba6bd57bcdeaa9dd1b482ae41c52b6b270193da9c044a51ae9e5fb,true,csv,BASE-bound current11 committed derived table,8,1,true
current11_pocket_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA/pocket_atom_table.csv,e5faa522a02499b47bdc7b3d1bb5cf4d948f343027ce8bd9f897abda8ede2aad,true,csv,BASE-bound current11 committed derived table,17,1,true
current11_covalent_event_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM/covalent_event_table.csv,1d9a50c6737d97c5f6a0e9b1750526981a47283b7a10c5b8a89681c4424dbe82,true,csv,BASE-bound current11 committed derived table,4,1,true
current11_ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM/ligand_atom_table.csv,90c70d05a0a9c1026c90a6c85b9e1989afa8c51671fe084cbb7f063b9427616a,true,csv,BASE-bound current11 committed derived table,15,1,true
current11_positive_pair_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM/ligand_residue_atom_pair_table.csv,798eba5ec3dcfc79642a334647dda6a86e9956ae78e1cfcac59988baf1dfd54e,true,csv,BASE-bound current11 committed derived table,8,1,true
current11_pocket_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM/pocket_atom_table.csv,a025544e56c94b95993800cf30877e9171d798b8d58835ca6090ae7fc4365a98,true,csv,BASE-bound current11 committed derived table,17,1,true
current11_covalent_event_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP/covalent_event_table.csv,92fd91f65cb80f83cc05b6511ff5d8ca7c67988e0150df3445d1fff780a319cb,true,csv,BASE-bound current11 committed derived table,4,1,true
current11_ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP/ligand_atom_table.csv,d6f3a76db2a5448141403007708682ed2278b6bd1137b3be65a95ea615912665,true,csv,BASE-bound current11 committed derived table,15,1,true
current11_positive_pair_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP/ligand_residue_atom_pair_table.csv,fea7bffe928500854fa367326098cc6564ae6fe6124275b1dc6b5638009056fb,true,csv,BASE-bound current11 committed derived table,8,1,true
current11_pocket_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP/pocket_atom_table.csv,16e16364e689fda2d06a84a3ac794bb46d27938de991b968fa28b6da0a7f303f,true,csv,BASE-bound current11 committed derived table,17,1,true
current11_covalent_event_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/covalent_event_table.csv,e02fd270854f92bc25e037c9a233e6c3de43cf8fdabd13e0a32f816d493b12a9,true,csv,BASE-bound current11 committed derived table,4,1,true
current11_ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/ligand_atom_table.csv,3ea203e5ee078792c31edc83074629ba29dda72f6c4f7d90b0aad1246673e399,true,csv,BASE-bound current11 committed derived table,15,1,true
current11_positive_pair_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/ligand_residue_atom_pair_table.csv,bf68477bccf748c347f4198f71fa95a65899f684a510b73d17ae9e566917bc5e,true,csv,BASE-bound current11 committed derived table,8,1,true
current11_pocket_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/pocket_atom_table.csv,82f2b7e0603d6c7fd07c54a45fd91b0b643932e78f56e10ba2627effd7e69a8a,true,csv,BASE-bound current11 committed derived table,17,1,true
current11_covalent_event_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6/covalent_event_table.csv,9a45d2dd5d7e127dc05ef6281034f524c6a9112f8c3c898258d07d5c64dc1756,true,csv,BASE-bound current11 committed derived table,4,1,true
current11_ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6/ligand_atom_table.csv,dfdaa3d37f81a79e51fee9e24434eca353ce922bda0c927fedb053566276bf49,true,csv,BASE-bound current11 committed derived table,15,1,true
current11_positive_pair_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6/ligand_residue_atom_pair_table.csv,5fb89da106edb0b89345267b70b0f92343ab4a5c32214579e17333950314516c,true,csv,BASE-bound current11 committed derived table,8,1,true
current11_pocket_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6/pocket_atom_table.csv,905e15f4f66cee2c177945c89d3cc53084224e69361fc29968d0b607f7c1ba71,true,csv,BASE-bound current11 committed derived table,17,1,true
current11_covalent_event_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/covalent_event_table.csv,232b86af84dcade653b54d39f435763ddb21196c9f893973e60d4afdebe1f263,true,csv,BASE-bound current11 committed derived table,4,1,true
current11_ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/ligand_atom_table.csv,f8f3a1b5b9143b797acc18724e83be2fb0b89876b66081a584e908b83ed0a67c,true,csv,BASE-bound current11 committed derived table,15,1,true
current11_positive_pair_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/ligand_residue_atom_pair_table.csv,58148a7ea77024eee27f871d618d4e257d3649bfd6a420b2ea6d4050dbcffe8f,true,csv,BASE-bound current11 committed derived table,8,1,true
current11_pocket_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/pocket_atom_table.csv,2e5049958a9ebe29a8905c2d6e8b7a24bca4bbdbd742e13f9156319fb42b4ec8,true,csv,BASE-bound current11 committed derived table,17,1,true
current11_covalent_event_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1B02_UFP/covalent_event_table.csv,02667ad8fef7202de78d998a0f1b55c9626ed37736f31190f2021563398b8142,true,csv,BASE-bound current11 committed derived table,4,1,true
current11_ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1B02_UFP/ligand_atom_table.csv,f33a8ebf2edda9cb63e2f81d10812f549bf57858e6ae2ffcbde6282a49c35e9e,true,csv,BASE-bound current11 committed derived table,15,1,true
current11_positive_pair_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1B02_UFP/ligand_residue_atom_pair_table.csv,ec82aa4b3cd6ad253aad2b7f17b227cb2e7787b42d30af6b0c6d589832885c2a,true,csv,BASE-bound current11 committed derived table,8,1,true
current11_pocket_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1B02_UFP/pocket_atom_table.csv,0b076e502a8a0e31c1e136b40e347c8815b4d671dce0f74b987c5e536b423b0a,true,csv,BASE-bound current11 committed derived table,17,1,true
current11_covalent_event_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG/covalent_event_table.csv,3f27937fbca0c54142e7bdfa204f1527b084b9185a4e1afb4078cd6dc0924f9d,true,csv,BASE-bound current11 committed derived table,4,1,true
current11_ligand_atom_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG/ligand_atom_table.csv,0f375a441d3d1718dfdbf084aebae0c4612aaae7905c8131018bed671fb6c70e,true,csv,BASE-bound current11 committed derived table,15,1,true
current11_positive_pair_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG/ligand_residue_atom_pair_table.csv,482ab27961fd57d0a91ebeccc88d1f926fb1991f5ca029f3a7e0183b3422e3fb,true,csv,BASE-bound current11 committed derived table,8,1,true
current11_pocket_atom_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG/pocket_atom_table.csv,1ef54fbbb7d8adf336de6ef29a064a3b689c67a8223240e65986b788a9ad7df8,true,csv,BASE-bound current11 committed derived table,17,1,true
current11_covalent_event_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/covalent_event_table.csv,443126984185d9e180df9096a1d4251c85b0b67cf8903ebad8a09723be739855,true,csv,BASE-bound current11 committed derived table,4,1,true
current11_ligand_atom_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_atom_table.csv,c91bb14b37c9b7231cb0e2fac4e2ba39ce65d65b6a9481b1e83b83890f2e1650,true,csv,BASE-bound current11 committed derived table,15,1,true
current11_positive_pair_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_residue_atom_pair_table.csv,ad6c1b97e6f67e8cfddf934f66e780e67dc5e5764eb78a73ced578909944476f,true,csv,BASE-bound current11 committed derived table,8,1,true
current11_pocket_atom_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,true,csv,BASE-bound current11 committed derived table,17,1,true
current11_covalent_event_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG/covalent_event_table.csv,c145b864c1c2d0d2f6f7e0e2e3797fca25d304180553518720dda0d503a3f497,true,csv,BASE-bound current11 committed derived table,4,1,true
current11_ligand_atom_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG/ligand_atom_table.csv,13d2148bbcf544b62bd256b7ab8f14f31187d550a9e75d8c6d72deddada87d4a,true,csv,BASE-bound current11 committed derived table,15,1,true
current11_positive_pair_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG/ligand_residue_atom_pair_table.csv,4a7f61620b86ba832729744d45045141f7c7b0504f9d79b8acc4652fef429c4d,true,csv,BASE-bound current11 committed derived table,8,1,true
current11_pocket_atom_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG/pocket_atom_table.csv,da421e99a42825bac551884475741bec3bbc15feac2ea7ed7dcbd4e53fcd98a5,true,csv,BASE-bound current11 committed derived table,17,1,true
heavy_atom_disposition_and_projection,data/derived/covalent_small/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_v1/covapie_heavy_atom_disposition_and_index_projection_matrix.csv,b53f438edffab32f78d07df839b8c8437ec4223e31bd8a8885deedf32497b4be,true,csv,2870 explicit type_symbol dispositions,11,0,true
sample_heavy_atom_projection,data/derived/covalent_small/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_v1/covapie_sample_heavy_atom_projection_validation_matrix.csv,63f1df49d9a6f4e0efbee6c8bb474deabaedea9cef91f27d2cf49f7caeee6f96,true,csv,11 retained-heavy sample projections and pair remaps,19,11,true
unknown_policy_resolution_manifest,data/derived/covalent_small/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_v1/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_manifest.json,24cb60ca4f080a72e8c60aef63d105d82ec2f432eecc9b90f3341f52576bb6e0,true,json,resolved feature and unknown-atom policy,18,0,true
unknown_policy_resolution_issue_inventory,data/derived/covalent_small/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_v1/covapie_unknown_atom_policy_resolution_issue_readiness_inventory.csv,133e380feb5f21687b6e196101e0a19fcb46a21dc736e47ba0665a067d593e13,true,csv,Exact32 inherited issue rows,3,0,true
role_mask_documentation_authority,docs/covalent_data_schema.md,d0f11a805ef314273ab9291d68dc9a8260a1885efdb8a89a168edab628983f1f,true,markdown,canonical long-form role/mask table,4,0,true
current_dynamics_consumer,equivariant_diffusion/dynamics.py,16b008598de7c61c0b5575e3af02f9b1a9e6697559864df1591314e4b4ec6b9f,true,python,EGNNDynamics.forward reference only,6,0,true
current_diffusion_consumer,equivariant_diffusion/en_diffusion.py,841f95e8d47fd1bc27f50b76f605bf6d0369308c68c7a65b199e51b00b30d8ef,true,python,normalize/forward/inpaint reference only,6,0,true
current_model_input_consumer,lightning_modules.py,2b771068eda19b6f783e12ff483a02ab6ef8264108f3af5e486d3381fb1e7fb6,true,python,LigandPocketDDPM.forward reference only,6,0,true
current_batch_adapter,src/covalent_ext/batch_adapter.py,e7a492934ec8b87d7ac74138eb85b53951015e591e4439ec4a2a69343b09d93e,true,python,mask and centering adapter reference only,12,0,true
unknown_policy_resolution_source,src/covalent_ext/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_v1.py,1d80862e7c4fa3215ac3f307a45ce3bc8f1e0d4613728133a0ea3118df2df241,true,python,frozen predecessor source,8,0,true
current_diffsbdd_input_adapter,src/covalent_ext/diffsbdd_input_adapter.py,c9fb07156e4643561a8d2902d021cd27637cc4c76d50f80d3cf45d4ab1b42ae6,true,python,flatten and batch-membership reference only,10,0,true
canonical_role_and_mask_authority,src/covalent_ext/masking.py,48bfba93c95222da4d889a9e9e788826ca3577b9126aa9260e26e0e948bb59c5,true,python,LONG_FORM_MASK_COMPONENTS and build_long_form_mask,7,0,true
current_model_input_adapter,src/covalent_ext/model_input_adapter.py,c2876de8d7c01515ef64234fb57698fcc0f2d7b580ab879ddeb6983a0fb8e6e0,true,python,10D model input builder reference only,6,0,true
current_collate_adapter,src/covalent_ext/npz_dataset.py,40f9eff875c6a40304f2e8c0ca623dbc3244980903ef6b24c49babf3f2ce84d3,true,python,covalent_npz_collate_fn reference only,8,0,true
step12d_checkpoint_10d_lineage,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,6a7053a413364746b5ce2e818580405001f5883139815deafbeb41f564e90c43,true,python,smoke legality lineage; not final feature contract,6,0,true
legacy_role_warhead_schema_boundary,src/covalent_ext/schema.py,71d05490e558c8618c13ca2c23d31d4b5c31789e476920fbaeb8344ac007a9b1,true,python,CovalentSample role lists and warhead_type field,4,0,true
