failure_case,mutation_signature,mutated_field,mutated_value_json,expected_reason,observed_reasons,expected_reason_verified,fails_closed,contract_row_count,decision_effect_row_count,current11_readiness_row_count,actual_review_record_count,actual_ingestion_envelope_count,actual_ingestion_result_count,actual_authority_record_count,complete_warhead_atom_set_authority_available,exact_one_attachment_boundary_authority_available,SMARTS_ready,role_ready,mask_ready,model_ready,training_ready,verified
ingestion-envelope field inventory mismatch,48a4d973ef82a4dd187c1cb7283df5ecb5ba927ef9310a1a8195893a065bf046,envelope_field_count,8,INGESTION_ENVELOPE_FIELD_INVENTORY_MISMATCH,"[""INGESTION_ENVELOPE_FIELD_INVENTORY_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
ingestion-envelope exact type invalid,d0fa4f4fb5f1ca74d96e969c78c415bd35dfafd9efce405ffc7749d059b71966,envelope_exact_types_valid,false,INGESTION_ENVELOPE_EXACT_TYPE_INVALID,"[""INGESTION_ENVELOPE_EXACT_TYPE_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
ingestion-envelope SHA mismatch,fbb9791480fcf2f2010052a6a5f0c41b431f4dfc2d6454bbb5bc33139527f66d,envelope_sha_matches,false,INGESTION_ENVELOPE_SHA_MISMATCH,"[""INGESTION_ENVELOPE_SHA_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
submitted review payload SHA mismatch,62a52d42091b3f56da4a9f866036d8ccfffc365e03a767b7a15e148cd916dafc,submitted_payload_sha_matches,false,SUBMITTED_REVIEW_PAYLOAD_SHA_MISMATCH,"[""SUBMITTED_REVIEW_PAYLOAD_SHA_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
envelope/sample/review linkage mismatch,4971b8267417316fd020c4bc39d1fbfd7e5204d361d7a21a75152ee0d53938be,envelope_linkage_matches,false,ENVELOPE_SAMPLE_REVIEW_LINKAGE_MISMATCH,"[""ENVELOPE_SAMPLE_REVIEW_LINKAGE_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
completed review-record SHA invalid,94747ce08f565247e1c2b135c6ab6696afb8d283d739dab19e01f3f587460aef,completed_review_sha_valid,false,COMPLETED_REVIEW_RECORD_SHA_INVALID,"[""COMPLETED_REVIEW_RECORD_SHA_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
not-reviewed submitted as completion,231212938a41358078fd99cae41c0e39d54f196c9f507be53c422729d74e7084,completed_decision,false,REVIEW_NOT_COMPLETED,"[""REVIEW_NOT_COMPLETED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
reviewer not meaningful,caba3b23183ad935ef62d77d1256784acf9fb0f214f88741d27748b9895e995b,reviewer_meaningful,false,REVIEWER_NOT_MEANINGFUL,"[""REVIEWER_NOT_MEANINGFUL""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
forbidden automated reviewer,4664a53934953e7324ce760f56584d31e1e6473e3a1797206f044da1866912fe,reviewer_allowed,false,FORBIDDEN_AUTOMATED_REVIEWER,"[""FORBIDDEN_AUTOMATED_REVIEWER""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
provenance attestation false,e03672d99f5bba43a3fefc795d775deb90cfe84b3d6e9b11ce4ed757a2c7d105,provenance_attested,false,HUMAN_PROVENANCE_ATTESTATION_REQUIRED,"[""HUMAN_PROVENANCE_ATTESTATION_REQUIRED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
provenance attestor invalid,9f9d4e17ef64e4192b8a0350433a567b82991c44d163aad9b9daab13fd97ab99,provenance_attestor_valid,false,PROVENANCE_ATTESTOR_INVALID,"[""PROVENANCE_ATTESTOR_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
select decision dependency invalid,fb041fa04049bf230f89f7641c4b36663ccc3aa232383688ba87f8eab4bb49b3,select_dependency_valid,false,SELECT_DEPENDENCY_INVALID,"[""SELECT_DEPENDENCY_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
select decision references ineligible option,ecbff650958fab120586279f17e9b74ef641b617a252dee947674b76e53e57b0,selected_option_eligible,false,SELECT_OPTION_NOT_REVIEW_ELIGIBLE,"[""SELECT_OPTION_NOT_REVIEW_ELIGIBLE""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
revise decision graph invariant invalid,0b18fac79febfb9100c7a31ef7c0d482ba40b56c26420fc47eb4bbef2c115dac,revise_graph_valid,false,REVISE_GRAPH_INVARIANT_INVALID,"[""REVISE_GRAPH_INVARIANT_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
quarantine decision dependency invalid,cba34b550b36355feadc4fa9657c1601cc03abf6a4486fbbe82169ce7f8973c9,quarantine_dependency_valid,false,QUARANTINE_DEPENDENCY_INVALID,"[""QUARANTINE_DEPENDENCY_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
duplicate sample in batch,da87d26f04daa68749fb4866f9ebbd50081ae738e1d18d35a1513186f63b6f30,unique_sample_batch,false,DUPLICATE_SAMPLE_IN_BATCH,"[""DUPLICATE_SAMPLE_IN_BATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
duplicate review-record SHA in batch,1ea836f39c6628f9a23e4fdafcc2909fc5f5144655c5dc10e7389316b860a339,unique_review_sha_batch,false,DUPLICATE_REVIEW_RECORD_SHA_IN_BATCH,"[""DUPLICATE_REVIEW_RECORD_SHA_IN_BATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
partial-batch policy mismatch,257081ab1669447d5f79a022167b4d8f8c8784c9a1ad4b8cced1b419f6f533e0,partial_batch_allowed,false,PARTIAL_BATCH_POLICY_MISMATCH,"[""PARTIAL_BATCH_POLICY_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
batch atomicity disabled,86cbe9afe10db58e3d243fa8bfffbb55d784743dcfe849a9933db279054fc4ac,batch_atomicity_enabled,false,BATCH_ATOMICITY_DISABLED,"[""BATCH_ATOMICITY_DISABLED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
exact replay not idempotent,b20911991f5ee352a818e2db01cabade51be7f49269a977c18abc1dd63b1c4ff,exact_replay_idempotent,false,EXACT_REPLAY_NOT_IDEMPOTENT,"[""EXACT_REPLAY_NOT_IDEMPOTENT""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
conflicting re-ingestion accepted,0a0ff1dbb8bbb58347846cffe30c6495458759dfb861e825634461928fd9b85d,conflicting_reingestion_blocked,false,CONFLICTING_REINGESTION_ACCEPTED,"[""CONFLICTING_REINGESTION_ACCEPTED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
V1 supersession unexpectedly allowed,c5bce242c2171a6e4ccc33a7adc386859717ebf454f1b63174711499a37c6a38,supersession_available,true,V1_SUPERSESSION_UNEXPECTEDLY_ALLOWED,"[""V1_SUPERSESSION_UNEXPECTEDLY_ALLOWED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
authority source-lineage mismatch,ea19f1c96939dfb7fae59e6b4ad73363a2faa3afe4d84beab98c80ddb6865da3,authority_lineage_matches,false,AUTHORITY_SOURCE_LINEAGE_MISMATCH,"[""AUTHORITY_SOURCE_LINEAGE_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
authority record field/type/hash invalid,39d677eed84c742caa56e2986e762874e9094fc57936b52066ab157741f53679,authority_record_valid,false,AUTHORITY_RECORD_INVALID,"[""AUTHORITY_RECORD_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
ingestion result field/type/hash invalid,f8188feb5d77909af4e0722f048d919f0c5847a21bbbe6f0437038176edb8e5a,ingestion_result_valid,false,INGESTION_RESULT_INVALID,"[""INGESTION_RESULT_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
select/revise failed to open reviewed authority,8f8a9cd7d682e824443fabd427a7b32c288b366965b8acb777ab750a6479314f,select_revise_opens_authority,false,SELECT_REVISE_AUTHORITY_EFFECT_INVALID,"[""SELECT_REVISE_AUTHORITY_EFFECT_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
quarantine incorrectly opened authority,784504b2a311104843610e6adbc34c13b5c36828bdebc15b5fdde2c748568d05,quarantine_opens_authority,true,QUARANTINE_AUTHORITY_EFFECT_INVALID,"[""QUARANTINE_AUTHORITY_EFFECT_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
family/rule/SMARTS/gold prematurely opened,87c0e105281b31124e54d4331b0dca89a7ea69e3f9f86a90c980639c391de9b4,approval_gates_closed,false,PREMATURE_APPROVAL_OPENED,"[""PREMATURE_APPROVAL_OPENED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
role/mask/model/training prematurely opened,24e9b12d43733a3f0637c8e127e145eb390231de356f3e72d3405c1e198bda50,downstream_gates_closed,false,DOWNSTREAM_GATE_OPENED,"[""DOWNSTREAM_GATE_OPENED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
actual review/result/authority materialized during design,604ea4556091d33e961034c7cb9bb9590682f1b476fc2e829e78908217cd674a,actual_lifecycle_record_count,1,DESIGN_MATERIALIZED_LIFECYCLE_RECORD,"[""DESIGN_MATERIALIZED_LIFECYCLE_RECORD""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
completed review/package identity mismatch,2c9b90fd26198e779b30e809723d22869a27722d40a36a25caefaaae47a35653,completed_review_package_identity_matches,false,REVIEW_IDENTITY_LINKAGE_MISMATCH,"[""REVIEW_IDENTITY_LINKAGE_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
mixed submission batch IDs,754f9f43c5afd8d1b1b77a11c2cd7e339fccee43e5be1fe9599918de8ad123a4,single_submission_batch_id,false,SUBMISSION_BATCH_ID_MISMATCH,"[""SUBMISSION_BATCH_ID_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
duplicate existing authority sample,dad31cf880c73d61d3deda15f8b9071d948d6b72b490148322a3c8a63399c903,existing_authority_samples_unique,false,EXISTING_AUTHORITY_SET_INVALID,"[""EXISTING_AUTHORITY_SET_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
existing authority schema/type/hash invalid,3c9274e7ca5e98f0dbc047193a91035601caa73dad4c0d6b268103e07c0a7dc8,existing_authority_records_valid,false,EXISTING_AUTHORITY_SET_INVALID,"[""EXISTING_AUTHORITY_SET_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
existing authority/package lineage mismatch,90567c33c4fd03bb92fdb9821bb0b39a4e7cb988b331e31ff3a434da627f5462,existing_authority_lineage_matches,false,EXISTING_AUTHORITY_LINEAGE_MISMATCH,"[""EXISTING_AUTHORITY_LINEAGE_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
public reason vocabulary or precedence invalid,2e306711d28ab25f24e4d6a78b23b1f1c14a876d70fee4eb047d9b5b09f55aa1,public_reason_contract_valid,false,INGESTION_PUBLIC_REASON_CONTRACT_INVALID,"[""INGESTION_PUBLIC_REASON_CONTRACT_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
authority context source inventory mismatch,7e7d9c075e610e31e5ba147a2f4537982a3bbb658ad6cae39f152f9eaeed52f1,authority_context_source_inventory_matches,false,INGESTION_AUTHORITY_CONTEXT_SOURCE_INVENTORY_MISMATCH,"[""INGESTION_AUTHORITY_CONTEXT_SOURCE_INVENTORY_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
authority context source SHA mismatch,91d4da081a3341371f264c01b135536243e9bf6d00d638a4fc62f3c0d20b4f8e,authority_context_source_sha_matches,false,INGESTION_AUTHORITY_CONTEXT_SOURCE_SHA_MISMATCH,"[""INGESTION_AUTHORITY_CONTEXT_SOURCE_SHA_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
external caller-supplied authority maps accepted,1dc4e392f5c62aeb63113255120ec7683796b2602babe2430403b2d11e2a6d1a,external_authority_maps_forbidden,false,EXTERNAL_AUTHORITY_MAP_INJECTION_ACCEPTED,"[""EXTERNAL_AUTHORITY_MAP_INJECTION_ACCEPTED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
ingestion result reason/effect mismatch,555ba8e58a21759ed31579e2ebe729a6a3cda110ef5bce8d3e4565b2f79b3c44,ingestion_result_reason_effect_valid,false,INGESTION_RESULT_REASON_EFFECT_INVALID,"[""INGESTION_RESULT_REASON_EFFECT_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
existing authority decision evidence invalid,320413badefe1b7955b1900fa248f2844faed30a9e4bd5d434d8795ce685a6df,existing_authority_decision_evidence_valid,false,EXISTING_AUTHORITY_DECISION_EVIDENCE_INVALID,"[""EXISTING_AUTHORITY_DECISION_EVIDENCE_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,false,false,true
