atom_table_role,extracted_atom_field,field_order,field_description,source_or_future_derivation,materialized_current_step,required_in_future_smoke,schema_contract_passed
protein_pocket_atom,extraction_status,21,future protein_pocket_atom field extraction_status,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,feature_semantics_audit_required_before_training,22,future protein_pocket_atom field feature_semantics_audit_required_before_training,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
protein_pocket_atom,ready_for_training,23,future protein_pocket_atom field ready_for_training,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,extracted_atom_id,1,future ligand_atom field extracted_atom_id,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,extracted_event_id,2,future ligand_atom field extracted_event_id,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,allowlist_entry_id,3,future ligand_atom field allowlist_entry_id,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,atom_table_role,4,future ligand_atom field atom_table_role,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,pdb_id,5,future ligand_atom field pdb_id,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,chain_id,6,future ligand_atom field chain_id,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,residue_name,7,future ligand_atom field residue_name,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,residue_index,8,future ligand_atom field residue_index,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,het_code,9,future ligand_atom field het_code,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,atom_name,10,future ligand_atom field atom_name,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,element,11,future ligand_atom field element,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,formal_charge,12,future ligand_atom field formal_charge,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,x,13,future ligand_atom field x,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,y,14,future ligand_atom field y,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,z,15,future ligand_atom field z,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,occupancy,16,future ligand_atom field occupancy,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,b_factor,17,future ligand_atom field b_factor,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,altloc,18,future ligand_atom field altloc,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,model_id,19,future ligand_atom field model_id,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,source_raw_file_path,20,future ligand_atom field source_raw_file_path,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,extraction_status,21,future ligand_atom field extraction_status,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,feature_semantics_audit_required_before_training,22,future ligand_atom field feature_semantics_audit_required_before_training,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
ligand_atom,ready_for_training,23,future ligand_atom field ready_for_training,future_raw_mmcif_atom_site_extraction_smoke,False,True,True
