source_dataset_name,source_dataset_version,source_page_url,source_record_url,covpdb_record_index,pdb_id,protein_name,organism,uniprot_id,uniprot_label,ligand_name,het_code,covpdb_ligand_id,covpdb_complex_card_url,acquisition_method,acquisition_timestamp_utc,raw_structure_downloaded,raw_ligand_downloaded,metadata_only_record
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1422,16,1AU4,Cathepsin K,Homo sapiens (Human),P43235,CATK_HUMAN,4-[[N-[(PHENYLMETHOXY)CARBONYL]-/NL/N-LEUCYL]AMINO]-1[(2S)-2-[[[4-(PYRIDINYLMETHOXY)CARBONYL]AMINO]-4-METHYLPENT/NYL]-3-PYRROLIDINONE,INP,COVPDB956,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1422,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=23,17,1AU8,Cathepsin G,Homo sapiens (Human),P08311,CATG_HUMAN,MOR-LEU-HPQ,0H8,COVPDB19,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=23,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1890,18,1AUJ,Cationic trypsin,Bos taurus (Bovine),P00760,TRY1_BOVIN,(D)PHE-PRO-BOROPHE(M-CN),PPB,COVPDB1235,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1890,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1299,19,1AWF,Prothrombin,Homo sapiens (Human),P00734,THRB_HUMAN,GR133487,GR4,COVPDB875,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1299,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1171,20,1AXB,Beta-lactamase TEM,Escherichia coli,P62593,BLAT_ECOLX,p-nitrophenyl [N-(benzyloxycarbonyl)aminomethyl]phosphonate,FOS,COVPDB807,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1171,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=126,21,1AY6,Prothrombin,Homo sapiens (Human),P00734,THRB_HUMAN,"[({3-[(3S,16R,21aS)-1,4,5,14,17-pentaoxo-16-(2-phenylethyl)-icosahydro-1H-pyrrolo[1,2-d]1,4,7,11-tetraazacyclononadecan-3-yl]propyl}amino)(amino)methylidene]azanium",1ZV,COVPDB102,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=126,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1419,22,1AYU,Cathepsin K,Homo sapiens (Human),P43235,CATK_HUMAN,"1,5-BIS(N-BENZYLOXYCARBONYL-L-LEUCINYL)CARBOHYDRAZIDE",INA,COVPDB953,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1419,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1418,23,1AYV,Cathepsin K,Homo sapiens (Human),P43235,CATK_HUMAN,N-[2-[1-(N-BENZYLOXYCARBONYLAMINO)-3-METHYLBUTYL]THIAZOL-4-YLCARBONYL]-N'-(BENZYLOXYCARBONYL-L-LEUCINYL)HYDRAZIDE,IN6,COVPDB952,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1418,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1417,24,1AYW,Cathepsin K,Homo sapiens (Human),P43235,CATK_HUMAN,1-(N-BENZYLOXYCARBONYL-L-LEUCINYL)-5-(3-BENZYLOXY BENZOYL)CARBOHYDRAZIDE,IN3,COVPDB951,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1417,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
CovPDB,covpdb_web_metadata_smoke_2026-07-06,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2157,25,1B02,Thymidylate synthase 1,Bacillus subtilis (strain 168),P0CI79,TYSY1_BACSU,5-FLUORO-2'-DEOXY-UMP,UFP,COVPDB1415,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2157,urllib_html_metadata_only,2026-07-06T12:59:28+00:00,False,False,True
