discovery_manifest_row_id,purpose,source_profile,source_database,curation_candidate_id,candidate_metadata_id,pdb_id,ligand_identifier,raw_output_path,download_status,download_attempted,raw_file_exists,raw_file_size_bytes,raw_file_sha256,failure_reason,struct_conn_parse_status,struct_conn_row_count,cys_sg_candidate_count,ready_candidate_current_step,ready_for_training_current_step
CYS_SG_DISC_MAN_000013,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000013,COVPDB_META_000013,1AT3,COVPDB690,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AT3.cif,existing_reused,False,True,398601,27ba7aaa813e4aa8cc30465e43cf6a5e2d41c02360e074d73c4956d86566d957,,parsed_struct_conn,2,0,False,False
CYS_SG_DISC_MAN_000014,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000014,COVPDB_META_000014,1ATK,COVPDB739,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1ATK.cif,existing_reused,False,True,221199,1cb488146d62bea587dbdfbf46d81d791582ffcb41afe06ad88cdebb82b59566,,parsed_struct_conn,4,4,False,False
CYS_SG_DISC_MAN_000015,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000015,COVPDB_META_000015,1AU3,COVPDB1218,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AU3.cif,existing_reused,False,True,228535,e4607c28b7741c8495bb78efb9f20af0be4f66e69f04732f1cd2e5adcd257ed2,,parsed_struct_conn,4,4,False,False
CYS_SG_DISC_MAN_000016,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000016,COVPDB_META_000016,1AU4,COVPDB956,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AU4.cif,existing_reused,False,True,227571,13d7897786967a7abe8f574bf6192c4828ec6ae8ecff64f0c0410ce5dd42d12c,,parsed_struct_conn,4,4,False,False
CYS_SG_DISC_MAN_000017,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000017,COVPDB_META_000017,1AU8,COVPDB19,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AU8.cif,existing_reused,False,True,249570,49f30e43e081f4f2b6c32b5ae526cc7c64cca622712d9c2f9bf7f5a9d749f85a,,parsed_struct_conn,4,3,False,False
CYS_SG_DISC_MAN_000018,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000018,COVPDB_META_000018,1AUJ,COVPDB1235,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AUJ.cif,existing_reused,False,True,237331,d0ee0d6b19ae81a55610a5180618d9ec036b0c4dee5c11adc5c064f5ba90e465,,parsed_struct_conn,12,6,False,False
CYS_SG_DISC_MAN_000019,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000019,COVPDB_META_000019,1AWF,COVPDB875,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AWF.cif,existing_reused,False,True,327976,38e9fc782810da4cdda1ed3830fd2bdfddf4b2826d54e57b7999ec6613154003,,parsed_struct_conn,7,4,False,False
CYS_SG_DISC_MAN_000020,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000020,COVPDB_META_000020,1AXB,COVPDB807,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AXB.cif,existing_reused,False,True,269487,3caf7c7fd490163bff771191a60098bd12052a0880d24206376527e82486c2b5,,parsed_struct_conn,2,1,False,False
CYS_SG_DISC_MAN_000021,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000021,COVPDB_META_000021,1AY6,COVPDB102,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AY6.cif,existing_reused,False,True,332439,8e5064166e46a542c89585b6ca9622d36258998abfe148654f88304a4770bee7,,parsed_struct_conn,6,4,False,False
CYS_SG_DISC_MAN_000022,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000022,COVPDB_META_000022,1AYU,COVPDB953,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AYU.cif,existing_reused,False,True,230527,7a50b94adc96bef4222da8e55e7cdb3e854cdd80015fcf76b3a54f4cbf6a2830,,parsed_struct_conn,4,4,False,False
CYS_SG_DISC_MAN_000023,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000023,COVPDB_META_000023,1AYV,COVPDB952,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AYV.cif,existing_reused,False,True,239038,2da1f39b0d86c6285b06dc226004136356a6d45dc32255ed74505836a305519e,,parsed_struct_conn,4,4,False,False
CYS_SG_DISC_MAN_000024,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000024,COVPDB_META_000024,1AYW,COVPDB951,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AYW.cif,existing_reused,False,True,236287,e8402436f23cbccc6317342c5a2f0ffb01acb0ced0ed29df5f6029e9fabcb07d,,parsed_struct_conn,4,4,False,False
CYS_SG_DISC_MAN_000025,evidence_discovery_only,covpdb_manual_metadata_v0,CovPDB,CUR_EVT_000025,COVPDB_META_000025,1B02,COVPDB1415,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1B02.cif,existing_reused,False,True,308673,8566dd300d42eb0301305b0b03eaa876b8d6fc311bf34c9ddf7be7203bf75aa9,,parsed_struct_conn,2,1,False,False
