source_order,source_relative_path,source_kind,expected_sha256,observed_sha256,base_blob_sha256,base_tree_mode,git_tracked,filesystem_regular,non_symlink,parent_chain_non_symlink,pinned_fd_no_follow_read,raw_checkpoint_excluded,audit_result
11,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_download_integrity_field_contract_v1/covapie_admit_012_download_integrity_field_contract.csv,committed_csv,03aef0a14257d9a2c028fcc3dd84c161c29b09bca1a1c71456edc66e2e73c9ce,03aef0a14257d9a2c028fcc3dd84c161c29b09bca1a1c71456edc66e2e73c9ce,03aef0a14257d9a2c028fcc3dd84c161c29b09bca1a1c71456edc66e2e73c9ce,100644,true,true,true,true,true,true,passed
12,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_and_result_contract.csv,committed_csv,682192b492979d9b6114381cbfc02d57c349e3cd8db2541a01177235d34c04e6,682192b492979d9b6114381cbfc02d57c349e3cd8db2541a01177235d34c04e6,682192b492979d9b6114381cbfc02d57c349e3cd8db2541a01177235d34c04e6,100644,true,true,true,true,true,true,passed
13,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_routing_and_consumption_contract.csv,committed_csv,44709c3a679368476c87bcd97dafa2f9cf9bddb4af534c6eb950c565d0919aec,44709c3a679368476c87bcd97dafa2f9cf9bddb4af534c6eb950c565d0919aec,44709c3a679368476c87bcd97dafa2f9cf9bddb4af534c6eb950c565d0919aec,100644,true,true,true,true,true,true,passed
14,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_rule_logic_interface_v1/covapie_admit_012_rule_logic_interface_contract.csv,committed_csv,c5c383e9a9e17c5eb5a4b2c92455da89a78e66f75df7ff31ce0494f08281433e,c5c383e9a9e17c5eb5a4b2c92455da89a78e66f75df7ff31ce0494f08281433e,c5c383e9a9e17c5eb5a4b2c92455da89a78e66f75df7ff31ce0494f08281433e,100644,true,true,true,true,true,true,passed
15,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_rule_logic_interface_v1/covapie_admit_012_rule_logic_interface_manifest.json,committed_manifest,ad131895c0acfdaf5b350105031647bdcac9667370fb6cd43baf8826bea995c8,ad131895c0acfdaf5b350105031647bdcac9667370fb6cd43baf8826bea995c8,ad131895c0acfdaf5b350105031647bdcac9667370fb6cd43baf8826bea995c8,100644,true,true,true,true,true,true,passed
16,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_unified_adapter_contract_v1/covapie_admit_012_unified_adapter_contract.csv,committed_csv,12228051428134223dc4db4ec418ced573637047189056f1fb8df908ca2fe6c8,12228051428134223dc4db4ec418ced573637047189056f1fb8df908ca2fe6c8,12228051428134223dc4db4ec418ced573637047189056f1fb8df908ca2fe6c8,100644,true,true,true,true,true,true,passed
17,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_unified_adapter_contract_v1/covapie_admit_012_unified_adapter_contract_manifest.json,committed_manifest,1df0e2a09817b7763ec4eb767663db169d3239385094da151af28150c2c55d25,1df0e2a09817b7763ec4eb767663db169d3239385094da151af28150c2c55d25,1df0e2a09817b7763ec4eb767663db169d3239385094da151af28150c2c55d25,100644,true,true,true,true,true,true,passed
18,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_012.py,python_source,4d9a49806d4ef71a95c8ad032dfa061f7473b1cb55a573459c155f0cd5d57282,4d9a49806d4ef71a95c8ad032dfa061f7473b1cb55a573459c155f0cd5d57282,4d9a49806d4ef71a95c8ad032dfa061f7473b1cb55a573459c155f0cd5d57282,100644,true,true,true,true,true,true,passed
19,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_012_v1/covapie_admit_001_to_012_registry_and_identity_audit.csv,committed_csv,57ed1f04df27c7b30ec4cea97aead99e7788a2968f77245280850ae26f399e59,57ed1f04df27c7b30ec4cea97aead99e7788a2968f77245280850ae26f399e59,57ed1f04df27c7b30ec4cea97aead99e7788a2968f77245280850ae26f399e59,100644,true,true,true,true,true,true,passed
20,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_012_v1/covapie_admit_001_to_012_runtime_manifest.json,committed_manifest,bc909aefd86b62139fbb62025d9c323988a4c232ab9c960efb291fb0c196cee3,bc909aefd86b62139fbb62025d9c323988a4c232ab9c960efb291fb0c196cee3,bc909aefd86b62139fbb62025d9c323988a4c232ab9c960efb291fb0c196cee3,100644,true,true,true,true,true,true,passed
21,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,committed_csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,100644,true,true,true,true,true,true,passed
22,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,committed_csv,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,100644,true,true,true,true,true,true,passed
23,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,committed_csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,100644,true,true,true,true,true,true,passed
24,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,committed_csv,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,100644,true,true,true,true,true,true,passed
25,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,committed_csv,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,100644,true,true,true,true,true,true,passed
