route_order,case_id,contract_kind,source_envelope,source_key,formal_parameter,presence,missing_representation,consumed_semantics,validated_semantics,canonical_semantics,adapter_responsibility,evaluator_responsibility,route_passed
21,INVALID_OBSERVED_CONTENT_LENGTH_BYTES,consumption_case,standalone_evaluator,observed_content_length_bytes,observed_content_length_bytes,required,present invalid,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,download_result_status|observed_http_status,empty,route scalar by identity,invalid at first Exact4 type/value failure,true
22,MISSING_OBSERVED_SHA256,consumption_case,standalone_evaluator,observed_sha256,observed_sha256,required,private singleton,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,download_result_status|observed_http_status|observed_content_length_bytes,empty,route scalar by identity,blocked at first missing during Exact4 presence,true
23,INVALID_OBSERVED_SHA256,consumption_case,standalone_evaluator,observed_sha256,observed_sha256,required,present invalid,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,download_result_status|observed_http_status|observed_content_length_bytes,empty,route scalar by identity,invalid at first Exact4 type/value failure,true
24,INVALID_EXPECTED_CONTENT_LENGTH_BYTES,consumption_case,standalone_evaluator,expected_content_length_bytes,expected_content_length_bytes,optional,present invalid,expected_content_length_bytes,provided valid authority names before failure,provided valid authority pairs before failure,route optional scalar by identity,invalid before every business reason,true
25,INVALID_EXPECTED_SHA256,consumption_case,standalone_evaluator,expected_sha256,expected_sha256,optional,present invalid,expected_content_length_bytes|expected_sha256,provided valid authority names before failure,provided valid authority pairs before failure,route optional scalar by identity,invalid before every business reason,true
26,INVALID_EXPLICIT_INTEGRITY_VERDICT,consumption_case,standalone_evaluator,explicit_integrity_verdict,explicit_integrity_verdict,optional,present invalid,expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,provided valid authority names before failure,provided valid authority pairs before failure,route optional scalar by identity,invalid before every business reason,true
27,BUSINESS_BLOCKED,consumption_case,standalone_evaluator,Exact7,Exact7,mixed required/optional,optional absence legal,complete Exact4|complete Exact3 lookups,complete Exact4 names|present-valid Exact3 names,complete Exact4 pairs|present-valid Exact3 pairs,route only two authorized envelopes,pure in-memory business evaluation with no normalization/recompute,true
28,PASSED,consumption_case,standalone_evaluator,Exact7,Exact7,mixed required/optional,optional absence legal,complete Exact4|complete Exact3 lookups,complete Exact4 names|present-valid Exact3 names,complete Exact4 pairs|present-valid Exact3 pairs,route only two authorized envelopes,pure in-memory business evaluation with no normalization/recompute,true
29,NO_ADMIT012_RESULT_DEPENDENCY,dependency_boundary,none,Admit012EvaluationResult,,forbidden,not_applicable,none,none,none,ADMIT_012 may only be a logical pipeline prerequisite,no prior_admit_012_result or cross-rule Python object consumption,true
30,SCALAR_ONLY,call_shape,two authorized envelopes,Exact7,Exact7 scalar keywords,mixed required/optional,private singleton only,no Mapping consumption,no Mapping consumption,no Mapping result input,future adapter extracts scalars,no dynamic Mapping/policy-context/*args/**kwargs,true
