loader_shape_dry_run_sample_id,review_row_id,shape_item,expected_rank,observed_rank,expected_first_dimension_source,expected_first_dimension_value,observed_shape,observed_dtype_family,shape_observation_status,tensor_persisted,shape_observation_passed,shape_contract_consistency_validated,shape_qa_passed,blocking_reasons
LSDR_DESIGN_000002,HR_0003,ligand_atom_coordinates,2,2,ligand_atom_count,per_sample_variable,"[30, 3]",floating,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000002,HR_0003,ligand_atom_features,2,2,ligand_atom_count,per_sample_variable,"[30, 1]",integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000002,HR_0003,ligand_bond_index,2,2,ligand_bond_count,per_sample_variable,"[2, 33]",integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000002,HR_0003,ligand_bond_features,2,2,ligand_bond_count,per_sample_variable,"[33, 1]",integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000002,HR_0003,ligand_group_labels,1,1,ligand_atom_count,per_sample_variable,[30],integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000002,HR_0003,covalent_endpoint_atom_mask,1,1,ligand_atom_count,per_sample_variable,[30],boolean,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000002,HR_0003,reactive_residue_atom_coordinates,1,1,single_reactive_atom,1,[3],floating,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000002,HR_0003,canonical_mask_task_id_or_name,1,1,mask_task_count,5,[1],integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000002,HR_0003,auxiliary_warhead_type_label,0,0,sample,1,[],integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000002,HR_0003,auxiliary_ligand_residue_atom_pair_label,0,0,sample,1,[],integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000002,HR_0003,auxiliary_pre_post_geometry_label,0,0,sample,1,[],floating,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000003,HR_0004,pocket_atom_coordinates,2,2,pocket_atom_count,per_sample_variable,"[263, 3]",floating,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000003,HR_0004,pocket_atom_features,2,2,pocket_atom_count,per_sample_variable,"[263, 1]",integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000003,HR_0004,pocket_residue_features,2,2,pocket_atom_count,per_sample_variable,"[263, 1]",integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000003,HR_0004,ligand_atom_coordinates,2,2,ligand_atom_count,per_sample_variable,"[41, 3]",floating,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000003,HR_0004,ligand_atom_features,2,2,ligand_atom_count,per_sample_variable,"[41, 1]",integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000003,HR_0004,ligand_bond_index,2,2,ligand_bond_count,per_sample_variable,"[2, 45]",integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000003,HR_0004,ligand_bond_features,2,2,ligand_bond_count,per_sample_variable,"[45, 1]",integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000003,HR_0004,ligand_group_labels,1,1,ligand_atom_count,per_sample_variable,[41],integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000003,HR_0004,covalent_endpoint_atom_mask,1,1,ligand_atom_count,per_sample_variable,[41],boolean,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000003,HR_0004,reactive_residue_atom_coordinates,1,1,single_reactive_atom,1,[3],floating,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000003,HR_0004,canonical_mask_task_id_or_name,1,1,mask_task_count,5,[1],integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000003,HR_0004,auxiliary_warhead_type_label,0,0,sample,1,[],integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000003,HR_0004,auxiliary_ligand_residue_atom_pair_label,0,0,sample,1,[],integer,observed_in_transient_shape_smoke,False,True,True,True,
LSDR_DESIGN_000003,HR_0004,auxiliary_pre_post_geometry_label,0,0,sample,1,[],floating,observed_in_transient_shape_smoke,False,True,True,True,
