vocabulary_order,source_relative_path,source_sha256,source_kind,symbol_or_row_id,observed_term,observed_role,semantic_category,explicitly_declared_duplicate_key,explicitly_declared_duplicate_key_component,exact_duplicate_equivalence_declared,safe_to_use_in_duplicate_key_contract_now,promotion_blocker,inventory_passed
11,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,committed_contract_csv,admission_field_name,covalent_bond_atom_pair,covalent atom-pair evidence,atom_pair_identity,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
12,data/derived/covalent_small/covapie_independent_group_expansion_batch_independence_evidence_materialization_smoke_v0/covapie_ligand_graph_scaffold_evidence.csv,982a9f89a89d3a4ad6a3e468cfd16d2fdfd5435cbf6d593e086fbd7fadd3ec73,committed_contract_csv,column,ligand_graph_group_id,ligand graph grouping identity,ligand_graph_group,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
13,data/derived/covalent_small/covapie_independent_group_expansion_batch_independence_evidence_materialization_smoke_v0/covapie_ligand_graph_scaffold_evidence.csv,982a9f89a89d3a4ad6a3e468cfd16d2fdfd5435cbf6d593e086fbd7fadd3ec73,committed_contract_csv,column,ligand_scaffold_group_id,ligand scaffold grouping identity,ligand_scaffold_group,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
14,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,committed_contract_csv,column,protein_exact_sequence_group_id,protein exact-sequence group,protein_identity_group,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
15,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,committed_contract_csv,column,protein_accession_group_id,protein accession group,protein_identity_group,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
16,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,committed_contract_csv,column,protein_sequence_cluster_90_id,protein 90-percent sequence cluster,protein_identity_group,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
17,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,committed_contract_csv,column,protein_sequence_cluster_50_id,protein 50-percent sequence cluster,protein_identity_group,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
18,data/derived/covalent_small/covapie_unified_independence_group_assignment_and_sample_index_merge_smoke_v0/covapie_final_leakage_group_assignment.csv,768c964f22e19a8fb6232b1fa26c531e53d023042abcd9b1bcca44df2b4f4416,committed_contract_csv,column,final_leakage_group_id,conservative multi-relation must-link group,leakage_group,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
19,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,committed_contract_csv,admission_field_name,leakage_group_id,pre-final-split leakage group candidate field,leakage_group,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
20,data/derived/covalent_small/covapie_unified_leakage_split_materialization_smoke_v0/covapie_sample_split_assignment.csv,29ffff244e33e3ec93f2c2b3e5e42a09ce73d7f55019f833e97659301f6a388c,committed_contract_csv,column,sample_split_assignment_id,sample split assignment identity,split_assignment,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
21,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/covapie_final_dataset_membership.csv,ddf1705176c8680d90e0e216a9af3d1501c6a821764c3e7138a28269e687a977,committed_contract_csv,column,final_dataset_membership_id,materialized final-dataset membership identity,sample_identifier,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
22,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,committed_contract_csv,ADMIT_009.required_status,duplicate_precheck_complete,historical required status,historical_required_status,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
23,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,committed_contract_csv,ADMIT_009.blocking_reason,duplicate_identity_unresolved,historical lowercase umbrella reason,historical_blocking_reason,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
24,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008_v1/covapie_admit_001_to_008_runtime_issue_inventory.csv,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,committed_contract_csv,issue_id,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,open implementation blocker,implementation_blocker,false,false,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,true
