matrix_order,matrix_group,case_id,condition,expected_behavior,expected_reason,expected_result_json,formal_call_count,oracle_call_count,candidate_access_status,required_lookup_count,identity_preserved,case_passed
11,context,evaluation_direct_lookup,single direct getitem,one_lookup_no_get_or_contains,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_010"",""admission_rule_name"":""leakage_group_assignment_before_split"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""validated_candidate_fields"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""consumed_candidate_fields"":[""leakage_group_id""],""consumed_context_items"":[""leakage_group_assignment_provenance_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_010_unified_adapter_v1""}",1,1,value_read_once,2,true,true
12,context,evaluation_lookup_non_key_error,getitem raises RuntimeError,exception_propagates,RuntimeError,,0,0,not_accessed,1,n/a,true
13,context,download_non_none,download non-None,dispatch_error,ADMIT_010_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_010"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_010_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}",0,0,not_accessed,1,true,true
14,context,stage_non_none,stage non-None,dispatch_error,ADMIT_010_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_010"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_010_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE""}",0,0,not_accessed,1,true,true
15,context,multiple_failure_precedence,all contexts invalid,first_batch_error,ADMIT_010_BATCH_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_010"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_010_BATCH_CONTEXT_MUST_BE_NONE""}",0,0,not_accessed,0,n/a,true
16,context,candidate_bomb,context failure with inaccessible candidate,candidate_not_accessed,ADMIT_010_EVALUATION_CONTEXT_MAPPING_REQUIRED,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_010"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_010_EVALUATION_CONTEXT_MAPPING_REQUIRED""}",0,0,not_accessed,0,n/a,true
17,candidate,non_mapping,candidate arbitrary object,exact13_invalid,ADMIT_010_CANDIDATE_RECORD_MAPPING_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_010"",""admission_rule_name"":""leakage_group_assignment_before_split"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_010_CANDIDATE_RECORD_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""leakage_group_id""],""consumed_context_items"":[""leakage_group_assignment_provenance_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_010_unified_adapter_v1""}",0,0,envelope_checked,1,n/a,true
18,candidate,key_missing,candidate key absent,exact13_invalid,leakage_group_id_missing,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_010"",""admission_rule_name"":""leakage_group_assignment_before_split"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""leakage_group_id_missing"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""leakage_group_id""],""consumed_context_items"":[""leakage_group_assignment_provenance_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_010_unified_adapter_v1""}",0,0,single_lookup,2,n/a,true
19,candidate,mapping_subclass,candidate Mapping subclass,accepted_without_copy,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_010"",""admission_rule_name"":""leakage_group_assignment_before_split"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""validated_candidate_fields"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""consumed_candidate_fields"":[""leakage_group_id""],""consumed_context_items"":[""leakage_group_assignment_provenance_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_010_unified_adapter_v1""}",1,1,value_read_once,2,true,true
20,candidate,extra_fields,candidate extra fields,ignored_without_iteration,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_010"",""admission_rule_name"":""leakage_group_assignment_before_split"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""validated_candidate_fields"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""consumed_candidate_fields"":[""leakage_group_id""],""consumed_context_items"":[""leakage_group_assignment_provenance_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_010_unified_adapter_v1""}",1,1,value_read_once,2,true,true
21,candidate,mutable_not_mutated,mutable candidate,not_mutated,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_010"",""admission_rule_name"":""leakage_group_assignment_before_split"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""validated_candidate_fields"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""consumed_candidate_fields"":[""leakage_group_id""],""consumed_context_items"":[""leakage_group_assignment_provenance_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_010_unified_adapter_v1""}",1,1,value_read_once,2,true,true
22,candidate,scalar_identity,scalar sentinel,same_original_object,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_010"",""admission_rule_name"":""leakage_group_assignment_before_split"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""validated_candidate_fields"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""consumed_candidate_fields"":[""leakage_group_id""],""consumed_context_items"":[""leakage_group_assignment_provenance_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_010_unified_adapter_v1""}",1,1,value_read_once,2,true,true
23,candidate,direct_lookup,single direct getitem,one_lookup_no_get_or_contains,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_010"",""admission_rule_name"":""leakage_group_assignment_before_split"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""validated_candidate_fields"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""consumed_candidate_fields"":[""leakage_group_id""],""consumed_context_items"":[""leakage_group_assignment_provenance_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_010_unified_adapter_v1""}",1,1,value_read_once,2,true,true
24,candidate,lookup_non_key_error,getitem raises RuntimeError,exception_propagates,RuntimeError,,0,0,lookup_raised,2,n/a,true
25,candidate,none_present,candidate None,formal_invalid,LEAKAGE_GROUP_ID_TYPE_INVALID,,1,1,value_read_once,2,true,true
26,candidate,empty_present,candidate empty string,formal_blocked,leakage_group_unassigned,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_010"",""admission_rule_name"":""leakage_group_assignment_before_split"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""leakage_group_unassigned"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""leakage_group_id""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_010_unified_adapter_v1""}",1,1,value_read_once,2,true,true
27,candidate,str_subclass,candidate str subclass,formal_invalid,LEAKAGE_GROUP_ID_TYPE_INVALID,,1,1,value_read_once,2,true,true
28,candidate,canonical,canonical candidate,passed,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_010"",""admission_rule_name"":""leakage_group_assignment_before_split"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""validated_candidate_fields"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""consumed_candidate_fields"":[""leakage_group_id""],""consumed_context_items"":[""leakage_group_assignment_provenance_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_010_unified_adapter_v1""}",1,1,value_read_once,2,true,true
29,candidate,malformed,malformed candidate,formal_invalid,LEAKAGE_GROUP_ID_SYNTAX_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_010"",""admission_rule_name"":""leakage_group_assignment_before_split"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""LEAKAGE_GROUP_ID_SYNTAX_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""leakage_group_id""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_010_unified_adapter_v1""}",1,1,value_read_once,2,true,true
30,call,formal_once,valid envelope,exactly_one_positional_call,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_010"",""admission_rule_name"":""leakage_group_assignment_before_split"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""validated_candidate_fields"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""consumed_candidate_fields"":[""leakage_group_id""],""consumed_context_items"":[""leakage_group_assignment_provenance_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_010_unified_adapter_v1""}",1,1,value_read_once,2,true,true
31,call,oracle_once,source validation succeeds,exactly_one_positional_call,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_010"",""admission_rule_name"":""leakage_group_assignment_before_split"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""validated_candidate_fields"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""consumed_candidate_fields"":[""leakage_group_id""],""consumed_context_items"":[""leakage_group_assignment_provenance_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_010_unified_adapter_v1""}",1,1,value_read_once,2,true,true
32,source,wrong_type,formal returns object,adapter_not_ready_no_oracle,ADMIT_010_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_010"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_010_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}",1,0,value_read_once,2,true,true
33,source,subclass,formal result subclass,adapter_not_ready_no_oracle,ADMIT_010_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_010"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_010_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}",1,0,value_read_once,2,true,true
34,source,storage_order,vars order tamper,adapter_not_ready_no_oracle,ADMIT_010_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_010"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_010_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",1,0,value_read_once,2,true,true
35,source,cross_field,post-init invariant tamper,adapter_not_ready_no_oracle,ADMIT_010_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_010"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_010_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",1,0,value_read_once,2,true,true
36,source,oracle_mismatch,one of Exact10 differs,adapter_not_ready_no_projection,ADMIT_010_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_010"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_010_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",1,1,value_read_once,2,true,true
37,projection,scalar_short,empty candidate,preserve_empty_context,leakage_group_unassigned,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_010"",""admission_rule_name"":""leakage_group_assignment_before_split"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""leakage_group_unassigned"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""leakage_group_id""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_010_unified_adapter_v1""}",1,1,value_read_once,2,true,true
38,projection,context_invalid,provenance invalid,preserve_canonical_and_context,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_CONTRACT_TYPE_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_010"",""admission_rule_name"":""leakage_group_assignment_before_split"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_CONTRACT_TYPE_INVALID"",""normalized_values"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""validated_candidate_fields"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""consumed_candidate_fields"":[""leakage_group_id""],""consumed_context_items"":[""leakage_group_assignment_provenance_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_010_unified_adapter_v1""}",1,1,value_read_once,2,true,true
39,projection,passed,valid pair,exact10_to_exact13,,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_010"",""admission_rule_name"":""leakage_group_assignment_before_split"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""validated_candidate_fields"":[[""leakage_group_id"",""COVAPIE_LEAKAGE_GROUP_000001""]],""consumed_candidate_fields"":[""leakage_group_id""],""consumed_context_items"":[""leakage_group_assignment_provenance_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_010_unified_adapter_v1""}",1,1,value_read_once,2,true,true
