sample_index_row_id,sample_preparation_input_id,pdb_id,ligand_identity,domain,source_table_path,source_table_sha256,source_atom_row_index_0based,source_atom_site_or_row_identity,type_symbol,symbol_class,projection_disposition,projection_reason,retained_for_checkpoint_model,projected_heavy_atom_row_index_0based,checkpoint_channel_index,excluded_before_centering,excluded_before_node_count,excluded_before_batch_membership,excluded_before_mask_projection,excluded_before_pair_index_projection,sample_rejected,verified
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,10,atom_site_id=3723,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,11,atom_site_id=3724,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,12,atom_site_id=3725,N,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,7,1,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,13,atom_site_id=3726,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,8,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,14,atom_site_id=3727,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,9,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,15,atom_site_id=3728,O,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,10,2,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,16,atom_site_id=3732,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,17,atom_site_id=3733,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,18,atom_site_id=3741,N,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,11,1,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,19,atom_site_id=3742,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,12,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,20,atom_site_id=3743,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,13,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,21,atom_site_id=3744,O,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,14,2,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,22,atom_site_id=3745,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,15,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,23,atom_site_id=3746,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,16,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,24,atom_site_id=3747,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,17,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,25,atom_site_id=3748,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,18,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,26,atom_site_id=3749,N,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,19,1,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,27,atom_site_id=3750,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,28,atom_site_id=3751,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,29,atom_site_id=3752,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,30,atom_site_id=3753,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,31,atom_site_id=3754,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,32,atom_site_id=3755,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,33,atom_site_id=3756,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,34,atom_site_id=3757,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,35,atom_site_id=3758,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,36,atom_site_id=3759,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,37,atom_site_id=3760,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,38,atom_site_id=3761,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,39,atom_site_id=3762,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,40,atom_site_id=3763,N,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,20,1,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,41,atom_site_id=3764,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,21,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,42,atom_site_id=3765,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,22,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,43,atom_site_id=3766,O,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,23,2,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,44,atom_site_id=3767,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,24,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,45,atom_site_id=3774,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,46,atom_site_id=3775,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,47,atom_site_id=3776,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,48,atom_site_id=3777,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,49,atom_site_id=3787,N,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,25,1,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,50,atom_site_id=3788,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,26,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,51,atom_site_id=3789,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,27,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,52,atom_site_id=3790,O,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,28,2,false,false,false,false,false,false,true
