case_order,case_id,case_group,scope_id_representation,vector_type,input_rule_ids,input_outcomes,expected_outcome,observed_outcome,expected_reason,observed_reason,required_rule_ids,evaluated_rule_ids,invalid_rule_ids,blocked_rule_ids,failing_rule_ids,rule_evaluations_retained,input_tuple_identity_retained,aggregation_io_used,dispatcher_calls,handler_calls,current_permission,authorized_execution_count,case_passed
11,download_execution_permission__ADMIT_005__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|invalid|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_005,,ADMIT_005,true,true,false,0,0,false,0,true
12,download_execution_permission__ADMIT_006__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|blocked|passed|passed|passed|passed|passed,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,ADMIT_006,ADMIT_006,true,true,false,0,0,false,0,true
13,download_execution_permission__ADMIT_006__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|invalid|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_006,,ADMIT_006,true,true,false,0,0,false,0,true
14,download_execution_permission__ADMIT_007__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|blocked|passed|passed|passed|passed,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,ADMIT_007,ADMIT_007,true,true,false,0,0,false,0,true
15,download_execution_permission__ADMIT_007__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|invalid|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_007,,ADMIT_007,true,true,false,0,0,false,0,true
16,download_execution_permission__ADMIT_008__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|blocked|passed|passed|passed,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,ADMIT_008,ADMIT_008,true,true,false,0,0,false,0,true
17,download_execution_permission__ADMIT_008__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|invalid|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_008,,ADMIT_008,true,true,false,0,0,false,0,true
18,download_execution_permission__ADMIT_009__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|blocked|passed|passed,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,ADMIT_009,ADMIT_009,true,true,false,0,0,false,0,true
19,download_execution_permission__ADMIT_009__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|invalid|passed|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_009,,ADMIT_009,true,true,false,0,0,false,0,true
20,download_execution_permission__ADMIT_011__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|blocked|passed,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,ADMIT_011,ADMIT_011,true,true,false,0,0,false,0,true
21,download_execution_permission__ADMIT_011__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|invalid|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_011,,ADMIT_011,true,true,false,0,0,false,0,true
22,download_execution_permission__ADMIT_014__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|blocked,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,ADMIT_014,ADMIT_014,true,true,false,0,0,false,0,true
23,download_execution_permission__ADMIT_014__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|invalid,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_014,,ADMIT_014,true,true,false,0,0,false,0,true
24,download_execution_permission__missing_first,missing_required,download_execution_permission,tuple,ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,,,false,false,false,0,0,false,0,true
25,download_execution_permission__missing_middle,missing_required,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,,,false,false,false,0,0,false,0,true
26,download_execution_permission__missing_last,missing_required,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011,,,,false,false,false,0,0,false,0,true
27,download_execution_permission__multi_blocked,multi_blocked_full_collection,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,blocked|passed|passed|passed|passed|passed|passed|passed|passed|passed|blocked,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,ADMIT_001|ADMIT_014,ADMIT_001|ADMIT_014,true,true,false,0,0,false,0,true
28,download_execution_permission__multi_invalid,multi_invalid_full_collection,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,invalid|passed|passed|passed|passed|passed|passed|passed|passed|passed|invalid,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_014,,ADMIT_001|ADMIT_014,true,true,false,0,0,false,0,true
29,download_execution_permission__invalid_and_blocked,invalid_blocked_full_collection,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,blocked|invalid|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_002,ADMIT_001,ADMIT_001|ADMIT_002,true,true,false,0,0,false,0,true
30,download_execution_permission__all_blocked,all_blocked_full_collection,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,blocked|blocked|blocked|blocked|blocked|blocked|blocked|blocked|blocked|blocked|blocked,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,true,true,false,0,0,false,0,true
