manual_review_candidate_id,candidate_source_stage,pdb_id,suggested_ligand_comp_id,ccd_ligand_name,ccd_formula,ccd_type,covpdb_reaction_name,covpdb_warhead_name,covpdb_residue_name,covpdb_residue_index,covpdb_chain_id,covpdb_uniprot,complex_card_url,struct_conn_evidence_status,suggested_covalent_bond_atom_pair,previous_manual_decision,user_manual_decision,user_decision_reason,curator_initials,review_date,review_comment,ready_candidate_current_step,ready_for_training_current_step
CYS_SG_MANUAL_REVIEW_000011,step14n_next_batch_metadata_acquisition,2DJF,1ZB,N-[(1S)-1-benzyl-3-diazen-1-iumylidene-2-oxopropyl]glycinamide,C12 H14 N4 O2,peptide-like,Nucleophilic Aliphatic Subsititution,Diazomethyl Carbonyl,CYS,234,B,P53634 (CATC_HUMAN),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=124,pending_future_raw_mmcif_struct_conn_crosscheck,,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000012,step14n_next_batch_metadata_acquisition,6BV6,JUG,"5-hydroxynaphthalene-1,4-dione",C10 H6 O3,non-polymer,Michael Addition,Vinyl Carbonyl,CYS,346,A,Q66GI4 (PRRP1_ARATH),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1485,pending_future_raw_mmcif_struct_conn_crosscheck,,pending_manual_review,accept_for_future_struct_conn_crosscheck,user_readonly_audit_identified_as_direct_for_future_struct_conn_crosscheck,,,,False,False
CYS_SG_MANUAL_REVIEW_000013,step14n_next_batch_metadata_acquisition,6BV9,JUG,"5-hydroxynaphthalene-1,4-dione",C10 H6 O3,non-polymer,Michael Addition,Vinyl Carbonyl,CYS,222,A,Q66GI4 (PRRP1_ARATH),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1486,pending_future_raw_mmcif_struct_conn_crosscheck,,pending_manual_review,accept_for_future_struct_conn_crosscheck,user_readonly_audit_identified_as_direct_for_future_struct_conn_crosscheck,,,,False,False
CYS_SG_MANUAL_REVIEW_000014,step14n_next_batch_metadata_acquisition,6BV8,JUG,"5-hydroxynaphthalene-1,4-dione",C10 H6 O3,non-polymer,Michael Addition,Vinyl Carbonyl,CYS,353,A,Q66GI4 (PRRP1_ARATH),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1487,pending_future_raw_mmcif_struct_conn_crosscheck,,pending_manual_review,accept_for_future_struct_conn_crosscheck,user_readonly_audit_identified_as_direct_for_future_struct_conn_crosscheck,,,,False,False
CYS_SG_MANUAL_REVIEW_000015,step14n_next_batch_metadata_acquisition,6BV5,JUG,"5-hydroxynaphthalene-1,4-dione",C10 H6 O3,non-polymer,Michael Addition,Vinyl Carbonyl,CYS,353,A,Q66GI4 (PRRP1_ARATH),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1488,pending_future_raw_mmcif_struct_conn_crosscheck,,pending_manual_review,accept_for_future_struct_conn_crosscheck,user_readonly_audit_identified_as_direct_for_future_struct_conn_crosscheck,,,,False,False
CYS_SG_MANUAL_REVIEW_000016,step14n_next_batch_metadata_acquisition,6VWE,JY1,"bis[diethyl(methyl)-lambda~5~-phosphanyl]{bis[{[(2-{[2-(2,5-dioxopyrrolidin-1-yl)ethyl]amino}-2-oxoethyl)amino]methyl}(diethyl)-lambda~5~-phosphanyl]}rhodium",C36 H74 N6 O6 P4 Rh,non-polymer,Michael Addition,Vinyl Carbonyl,CYS,89,A,A2RI36 (A2RI36_LACLM),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1493,pending_future_raw_mmcif_struct_conn_crosscheck,,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000017,step14n_next_batch_metadata_acquisition,2R9F,K2Z,"benzyl [(1S)-1-{[(1S,2S)-1-ethyl-2-hydroxy-3-{[3-(4-methylpiperazin-1-yl)propyl]amino}-3-oxopropyl]carbamoyl}-3-methylbutyl]carbamate",C27 H45 N5 O5,non-polymer,Hemi(thio)acetalization,Ketone,CYS,115,A,P97571 (CAN1_RAT),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1494,pending_future_raw_mmcif_struct_conn_crosscheck,,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000018,step14n_next_batch_metadata_acquisition,4DCD,K36,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,Hemi(thio)acetalization,Alpha-Hydroxy Sulfonic Acid,CYS,147,A,P03300 (POLG_POL1M),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1496,pending_future_raw_mmcif_struct_conn_crosscheck,,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000019,step14n_next_batch_metadata_acquisition,6WTT,K36,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,Hemi(thio)acetalization,Alpha-Hydroxy Sulfonic Acid,CYS,145,A,P0DTD1 (R1AB_SARS2),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1498,pending_future_raw_mmcif_struct_conn_crosscheck,,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000020,step14n_next_batch_metadata_acquisition,4F49,K36,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,Hemi(thio)acetalization,Alpha-Hydroxy Sulfonic Acid,CYS,144,A,P0C6V2 (R1A_CVPPU),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1499,pending_future_raw_mmcif_struct_conn_crosscheck,,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000021,step14n_next_batch_metadata_acquisition,6L70,K36,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,Hemi(thio)acetalization,Alpha-Hydroxy Sulfonic Acid,CYS,144,A,K4L9I6 (K4L9I6_9ALPC),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1500,pending_future_raw_mmcif_struct_conn_crosscheck,,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000022,step14n_next_batch_metadata_acquisition,6WTJ,K36,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,Hemi(thio)acetalization,Alpha-Hydroxy Sulfonic Acid,CYS,145,A,P0DTD1 (R1AB_SARS2),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1501,pending_future_raw_mmcif_struct_conn_crosscheck,,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000023,step14n_next_batch_metadata_acquisition,7C8U,K36,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,Hemi(thio)acetalization,Alpha-Hydroxy Sulfonic Acid,CYS,145,A,P0DTD1 (R1AB_SARS2),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1502,pending_future_raw_mmcif_struct_conn_crosscheck,,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000024,step14n_next_batch_metadata_acquisition,5WKJ,K36,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,Hemi(thio)acetalization,Alpha-Hydroxy Sulfonic Acid,CYS,148,A,K9N638 (R1A_MERS1),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1503,pending_future_raw_mmcif_struct_conn_crosscheck,,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000025,step14n_next_batch_metadata_acquisition,6WTK,UED,N~2~-[(benzyloxy)carbonyl]-N-{(2S)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl}-L-leucinamide,C21 H31 N3 O5,non-polymer,Hemi(thio)acetalization,Alpha-Hydroxy Sulfonic Acid,CYS,145,A,P0DTD1 (R1AB_SARS2),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2151,pending_future_raw_mmcif_struct_conn_crosscheck,,pending_manual_review,pending_manual_review,,,,,False,False
