source_order,source_relative_path,expected_sha256,base_tree_mode,base_tree_blob,index_mode,index_blob,index_stage,base_tree_sha256,filesystem_sha256,tracked,regular_file,non_symlink,pinned_read,post_read_identity_verified,final_leaf_identity_verified,source_verified
11,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_issue_readiness_inventory.csv,f457da61bffade18999af5c069d237c30aa30a0c63efb8bb14130935fb0757ec,100644,f323dae10ae7017c96e8f94494d611392c0e1bdc,100644,f323dae10ae7017c96e8f94494d611392c0e1bdc,0,f457da61bffade18999af5c069d237c30aa30a0c63efb8bb14130935fb0757ec,f457da61bffade18999af5c069d237c30aa30a0c63efb8bb14130935fb0757ec,true,true,true,true,true,true,true
12,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_rule_logic_interface_preconditions_audit_v1/covapie_admit_014_formal_evaluator_preconditions_manifest.json,b9582357f392a6aa1af68012a1469c886b2de4b5af8196cddad56f94625e4b61,100644,5d5140cf788489c98deffa91d0629ab687099fb7,100644,5d5140cf788489c98deffa91d0629ab687099fb7,0,b9582357f392a6aa1af68012a1469c886b2de4b5af8196cddad56f94625e4b61,b9582357f392a6aa1af68012a1469c886b2de4b5af8196cddad56f94625e4b61,true,true,true,true,true,true,true
13,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_truth_matrix.csv,e4f39f5178b91906639670f5c1ddb1c02b40c802de9ce386aee2a6b6d49f8482,100644,994f2537b45fc229d205c18ba32396d9f4cbe194,100644,994f2537b45fc229d205c18ba32396d9f4cbe194,0,e4f39f5178b91906639670f5c1ddb1c02b40c802de9ce386aee2a6b6d49f8482,e4f39f5178b91906639670f5c1ddb1c02b40c802de9ce386aee2a6b6d49f8482,true,true,true,true,true,true,true
14,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_value_and_trust_contract.csv,b22f02efdd53dce995730a05cc5c12ffa659c2d98b345afc663b118cc104752d,100644,6e616666e8c44d2319bbc650895d10ad066790b5,100644,6e616666e8c44d2319bbc650895d10ad066790b5,0,b22f02efdd53dce995730a05cc5c12ffa659c2d98b345afc663b118cc104752d,b22f02efdd53dce995730a05cc5c12ffa659c2d98b345afc663b118cc104752d,true,true,true,true,true,true,true
15,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_contract_manifest.json,9c54c9d6cb11776b04938d9be048699041bfc4020dca4c00425faadaaaa5d4d2,100644,9ec5544520ac62e3e4c5202080c306a1d60440fd,100644,9ec5544520ac62e3e4c5202080c306a1d60440fd,0,9c54c9d6cb11776b04938d9be048699041bfc4020dca4c00425faadaaaa5d4d2,9c54c9d6cb11776b04938d9be048699041bfc4020dca4c00425faadaaaa5d4d2,true,true,true,true,true,true,true
16,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_formal_evaluator_interface_contract_v1/covapie_admit_014_formal_evaluator_interface_contract_manifest.json,217490ef69526486b51117e4900d0669b4de466a023023ecb56ebdf0822fb731,100644,68612ddd136929dbe4baf0c68d174f6eec5f0e65,100644,68612ddd136929dbe4baf0c68d174f6eec5f0e65,0,217490ef69526486b51117e4900d0669b4de466a023023ecb56ebdf0822fb731,217490ef69526486b51117e4900d0669b4de466a023023ecb56ebdf0822fb731,true,true,true,true,true,true,true
17,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_rule_logic_interface_v1/covapie_admit_014_rule_logic_interface_manifest.json,f1266a2a471ddac3a0966951ff681b19ebd7d2725ff8242942a9365f92f7e056,100644,ac5d9a9ad415b7f068fe1fbf67e4b2fe6d48a9ce,100644,ac5d9a9ad415b7f068fe1fbf67e4b2fe6d48a9ce,0,f1266a2a471ddac3a0966951ff681b19ebd7d2725ff8242942a9365f92f7e056,f1266a2a471ddac3a0966951ff681b19ebd7d2725ff8242942a9365f92f7e056,true,true,true,true,true,true,true
18,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_unified_adapter_contract_v1/covapie_admit_014_unified_adapter_contract_manifest.json,fbcca891692e4b88d2da854425bef9ce38d1eced97df1c0ca826edad95357de0,100644,a33eedff7291e0423dd8273ab72581d61cfb2f65,100644,a33eedff7291e0423dd8273ab72581d61cfb2f65,0,fbcca891692e4b88d2da854425bef9ce38d1eced97df1c0ca826edad95357de0,fbcca891692e4b88d2da854425bef9ce38d1eced97df1c0ca826edad95357de0,true,true,true,true,true,true,true
19,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_safety_training_boundary_audit.csv,8ea6a53d04456443014ba250a0cfacf4983e39d2138d7035ad188dc1dcceebe5,100644,8b31358942ffcd42b8ca6a73790deb4946a1c5b6,100644,8b31358942ffcd42b8ca6a73790deb4946a1c5b6,0,8ea6a53d04456443014ba250a0cfacf4983e39d2138d7035ad188dc1dcceebe5,8ea6a53d04456443014ba250a0cfacf4983e39d2138d7035ad188dc1dcceebe5,true,true,true,true,true,true,true
20,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_manifest.json,4f7c884379f926af52101f40a7870b243f0309af3b1637dc65c8c0691acf9f35,100644,7f8ec9e9f768fc41ca8f9fea5c137749e7314dd1,100644,7f8ec9e9f768fc41ca8f9fea5c137749e7314dd1,0,4f7c884379f926af52101f40a7870b243f0309af3b1637dc65c8c0691acf9f35,4f7c884379f926af52101f40a7870b243f0309af3b1637dc65c8c0691acf9f35,true,true,true,true,true,true,true
21,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_audit_gate_manifest.json,a625335dd670ceb53f1515237a676c25d156b510eb80113ea8c4073e1ae1879d,100644,cb60133de12f22929b23bee58a559077558ce3e9,100644,cb60133de12f22929b23bee58a559077558ce3e9,0,a625335dd670ceb53f1515237a676c25d156b510eb80113ea8c4073e1ae1879d,a625335dd670ceb53f1515237a676c25d156b510eb80113ea8c4073e1ae1879d,true,true,true,true,true,true,true
22,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_training_blockers.csv,99af8f844b43ee6731f20b25ea4abc968e5eb7a12923f3797b3b2c6384d019d8,100644,b7f111d176e9f72947ca4383aeae661ec594eb19,100644,b7f111d176e9f72947ca4383aeae661ec594eb19,0,99af8f844b43ee6731f20b25ea4abc968e5eb7a12923f3797b3b2c6384d019d8,99af8f844b43ee6731f20b25ea4abc968e5eb7a12923f3797b3b2c6384d019d8,true,true,true,true,true,true,true
23,data/derived/covalent_small/pretrained_masked_loss_smoke_v0/pretrained_masked_loss_smoke_manifest.json,f2b3165d70c046f27defbe821afcc5294ff5cdf0037595cd5c42066ab27ea08b,100644,1dd121df63838d9fb6289f31245631a1d840bd42,100644,1dd121df63838d9fb6289f31245631a1d840bd42,0,f2b3165d70c046f27defbe821afcc5294ff5cdf0037595cd5c42066ab27ea08b,f2b3165d70c046f27defbe821afcc5294ff5cdf0037595cd5c42066ab27ea08b,true,true,true,true,true,true,true
