precondition_order,precondition_id,precondition_group,precondition_subject,required_state,observed_state,completion_status,implementation_blocking,evidence_paths,evidence_sha256,resolution_or_gap,recommended_owner
14,PRE_014,ADMIT_014_ADMIT_015_isolation,training true does not authorize download,strictly independent,audited required isolation,complete,false,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,isolation rule frozen,authorization contract owner
15,PRE_015,ADMIT_014_ADMIT_015_isolation,no alias/fallback/OR/AND,all forbidden,audited required isolation,complete,false,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,combined semantics undefined,authorization contract owner
16,PRE_016,input_and_type_semantics,candidate value type,exact builtin bool,ADMIT_014 precedent only,supported_but_admit015_contract_not_frozen,true,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_value_and_trust_contract.csv|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,b22f02efdd53dce995730a05cc5c12ffa659c2d98b345afc663b118cc104752d|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,ADMIT_015 type contract open,authorization contract owner
17,PRE_017,input_and_type_semantics,coercion,no coercion,ADMIT_014 precedent only,supported_but_admit015_contract_not_frozen,true,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_value_and_trust_contract.csv|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,b22f02efdd53dce995730a05cc5c12ffa659c2d98b345afc663b118cc104752d|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,ADMIT_015 contract must freeze it,authorization contract owner
18,PRE_018,input_and_type_semantics,missing/invalid precedence,fail closed with frozen precedence,not frozen for ADMIT_015,incomplete,true,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_contract_manifest.json|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,9c54c9d6cb11776b04938d9be048699041bfc4020dca4c00425faadaaaa5d4d2|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,precedence unresolved,formal interface owner
19,PRE_019,formal_interface_design_inputs,final evaluator signature,exact signature,not frozen in preconditions audit,incomplete,true,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,candidate design question only,formal interface owner
20,PRE_020,formal_interface_design_inputs,independent oracle,designed independently,not designed,incomplete,true,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,oracle design unresolved,formal interface owner
21,PRE_021,formal_interface_design_inputs,multi-invalid precedence,exact deterministic order,not frozen,incomplete,true,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,interface contract required,formal interface owner
22,PRE_022,result_schema_design_inputs,result class name,exact type name,not frozen in preconditions audit,incomplete,true,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,candidate design question only,formal interface owner
23,PRE_023,result_schema_design_inputs,result field count and order,exact closed schema,not frozen,incomplete,true,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,result contract required,formal interface owner
24,PRE_024,result_schema_design_inputs,normalized projection,exact representation,not frozen,incomplete,true,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,projection contract required,adapter contract owner
25,PRE_025,reason_vocabulary_design_inputs,outcome vocabulary,closed exact vocabulary,not frozen,incomplete,true,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,formal contract required,formal interface owner
26,PRE_026,reason_vocabulary_design_inputs,reason vocabulary,closed exact vocabulary,not frozen,incomplete,true,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,formal contract required,formal interface owner
27,PRE_027,reason_vocabulary_design_inputs,missing/type/false reasons,exact precedence and strings,not frozen,incomplete,true,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_contract_manifest.json|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,9c54c9d6cb11776b04938d9be048699041bfc4020dca4c00425faadaaaa5d4d2|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,authorization and interface contracts required,formal interface owner
28,PRE_028,purity_and_IO_boundary,evaluator filesystem access,none,forbidden by audited boundary,complete,false,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv|data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_precondition_manifest.json,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b|2304b5754d8052b4b186981a98c12f259608a3492947e069c2afab84084a0d52,retain pure in-memory boundary,formal interface owner
29,PRE_029,purity_and_IO_boundary,evaluator network/provider access,none,forbidden by audited boundary,complete,false,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv|data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_precondition_manifest.json,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b|2304b5754d8052b4b186981a98c12f259608a3492947e069c2afab84084a0d52,retain pure in-memory boundary,formal interface owner
30,PRE_030,purity_and_IO_boundary,environment/config/checkpoint authority,forbidden,audited forbidden sources,complete,false,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_value_and_trust_contract.csv|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,b22f02efdd53dce995730a05cc5c12ffa659c2d98b345afc663b118cc104752d|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,never authorize from these sources,authorization contract owner
31,PRE_031,adapter_and_runtime_boundary,unified adapter contract,frozen after evaluator contract,not designed or frozen,incomplete,true,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,future separate stage,adapter contract owner
32,PRE_032,adapter_and_runtime_boundary,adapter/handler implementation,implemented after contract,not implemented,incomplete,true,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,future separate stage,runtime owner
33,PRE_033,adapter_and_runtime_boundary,registry/Exact15 runtime,implemented after adapter,not implemented,incomplete,true,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,future separate stage,runtime owner
34,PRE_034,mandatory_enforcement_boundary,training authorization enforcement API,exact mandatory guard,not designed or implemented,incomplete,true,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,separate enforcement contract required,training orchestration owner
35,PRE_035,mandatory_enforcement_boundary,combined permission semantics,explicitly defined if needed,undefined,incomplete,true,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,must not infer AND/OR,training orchestration owner
36,PRE_036,mandatory_enforcement_boundary,cross-rule aggregation,implemented only after contract,not implemented,incomplete,true,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_issue_readiness_inventory.csv|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,f457da61bffade18999af5c069d237c30aa30a0c63efb8bb14130935fb0757ec|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,open issue retained,runtime owner
37,PRE_037,feature_semantics_boundary,feature-semantics audit required,true before training,verified committed requirement,complete,false,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_manifest.json|data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_audit_gate_manifest.json,4f7c884379f926af52101f40a7870b243f0309af3b1637dc65c8c0691acf9f35|a625335dd670ceb53f1515237a676c25d156b510eb80113ea8c4073e1ae1879d,requirement frozen,feature semantics owner
38,PRE_038,feature_semantics_boundary,historical UNKNOWN_ATOM policy,formally audited/resolved,not finalized for training,incomplete,true,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_manifest.json|data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_audit_gate_manifest.json|data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_training_blockers.csv,4f7c884379f926af52101f40a7870b243f0309af3b1637dc65c8c0691acf9f35|a625335dd670ceb53f1515237a676c25d156b510eb80113ea8c4073e1ae1879d|99af8f844b43ee6731f20b25ea4abc968e5eb7a12923f3797b3b2c6384d019d8,historical blocker remains,feature semantics owner
39,PRE_039,feature_semantics_boundary,Step12D scope,smoke legality only,verified; not final training contract,complete,false,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_audit_gate_manifest.json|data/derived/covalent_small/pretrained_masked_loss_smoke_v0/pretrained_masked_loss_smoke_manifest.json,a625335dd670ceb53f1515237a676c25d156b510eb80113ea8c4073e1ae1879d|f2b3165d70c046f27defbe821afcc5294ff5cdf0037595cd5c42066ab27ea08b,do not promote smoke evidence,feature semantics owner
40,PRE_040,training_execution_boundary,current permission,false,false,complete,false,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,current fail-closed state,training orchestration owner
41,PRE_041,training_execution_boundary,authorized execution count,0,0,complete,false,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,no training execution,training orchestration owner
42,PRE_042,training_execution_boundary,real training readiness,false until all gates,false,incomplete,true,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_manifest.json|data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_audit_gate_manifest.json|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,4f7c884379f926af52101f40a7870b243f0309af3b1637dc65c8c0691acf9f35|a625335dd670ceb53f1515237a676c25d156b510eb80113ea8c4073e1ae1879d|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,authorization and feature audit incomplete,training orchestration owner
43,PRE_043,issue_and_readiness_continuity,Exact30 issue inventory,byte-identical,inherited without transition,complete,false,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_issue_readiness_inventory.csv,f457da61bffade18999af5c069d237c30aa30a0c63efb8bb14130935fb0757ec,coverage remains ADMIT_015,runtime owner
44,PRE_044,issue_and_readiness_continuity,coverage issue status,open,open,complete,false,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_issue_readiness_inventory.csv,f457da61bffade18999af5c069d237c30aa30a0c63efb8bb14130935fb0757ec,do not claim resolution,runtime owner
45,PRE_045,issue_and_readiness_continuity,next authorized design step,design_covapie_admit_015_training_authorization_contract_v1,preconditions support contract design only,complete,false,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,stop after audit,authorization contract owner
