case_id,case_group,behavior,expected_dispatch_code,expected_reason,source_exact10_json,oracle_exact10_json,unified_exact13_json,formal_call_count,scope_oracle_call_count,atom_oracle_call_count,case_passed
B_STAGE,context_routing,stage non-None,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_005_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,,,,0,0,0,true
B_MULTI,context_routing,multiple contexts use first reason,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_005_BATCH_CONTEXT_MUST_BE_NONE,,,,0,0,0,true
C_PASS_001,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_PASS_002,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_REJECT_001,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,ADMIT_005_CYS_SG_SCOPE_REJECTED,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""CA"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""CA""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""CA"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""CA""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""normalized_values"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""CA""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""CA""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_REJECT_002,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,ADMIT_005_CYS_SG_SCOPE_REJECTED,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""sg"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""sg""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""sg"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""sg""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""normalized_values"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""sg""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""sg""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_REJECT_003,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,ADMIT_005_CYS_SG_SCOPE_REJECTED,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""A.B"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""A.B""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""A.B"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""A.B""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""normalized_values"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""A.B""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""A.B""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_REJECT_004,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,ADMIT_005_CYS_SG_SCOPE_REJECTED,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""canonical_residue_name"":""SER"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""SER""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""canonical_residue_name"":""SER"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""SER""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""normalized_values"":[[""covalent_residue_name"",""SER""],[""covalent_residue_atom_name"",""SG""]],""validated_candidate_fields"":[[""covalent_residue_name"",""SER""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_REJECT_005,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,ADMIT_005_CYS_SG_SCOPE_REJECTED,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""canonical_residue_name"":""SER"",""canonical_residue_atom_name"":""CA"",""validated_candidate_fields"":[[""covalent_residue_name"",""SER""],[""covalent_residue_atom_name"",""CA""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""canonical_residue_name"":""SER"",""canonical_residue_atom_name"":""CA"",""validated_candidate_fields"":[[""covalent_residue_name"",""SER""],[""covalent_residue_atom_name"",""CA""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""normalized_values"":[[""covalent_residue_name"",""SER""],[""covalent_residue_atom_name"",""CA""]],""validated_candidate_fields"":[[""covalent_residue_name"",""SER""],[""covalent_residue_atom_name"",""CA""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_REJECT_006,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,ADMIT_005_CYS_SG_SCOPE_REJECTED,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""canonical_residue_name"":""CYX"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYX""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""canonical_residue_name"":""CYX"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYX""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""normalized_values"":[[""covalent_residue_name"",""CYX""],[""covalent_residue_atom_name"",""SG""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYX""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_INVALID_RESIDUE_001,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,COVALENT_RESIDUE_NAME_TYPE_INVALID,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_TYPE_INVALID"",""canonical_residue_name"":"""",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_TYPE_INVALID"",""canonical_residue_name"":"""",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_INVALID_RESIDUE_002,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,COVALENT_RESIDUE_NAME_TYPE_INVALID,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_TYPE_INVALID"",""canonical_residue_name"":"""",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_TYPE_INVALID"",""canonical_residue_name"":"""",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_TYPE_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_INVALID_RESIDUE_003,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,COVALENT_RESIDUE_NAME_EMPTY,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_EMPTY"",""canonical_residue_name"":"""",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_EMPTY"",""canonical_residue_name"":"""",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_EMPTY"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
