case_order,case_id,case_group,invocation_form,stage_context_representation,expected_outcome,observed_outcome,expected_reason,observed_reason,expected_canonical_record,observed_canonical_record,expected_validated_fields,observed_validated_fields,expected_consumed_fields,observed_consumed_fields,result_contract_passed,case_passed
28,DICT_VALUE,invalid_exact_type,keyword,{'current_stage_download_authorized': {}},blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
29,CUSTOM_TRUTHY,invalid_exact_type,keyword,{'current_stage_download_authorized': <CUSTOM_TRUTHY>},blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
30,CUSTOM_FALSY,invalid_exact_type,keyword,{'current_stage_download_authorized': <CUSTOM_FALSY>},blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
31,EXACT_FALSE,business_outcome,keyword,{'current_stage_download_authorized': False},blocked,blocked,BULK_DOWNLOAD_NOT_AUTHORIZED,BULK_DOWNLOAD_NOT_AUTHORIZED,"(('current_stage_download_authorized', False),)","(('current_stage_download_authorized', False),)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
32,EXACT_TRUE,business_outcome,keyword,{'current_stage_download_authorized': True},passed,passed,,,"(('current_stage_download_authorized', True),)","(('current_stage_download_authorized', True),)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
33,ADMIT015_PLUS_TRUE,mapping_behavior,keyword,"{'current_stage_training_authorized': False, 'current_stage_download_authorized': True}",passed,passed,,,"(('current_stage_download_authorized', True),)","(('current_stage_download_authorized', True),)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
34,ADMIT015_PLUS_FALSE,mapping_behavior,keyword,"{'current_stage_training_authorized': True, 'current_stage_download_authorized': False}",blocked,blocked,BULK_DOWNLOAD_NOT_AUTHORIZED,BULK_DOWNLOAD_NOT_AUTHORIZED,"(('current_stage_download_authorized', False),)","(('current_stage_download_authorized', False),)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
35,MANY_EXTRA_PLUS_TRUE,mapping_behavior,keyword,"{'extra_0': <OBJECT>, 'extra_1': <OBJECT>, 'extra_2': <OBJECT>, 'extra_3': <OBJECT>, 'extra_4': <OBJECT>, 'extra_5': <OBJECT>, 'extra_6': <OBJECT>, 'extra_7': <OBJECT>, 'extra_8': <OBJECT>, 'extra_9': <OBJECT>, 'extra_10': <OBJECT>, 'extra_11': <OBJECT>, 'extra_12': <OBJECT>, 'extra_13': <OBJECT>, 'extra_14': <OBJECT>, 'extra_15': <OBJECT>, 'extra_16': <OBJECT>, 'extra_17': <OBJECT>, 'extra_18': <OBJECT>, 'extra_19': <OBJECT>, 'current_stage_download_authorized': True}",passed,passed,,,"(('current_stage_download_authorized', True),)","(('current_stage_download_authorized', True),)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
36,ITERATION_RAISES,mapping_behavior,keyword,{'current_stage_download_authorized': True},passed,passed,,,"(('current_stage_download_authorized', True),)","(('current_stage_download_authorized', True),)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
37,LEN_RAISES,mapping_behavior,keyword,{'current_stage_download_authorized': True},passed,passed,,,"(('current_stage_download_authorized', True),)","(('current_stage_download_authorized', True),)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
38,GET_RAISES,mapping_behavior,keyword,{'current_stage_download_authorized': True},passed,passed,,,"(('current_stage_download_authorized', True),)","(('current_stage_download_authorized', True),)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
39,CONTAINS_RAISES,mapping_behavior,keyword,{'current_stage_download_authorized': True},passed,passed,,,"(('current_stage_download_authorized', True),)","(('current_stage_download_authorized', True),)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
40,PROJECTION_OMITTED,result_projection,omitted,<MISSING>,blocked,blocked,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,(),(),(),(),(),(),true,true
41,PROJECTION_MISSING_KEY,result_projection,keyword,{},blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
42,PROJECTION_LOOKUP_FAILED,result_projection,keyword,<Mapping:RuntimeError>,blocked,blocked,STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED,STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
43,PROJECTION_INVALID_TYPE,result_projection,keyword,{'current_stage_download_authorized': 'true'},blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
44,PROJECTION_FALSE,result_projection,keyword,{'current_stage_download_authorized': False},blocked,blocked,BULK_DOWNLOAD_NOT_AUTHORIZED,BULK_DOWNLOAD_NOT_AUTHORIZED,"(('current_stage_download_authorized', False),)","(('current_stage_download_authorized', False),)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
45,PROJECTION_TRUE,result_projection,keyword,{'current_stage_download_authorized': True},passed,passed,,,"(('current_stage_download_authorized', True),)","(('current_stage_download_authorized', True),)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
46,WRONG_ADMISSION_RULE_ID,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:ValueError,(),(),(),(),(),(),true,true
47,UNKNOWN_OUTCOME,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:ValueError,(),(),(),(),(),(),true,true
48,PASSED_NONEXACT_BOOL,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:TypeError,(),(),(),(),(),(),true,true
49,BLOCKS_NONEXACT_BOOL,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:TypeError,(),(),(),(),(),(),true,true
50,IO_NONEXACT_BOOL,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:TypeError,(),(),(),(),(),(),true,true
51,IO_TRUE,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:ValueError,(),(),(),(),(),(),true,true
52,PASS_NONEMPTY_REASON,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:ValueError,(),(),(),(),(),(),true,true
53,BLOCK_EMPTY_REASON,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:ValueError,(),(),(),(),(),(),true,true
54,CANONICAL_LIST,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:TypeError,(),(),(),(),(),(),true,true
55,CANONICAL_TUPLE_SUBCLASS,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:TypeError,(),(),(),(),(),(),true,true
56,PAIR_TUPLE_SUBCLASS,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:ValueError,(),(),(),(),(),(),true,true
57,WRONG_CANONICAL_KEY,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:ValueError,(),(),(),(),(),(),true,true
58,NONBOOL_CANONICAL_VALUE,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:ValueError,(),(),(),(),(),(),true,true
59,DUPLICATE_CANONICAL_PAIR,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:ValueError,(),(),(),(),(),(),true,true
60,VALIDATED_LIST,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:TypeError,(),(),(),(),(),(),true,true
61,VALIDATED_TUPLE_SUBCLASS,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:TypeError,(),(),(),(),(),(),true,true
62,UNKNOWN_VALIDATED_FIELD,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:ValueError,(),(),(),(),(),(),true,true
63,DUPLICATE_VALIDATED_FIELD,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:ValueError,(),(),(),(),(),(),true,true
64,CONSUMED_LIST,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:TypeError,(),(),(),(),(),(),true,true
65,CONSUMED_TUPLE_SUBCLASS,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:TypeError,(),(),(),(),(),(),true,true
66,UNKNOWN_CONSUMED_FIELD,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:ValueError,(),(),(),(),(),(),true,true
67,DUPLICATE_CONSUMED_FIELD,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:ValueError,(),(),(),(),(),(),true,true
68,CANONICAL_VALIDATED_MISMATCH,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:ValueError,(),(),(),(),(),(),true,true
69,VALIDATED_CONSUMED_MISMATCH,negative_result_contract,direct result construction,<MISSING>,rejected,rejected,RESULT_CONTRACT_REJECTED,RESULT_CONTRACT_REJECTED:ValueError,(),(),(),(),(),(),true,true
