case_order,case_id,case_group,scope_id_representation,vector_type,observed_rule_ids,observed_states,expected_outcome,observed_outcome,expected_passed,observed_passed,expected_blocks_action,observed_blocks_action,expected_reason,observed_reason,required_rule_ids,failing_rule_ids,design_io_used,current_permission,authorized_execution_count,case_passed
11,download_execution_permission__ADMIT_005__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|invalid|passed|passed|passed|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_005,false,false,0,true
12,download_execution_permission__ADMIT_006__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|blocked|passed|passed|passed|passed|passed,blocked,blocked,false,false,true,true,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_006,false,false,0,true
13,download_execution_permission__ADMIT_006__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|invalid|passed|passed|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_006,false,false,0,true
14,download_execution_permission__ADMIT_007__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|blocked|passed|passed|passed|passed,blocked,blocked,false,false,true,true,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_007,false,false,0,true
15,download_execution_permission__ADMIT_007__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|invalid|passed|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_007,false,false,0,true
16,download_execution_permission__ADMIT_008__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|blocked|passed|passed|passed,blocked,blocked,false,false,true,true,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_008,false,false,0,true
17,download_execution_permission__ADMIT_008__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|invalid|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_008,false,false,0,true
18,download_execution_permission__ADMIT_009__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|blocked|passed|passed,blocked,blocked,false,false,true,true,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_009,false,false,0,true
19,download_execution_permission__ADMIT_009__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|invalid|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_009,false,false,0,true
20,download_execution_permission__ADMIT_011__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|blocked|passed,blocked,blocked,false,false,true,true,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_011,false,false,0,true
21,download_execution_permission__ADMIT_011__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|invalid|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_011,false,false,0,true
22,download_execution_permission__ADMIT_014__blocked,every_required_rule_blocked,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|blocked,blocked,blocked,false,false,true,true,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_014,false,false,0,true
23,download_execution_permission__ADMIT_014__invalid,every_required_rule_invalid,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|invalid,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_014,false,false,0,true
24,download_execution_permission__missing_first,missing_required,download_execution_permission,tuple,ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,false,false,0,true
25,download_execution_permission__missing_middle,missing_required,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,false,false,0,true
26,download_execution_permission__missing_last,missing_required,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,false,false,0,true
27,download_execution_permission__duplicate,duplicate_rule_id,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014|ADMIT_001,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,false,false,0,true
28,download_execution_permission__reorder,reordered_rule_ids,download_execution_permission,tuple,ADMIT_002|ADMIT_001|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,false,false,0,true
29,download_execution_permission__extra,extra_rule_id,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014|ADMIT_010,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,false,false,0,true
30,download_execution_permission__invalid_over_blocked,invalid_blocked_precedence,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,blocked|invalid|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002,false,false,0,true
31,download_execution_permission__admit014_non_override,admit014_pass_non_override,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,blocked|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,blocked,blocked,false,false,true,true,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001,false,false,0,true
32,post_download_acceptance_permission__all_pass,canonical_all_pass,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,passed,passed,true,true,false,false,,,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,,false,false,0,true
33,post_download_acceptance_permission__ADMIT_001__blocked,every_required_rule_blocked,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,blocked|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,blocked,blocked,false,false,true,true,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001,false,false,0,true
34,post_download_acceptance_permission__ADMIT_001__invalid,every_required_rule_invalid,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,invalid|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001,false,false,0,true
35,post_download_acceptance_permission__ADMIT_002__blocked,every_required_rule_blocked,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|blocked|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,blocked,blocked,false,false,true,true,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_002,false,false,0,true
36,post_download_acceptance_permission__ADMIT_002__invalid,every_required_rule_invalid,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|invalid|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,false,false,true,true,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,COMBINED_PERMISSION_SCOPE_OR_VECTOR_OR_STATE_CONTRACT_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_002,false,false,0,true
37,post_download_acceptance_permission__ADMIT_003__blocked,every_required_rule_blocked,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|blocked|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,blocked,blocked,false,false,true,true,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,COMBINED_PERMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_003,false,false,0,true
