case_group,case_id,expected,observed,passed
candidate_dispatch_exception_formula,download_execution_permission:candidate=1:position=1,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_001', 12, 1, 'RuntimeError', True, 12, 1, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_001', 12, 1, 'RuntimeError', True, 12, 1, True)",true
candidate_dispatch_exception_formula,download_execution_permission:candidate=1:position=5,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_005', 16, 1, 'RuntimeError', True, 16, 1, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_005', 16, 1, 'RuntimeError', True, 16, 1, True)",true
candidate_dispatch_exception_formula,download_execution_permission:candidate=1:position=10,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_011', 21, 1, 'RuntimeError', True, 21, 1, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_011', 21, 1, 'RuntimeError', True, 21, 1, True)",true
candidate_dispatch_exception_formula,download_execution_permission:candidate=2:position=1,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_001', 22, 2, 'RuntimeError', True, 22, 2, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_001', 22, 2, 'RuntimeError', True, 22, 2, True)",true
candidate_dispatch_exception_formula,download_execution_permission:candidate=2:position=5,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_005', 26, 2, 'RuntimeError', True, 26, 2, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_005', 26, 2, 'RuntimeError', True, 26, 2, True)",true
candidate_dispatch_exception_formula,download_execution_permission:candidate=2:position=10,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_011', 31, 2, 'RuntimeError', True, 31, 2, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_011', 31, 2, 'RuntimeError', True, 31, 2, True)",true
dispatcher_malformed_formula,download_execution_permission:stage:ADMIT_014,"('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', -1, 'ADMIT_014', 1, 0, '', False, 1, 0, True)","('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', -1, 'ADMIT_014', 1, 0, '', False, 1, 0, True)",true
dispatcher_malformed_formula,download_execution_permission:candidate=1:ADMIT_005,"('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', 1, 'ADMIT_005', 16, 1, '', False, 16, 1, True)","('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', 1, 'ADMIT_005', 16, 1, '', False, 16, 1, True)",true
stage_dispatch_exception_formula,post_download_acceptance_permission:ADMIT_014,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', -1, 'ADMIT_014', 1, 0, 'RuntimeError', True, 1, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', -1, 'ADMIT_014', 1, 0, 'RuntimeError', True, 1, 0, True)",true
candidate_dispatch_exception_formula,post_download_acceptance_permission:candidate=0:position=1,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_001', 2, 0, 'RuntimeError', True, 2, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_001', 2, 0, 'RuntimeError', True, 2, 0, True)",true
candidate_dispatch_exception_formula,post_download_acceptance_permission:candidate=0:position=6,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_006', 7, 0, 'RuntimeError', True, 7, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_006', 7, 0, 'RuntimeError', True, 7, 0, True)",true
candidate_dispatch_exception_formula,post_download_acceptance_permission:candidate=0:position=12,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_013', 13, 0, 'RuntimeError', True, 13, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_013', 13, 0, 'RuntimeError', True, 13, 0, True)",true
candidate_dispatch_exception_formula,post_download_acceptance_permission:candidate=1:position=1,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_001', 14, 1, 'RuntimeError', True, 14, 1, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_001', 14, 1, 'RuntimeError', True, 14, 1, True)",true
candidate_dispatch_exception_formula,post_download_acceptance_permission:candidate=1:position=6,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_006', 19, 1, 'RuntimeError', True, 19, 1, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_006', 19, 1, 'RuntimeError', True, 19, 1, True)",true
candidate_dispatch_exception_formula,post_download_acceptance_permission:candidate=1:position=12,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_013', 25, 1, 'RuntimeError', True, 25, 1, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_013', 25, 1, 'RuntimeError', True, 25, 1, True)",true
candidate_dispatch_exception_formula,post_download_acceptance_permission:candidate=2:position=1,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_001', 26, 2, 'RuntimeError', True, 26, 2, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_001', 26, 2, 'RuntimeError', True, 26, 2, True)",true
candidate_dispatch_exception_formula,post_download_acceptance_permission:candidate=2:position=6,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_006', 31, 2, 'RuntimeError', True, 31, 2, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_006', 31, 2, 'RuntimeError', True, 31, 2, True)",true
candidate_dispatch_exception_formula,post_download_acceptance_permission:candidate=2:position=12,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_013', 37, 2, 'RuntimeError', True, 37, 2, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_013', 37, 2, 'RuntimeError', True, 37, 2, True)",true
dispatcher_malformed_formula,post_download_acceptance_permission:stage:ADMIT_014,"('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', -1, 'ADMIT_014', 1, 0, '', False, 1, 0, True)","('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', -1, 'ADMIT_014', 1, 0, '', False, 1, 0, True)",true
dispatcher_malformed_formula,post_download_acceptance_permission:candidate=1:ADMIT_006,"('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', 1, 'ADMIT_006', 19, 1, '', False, 19, 1, True)","('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', 1, 'ADMIT_006', 19, 1, '', False, 19, 1, True)",true
stage_dispatch_exception_formula,pre_final_split_acceptance_permission:ADMIT_014,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', -1, 'ADMIT_014', 1, 0, 'RuntimeError', True, 1, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', -1, 'ADMIT_014', 1, 0, 'RuntimeError', True, 1, 0, True)",true
candidate_dispatch_exception_formula,pre_final_split_acceptance_permission:candidate=0:position=1,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_001', 2, 0, 'RuntimeError', True, 2, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_001', 2, 0, 'RuntimeError', True, 2, 0, True)",true
candidate_dispatch_exception_formula,pre_final_split_acceptance_permission:candidate=0:position=7,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_007', 8, 0, 'RuntimeError', True, 8, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_007', 8, 0, 'RuntimeError', True, 8, 0, True)",true
candidate_dispatch_exception_formula,pre_final_split_acceptance_permission:candidate=0:position=13,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_013', 14, 0, 'RuntimeError', True, 14, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_013', 14, 0, 'RuntimeError', True, 14, 0, True)",true
candidate_dispatch_exception_formula,pre_final_split_acceptance_permission:candidate=1:position=1,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_001', 15, 1, 'RuntimeError', True, 15, 1, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_001', 15, 1, 'RuntimeError', True, 15, 1, True)",true
candidate_dispatch_exception_formula,pre_final_split_acceptance_permission:candidate=1:position=7,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_007', 21, 1, 'RuntimeError', True, 21, 1, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_007', 21, 1, 'RuntimeError', True, 21, 1, True)",true
candidate_dispatch_exception_formula,pre_final_split_acceptance_permission:candidate=1:position=13,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_013', 27, 1, 'RuntimeError', True, 27, 1, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_013', 27, 1, 'RuntimeError', True, 27, 1, True)",true
candidate_dispatch_exception_formula,pre_final_split_acceptance_permission:candidate=2:position=1,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_001', 28, 2, 'RuntimeError', True, 28, 2, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_001', 28, 2, 'RuntimeError', True, 28, 2, True)",true
candidate_dispatch_exception_formula,pre_final_split_acceptance_permission:candidate=2:position=7,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_007', 34, 2, 'RuntimeError', True, 34, 2, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_007', 34, 2, 'RuntimeError', True, 34, 2, True)",true
candidate_dispatch_exception_formula,pre_final_split_acceptance_permission:candidate=2:position=13,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_013', 40, 2, 'RuntimeError', True, 40, 2, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_013', 40, 2, 'RuntimeError', True, 40, 2, True)",true
dispatcher_malformed_formula,pre_final_split_acceptance_permission:stage:ADMIT_014,"('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', -1, 'ADMIT_014', 1, 0, '', False, 1, 0, True)","('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', -1, 'ADMIT_014', 1, 0, '', False, 1, 0, True)",true
dispatcher_malformed_formula,pre_final_split_acceptance_permission:candidate=1:ADMIT_007,"('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', 1, 'ADMIT_007', 21, 1, '', False, 21, 1, True)","('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', 1, 'ADMIT_007', 21, 1, '', False, 21, 1, True)",true
stage_dispatch_exception_formula,training_execution_admission_permission:ADMIT_014,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', -1, 'ADMIT_014', 1, 0, 'RuntimeError', True, 1, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', -1, 'ADMIT_014', 1, 0, 'RuntimeError', True, 1, 0, True)",true
stage_dispatch_exception_formula,training_execution_admission_permission:ADMIT_015,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', -1, 'ADMIT_015', 2, 0, 'RuntimeError', True, 2, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', -1, 'ADMIT_015', 2, 0, 'RuntimeError', True, 2, 0, True)",true
candidate_dispatch_exception_formula,training_execution_admission_permission:candidate=0:position=1,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_001', 3, 0, 'RuntimeError', True, 3, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_001', 3, 0, 'RuntimeError', True, 3, 0, True)",true
candidate_dispatch_exception_formula,training_execution_admission_permission:candidate=0:position=7,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_007', 9, 0, 'RuntimeError', True, 9, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_007', 9, 0, 'RuntimeError', True, 9, 0, True)",true
candidate_dispatch_exception_formula,training_execution_admission_permission:candidate=0:position=13,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_013', 15, 0, 'RuntimeError', True, 15, 0, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 0, 'ADMIT_013', 15, 0, 'RuntimeError', True, 15, 0, True)",true
candidate_dispatch_exception_formula,training_execution_admission_permission:candidate=1:position=1,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_001', 16, 1, 'RuntimeError', True, 16, 1, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_001', 16, 1, 'RuntimeError', True, 16, 1, True)",true
candidate_dispatch_exception_formula,training_execution_admission_permission:candidate=1:position=7,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_007', 22, 1, 'RuntimeError', True, 22, 1, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_007', 22, 1, 'RuntimeError', True, 22, 1, True)",true
candidate_dispatch_exception_formula,training_execution_admission_permission:candidate=1:position=13,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_013', 28, 1, 'RuntimeError', True, 28, 1, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 1, 'ADMIT_013', 28, 1, 'RuntimeError', True, 28, 1, True)",true
candidate_dispatch_exception_formula,training_execution_admission_permission:candidate=2:position=1,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_001', 29, 2, 'RuntimeError', True, 29, 2, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_001', 29, 2, 'RuntimeError', True, 29, 2, True)",true
candidate_dispatch_exception_formula,training_execution_admission_permission:candidate=2:position=7,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_007', 35, 2, 'RuntimeError', True, 35, 2, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_007', 35, 2, 'RuntimeError', True, 35, 2, True)",true
candidate_dispatch_exception_formula,training_execution_admission_permission:candidate=2:position=13,"('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_013', 41, 2, 'RuntimeError', True, 41, 2, True)","('STAGE_ORCHESTRATION_DISPATCH_ERROR', 2, 'ADMIT_013', 41, 2, 'RuntimeError', True, 41, 2, True)",true
dispatcher_malformed_formula,training_execution_admission_permission:stage:ADMIT_014,"('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', -1, 'ADMIT_014', 1, 0, '', False, 1, 0, True)","('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', -1, 'ADMIT_014', 1, 0, '', False, 1, 0, True)",true
dispatcher_malformed_formula,training_execution_admission_permission:stage:ADMIT_015,"('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', -1, 'ADMIT_015', 2, 0, '', False, 2, 0, True)","('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', -1, 'ADMIT_015', 2, 0, '', False, 2, 0, True)",true
dispatcher_malformed_formula,training_execution_admission_permission:candidate=1:ADMIT_007,"('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', 1, 'ADMIT_007', 22, 1, '', False, 22, 1, True)","('STAGE_ORCHESTRATION_RULE_RESULT_INVARIANT_INVALID', 1, 'ADMIT_007', 22, 1, '', False, 22, 1, True)",true
aggregator_exception_formula,candidate=0,"('STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID', 0, '', 15, 1, 'RuntimeError', True, 15, 1, True)","('STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID', 0, '', 15, 1, 'RuntimeError', True, 15, 1, True)",true
aggregator_exception_formula,candidate=1,"('STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID', 1, '', 28, 2, 'RuntimeError', True, 28, 2, True)","('STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID', 1, '', 28, 2, 'RuntimeError', True, 28, 2, True)",true
aggregator_exception_formula,candidate=2,"('STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID', 2, '', 41, 3, 'RuntimeError', True, 41, 3, True)","('STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID', 2, '', 41, 3, 'RuntimeError', True, 41, 3, True)",true
aggregator_malformed_formula,wrong_type,"('STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID', 1, '', 28, 2, '', False, 28, 2, True)","('STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID', 1, '', 28, 2, '', False, 28, 2, True)",true
corruption_stops_later_candidates,wrong_type,true,true,true
aggregator_malformed_formula,wrong_scope,"('STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID', 1, '', 28, 2, '', False, 28, 2, True)","('STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID', 1, '', 28, 2, '', False, 28, 2, True)",true
corruption_stops_later_candidates,wrong_scope,true,true,true
aggregator_malformed_formula,copied_normal_vector,"('STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID', 1, '', 28, 2, '', False, 28, 2, True)","('STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID', 1, '', 28, 2, '', False, 28, 2, True)",true
corruption_stops_later_candidates,copied_normal_vector,true,true,true
aggregator_malformed_formula,rejected_wrong_reason,"('STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID', 1, '', 28, 2, '', False, 28, 2, True)","('STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID', 1, '', 28, 2, '', False, 28, 2, True)",true
corruption_stops_later_candidates,rejected_wrong_reason,true,true,true
aggregator_malformed_formula,rejected_nonempty_diagnostics,"('STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID', 1, '', 28, 2, '', False, 28, 2, True)","('STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID', 1, '', 28, 2, '', False, 28, 2, True)",true
corruption_stops_later_candidates,rejected_nonempty_diagnostics,true,true,true
baseexception_propagation,dispatcher,"('KeyboardInterrupt', 1, 0)","('KeyboardInterrupt', 1, 0)",true
baseexception_propagation,aggregator,"('KeyboardInterrupt', 15, 1)","('KeyboardInterrupt', 15, 1)",true
