ligand_bond_topology_row_id,review_row_id,pdb_id,expected_step8_sample_name,source_pre_reaction_sdf_path,source_pre_reaction_sdf_sha256,rdkit_bond_idx,begin_rdkit_atom_idx,end_rdkit_atom_idx,begin_atom_symbol,end_atom_symbol,bond_type,bond_order_numeric,is_aromatic,is_conjugated,is_in_ring,stereo,touches_covalent_ligand_endpoint,is_warhead_bond,is_linker_bond,is_scaffold_bond,export_source_stage,training_use_status
HR_0002_BOND_0020,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,20,14,15,C,N,SINGLE,1.0,False,False,False,STEREONONE,False,False,True,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0021,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,21,14,28,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,True,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0022,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,22,14,29,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,True,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0023,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,23,15,17,N,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0024,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,24,16,30,C,N,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0025,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,25,16,31,C,O,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0026,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,26,17,18,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,True,False,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0027,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,27,17,32,C,O,DOUBLE,2.0,False,False,False,STEREONONE,False,True,False,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0028,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,28,18,19,C,C,DOUBLE,2.0,False,False,False,STEREONONE,True,True,False,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0029,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,29,20,23,N,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0030,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,30,21,22,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0031,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,31,22,23,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0032,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,32,23,24,C,N,SINGLE,1.0,False,False,False,STEREONONE,False,False,True,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0033,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,33,24,29,N,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,True,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0002_BOND_0034,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,34,26,27,N,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0000,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,0,0,1,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0001,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,1,0,10,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0002,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,2,0,18,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0003,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,3,0,19,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0004,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,4,1,2,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0005,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,5,1,17,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0006,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,6,2,3,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0007,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,7,2,16,C,Cl,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0008,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,8,3,4,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0009,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,9,4,5,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0010,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,10,4,15,C,O,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0011,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,11,5,14,C,N,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0012,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,12,5,17,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0013,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,13,6,22,C,N,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0014,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,14,6,23,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0015,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,15,7,22,C,N,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0016,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,16,7,24,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,True,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0017,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,17,7,26,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,True,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0018,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,18,8,27,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,True,False,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0019,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,19,8,29,C,C,DOUBLE,2.0,False,False,False,STEREONONE,True,True,False,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0020,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,20,9,20,C,N,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0021,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,21,9,21,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0022,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,22,10,18,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0023,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,23,11,12,O,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0024,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,24,12,13,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0025,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,25,12,20,C,N,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0026,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,26,13,14,C,N,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0027,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,27,20,23,N,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0028,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,28,21,22,C,N,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0029,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,29,24,25,C,N,SINGLE,1.0,False,False,True,STEREONONE,False,False,True,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0030,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,30,25,26,N,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,True,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
HR_0003_BOND_0031,HR_0003,5F2E,KRAS_G12C_5F2E_pre_reaction,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,31,25,27,N,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,False,step8_readonly_topology_evidence_export_smoke,not_training_input_yet
